date,open,high,low,close,volume
2004-04-02,14400,14750,14400,14450,2450
2004-04-06,14600,14600,14450,14550,1890
2004-04-07,14400,14750,14350,14700,3620
2004-04-08,14500,14800,14500,14650,7230
2004-04-09,14750,14750,14350,14500,6180
2004-04-12,14550,15400,14550,15100,16900
2004-04-13,17350,17350,16700,17350,146216
2004-04-14,17400,17600,16300,16750,33059
2004-04-16,16750,16750,15650,15750,22591
2004-04-19,15400,15900,15400,15750,18794
2004-04-20,15650,15950,15500,15800,9043
2004-04-21,15700,16700,15650,16200,27430
2004-04-22,16150,16300,16000,16300,8960
2004-04-23,16650,16950,16300,16850,14167
2004-04-26,16950,17350,16950,17250,19340
2004-04-27,17400,17400,17000,17200,11610
2004-04-28,17200,17500,16700,16800,18200
2004-04-29,12900,12900,12300,12700,10230
2004-04-30,12250,12900,12250,12400,10850
2004-05-03,12300,12600,12200,12300,7414
2004-05-04,12300,12300,12000,12050,118540
2004-05-06,12050,12150,11800,11800,6226
2004-05-07,11900,11950,11450,11700,5126
2004-05-10,11350,11700,11150,11400,7280
2004-05-11,11100,11500,11100,11250,5620
2004-05-12,10900,11650,10900,11250,6840
2004-05-13,11250,11450,10800,10850,12620
2004-05-14,10900,11250,10250,10550,11027
2004-05-17,10600,10600,10100,10350,6670
2004-05-18,10050,10350,9920,10350,5930
2004-05-19,10150,10450,9990,10300,9661
2004-05-20,10250,10450,10100,10400,4736
2004-05-21,10450,10750,10250,10400,9006
2004-05-24,10600,10600,10300,10350,4257
2004-05-25,10400,10450,10100,10250,6550
2004-05-27,10300,10450,10300,10450,2889
2004-05-28,10450,10550,10350,10450,2083
2004-05-31,10500,10500,10200,10500,11674
2004-06-01,10550,10550,10450,10550,990
2004-06-02,10450,10600,10250,10500,5400
2004-06-03,10400,10500,10250,10350,6619
2004-06-04,10250,10400,10250,10400,1950
2004-06-07,10350,10450,10300,10450,751
2004-06-08,10500,10500,10250,10400,2810
2004-06-09,10450,10450,10250,10350,1130
2004-06-10,10250,10350,10050,10050,35425
2004-06-11,10100,10150,9910,10000,6225
2004-06-14,10000,10100,9900,9900,7610
2004-06-15,10000,10100,9920,10100,3080
2004-06-16,10000,10700,10000,10300,2180
2004-06-17,10100,10300,9960,10050,1589
2004-06-18,9970,10000,9920,10000,6110
2004-06-21,10000,10050,9930,10000,1170
2004-06-22,9800,9980,9800,9970,6350
2004-06-23,9970,9970,9670,9930,6850
2004-06-24,9940,9980,9800,9930,304890
2004-06-25,9900,10050,9820,10000,4331
2004-06-28,10000,10050,9900,9900,10760
2004-06-29,9800,10100,9800,9900,800
2004-06-30,10000,10000,9900,9910,1509
2004-07-01,9900,10000,9900,9940,4480
2004-07-02,9900,9950,9820,9950,3030
2004-07-05,9900,10000,9900,10000,6990
2004-07-06,10000,10050,10000,10000,11090
2004-07-07,10000,10200,9820,10100,15390
2004-07-08,10150,10200,9950,10200,3990
2004-07-09,9850,10250,9850,10000,920
2004-07-12,9930,10250,9930,9930,3643
2004-07-13,9990,10050,9920,10000,205190
2004-07-14,9950,10100,9860,10000,2931
2004-07-15,9820,10050,9820,9950,18440
2004-07-16,9800,10000,9800,9910,4932
2004-07-19,9910,9990,9900,9990,3254
2004-07-20,9900,9990,9870,9980,640
2004-07-21,9900,10100,9900,10050,10960
2004-07-22,9770,10200,9770,10050,10950
2004-07-23,9940,10000,9940,10000,2760
2004-07-26,9900,10000,9900,10000,11270
2004-07-27,9930,10050,9910,10000,44780
2004-07-28,10300,10300,9930,10000,740
2004-07-29,10000,10000,9870,9990,3340
2004-07-30,9830,10000,9830,9860,2923
2004-08-02,9870,9980,8700,9980,1930
2004-08-03,9720,10100,9720,9950,1803
2004-08-04,9940,10000,9860,10000,9330
2004-08-05,10000,10100,10000,10100,8323
2004-08-06,10150,10150,10000,10100,1390
2004-08-09,10150,10350,10150,10350,8814
2004-08-10,10400,10650,10400,10500,13450
2004-08-11,10400,10450,10300,10450,2470
2004-08-12,10650,10650,10400,10400,2690
2004-08-13,10300,10450,10100,10400,203200
2004-08-16,10300,10400,10250,10400,8890
2004-08-17,10350,10400,10300,10400,9406
2004-08-18,10400,10550,10300,10450,18600
2004-08-19,10500,11100,10400,11000,22420
2004-08-20,10950,11100,10750,11000,3163
2004-08-23,11300,11350,11050,11350,7540
