date,open,high,low,close,volume
2016-03-14,41800,41800,41000,41400,6870
2016-03-15,41400,41800,40550,41150,6669
2016-03-16,41500,41550,40750,40900,13763
2016-03-17,40800,41750,40700,40800,12369
2016-03-18,41000,41350,40700,41050,20814
2016-03-21,41050,41650,40800,41000,12662
2016-03-22,41000,41500,40100,40850,11428
2016-03-23,41200,41200,40600,40900,13574
2016-03-24,40600,41100,40450,40900,7978
2016-03-25,41150,41150,40300,40750,7912
2016-03-28,40150,40550,39500,40300,17277
2016-03-29,40250,41650,40000,41550,12572
2016-03-30,41750,44750,41450,44000,39803
2016-03-31,44000,46300,43500,44400,39877
2016-04-01,44400,46000,44300,44500,15793
2016-04-04,44500,44550,43050,43350,15281
2016-04-05,43150,44750,42500,44100,18259
2016-04-06,43450,44550,42650,43000,38676
2016-04-07,43000,43950,42400,43050,30901
2016-04-08,42550,43250,42400,43100,20711
2016-04-11,42650,44250,42050,42050,29931
2016-04-12,41750,42800,41750,42450,12647
2016-04-14,42400,44500,42400,44500,21384
2016-04-15,44500,44800,43950,44600,9913
2016-04-18,44000,44250,43600,43600,15442
2016-04-19,43300,44000,43300,43600,10104
2016-04-20,43800,43850,43000,43100,10129
2016-04-21,43200,43500,42050,42300,28327
2016-04-22,42050,42350,41650,41750,13297
2016-04-25,41300,41600,40700,41200,17557
2016-04-26,40850,42750,40850,41800,16779
2016-04-27,41550,41750,41200,41400,6050
2016-04-28,41400,44250,41400,43550,44930
2016-04-29,43550,43550,42500,42650,9730
2016-05-02,42350,42500,41650,41800,9646
2016-05-03,41750,41850,41050,41350,11315
2016-05-04,40950,41400,40400,40400,16690
2016-05-09,40400,40450,39600,39900,10435
2016-05-10,39700,40450,39700,39950,5961
2016-05-11,40150,41150,39500,40600,17050
2016-05-12,40050,41500,40050,41100,8100
2016-05-13,40900,41050,39900,40750,14186
2016-05-16,40050,41000,40050,40750,12425
2016-05-17,40750,42350,40750,42100,21376
2016-05-18,42000,42950,41700,42650,14989
2016-05-19,42000,42750,41800,42300,10901
2016-05-20,42300,42800,41400,42750,14778
2016-05-23,42800,42800,41700,41700,7549
2016-05-24,41450,41450,40400,40450,11042
2016-05-25,40550,41400,40350,41400,9689
2016-05-26,41150,41700,41000,41050,7075
2016-05-27,41500,41500,40250,40400,19916
2016-05-30,40200,40200,38550,39500,28509
2016-05-31,39150,40150,39150,39500,15260
2016-06-01,39500,39550,38750,39300,13645
2016-06-02,39050,39450,38600,39000,14609
2016-06-03,39250,39300,38500,39200,17754
2016-06-07,39300,40400,38950,40000,18662
2016-06-08,39850,40550,39350,40450,14533
2016-06-09,40450,42350,40000,41250,51367
2016-06-10,41300,41600,40700,41000,14015
2016-06-13,40600,41000,39750,39800,14603
2016-06-14,39500,39900,38550,38750,16755
2016-06-15,38550,39250,38300,38550,10605
2016-06-16,38500,38900,37300,37400,26852
2016-06-17,37900,38400,37100,37750,18584
2016-06-20,38500,38500,37650,38050,11806
2016-06-21,37800,38550,37150,38150,17030
2016-06-22,38300,38550,37400,37900,12134
2016-06-23,37650,38050,37200,37500,11058
2016-06-24,37550,38000,35800,36400,39898
2016-06-27,34050,37050,34050,37050,37327
2016-06-28,36150,37100,36150,37000,9375
2016-06-29,37100,37650,36800,37100,12494
2016-06-30,37000,37500,36800,37100,5848
2016-07-01,37000,38550,37000,37550,16673
2016-07-04,37350,38300,37350,38050,16323
2016-07-05,37850,38300,37300,37650,7076
2016-07-06,37650,38000,36450,37050,8211
2016-07-07,37100,37500,36600,36800,15703
2016-07-08,36800,37150,36100,36300,10200
2016-07-11,36900,38450,36400,37750,17589
2016-07-12,37750,38250,37100,37450,7904
2016-07-13,37500,38900,37500,37800,15526
2016-07-14,37800,38400,37700,37950,9697
2016-07-15,37950,38500,37550,38200,15481
2016-07-18,37800,38600,37750,38450,7267
2016-07-19,38450,38600,37900,37900,5871
2016-07-20,38050,38600,37500,38350,18033
2016-07-21,38600,38650,37800,37900,7812
2016-07-22,37800,38300,37500,37750,9297
2016-07-25,37800,37800,36900,37200,17160
2016-07-26,37050,37600,36700,37350,13759
2016-07-27,37450,37600,37250,37250,7062
2016-07-28,37250,37500,37000,37000,10683
2016-07-29,36850,37200,36700,36900,13402
2016-08-01,36700,37300,36650,36700,12834
2016-08-02,36650,36800,36200,36550,12846
2016-08-03,36200,36400,35650,36000,20739
2016-08-04,36050,36450,35300,36450,19397
2016-08-05,36200,36850,36200,36650,7987
2016-08-08,36650,37100,36350,36600,5712
2016-08-09,36850,38150,36450,37950,19907
2016-08-10,37950,38150,36750,36850,24401
2016-08-11,36850,36850,36200,36450,11212
2016-08-12,36350,37750,36350,37350,12637
2016-08-16,37050,38300,36900,38100,25093
2016-08-17,37950,38400,37600,38000,10998
2016-08-18,37650,38000,37250,37900,14159
2016-08-19,37750,38450,36950,37050,11103
2016-08-22,37050,37100,36700,37000,8511
2016-08-23,37000,37000,36650,36800,9039
2016-08-24,36600,37850,36550,37650,10937
2016-08-25,37900,38000,37050,37850,14831
2016-08-26,37850,38150,37600,37950,6082
2016-08-29,37800,38000,37450,37700,9071
2016-08-30,37750,38200,37550,38050,5894
2016-08-31,37950,38150,37200,37550,6285
2016-09-01,37550,38650,37000,38500,13593
2016-09-02,38500,38550,37900,38250,9445
2016-09-05,38400,39600,38250,39500,17198
2016-09-06,39500,39600,38700,39550,9162
2016-09-07,39150,41000,39150,39750,16722
2016-09-08,40250,40250,38700,38700,12562
2016-09-09,39050,39450,38150,38300,17824
2016-09-12,37800,38050,37300,37800,11016
2016-09-13,38000,38200,37450,38150,13466
2016-09-19,37700,38200,37250,37550,15401
2016-09-20,37250,37650,36950,37250,11573
2016-09-21,37250,37300,37000,37200,11043
2016-09-22,37400,37800,37350,37400,5873
2016-09-23,37800,37950,37600,37900,8997
2016-09-26,37900,38050,37200,37450,8399
2016-09-27,37250,38250,37100,38050,14192
2016-09-28,38450,38850,37850,38800,11577
2016-09-29,39000,39100,38350,39000,8695
2016-09-30,39000,39000,38450,38900,12481
2016-10-04,38700,39050,38250,38650,7986
2016-10-05,38300,38700,38200,38600,9083
2016-10-06,38250,38600,38000,38450,8753
2016-10-07,38750,38750,37900,38100,7579
2016-10-10,38300,38450,38100,38100,6865
2016-10-11,38400,39600,38400,39350,15348
2016-10-12,39600,39850,39350,39850,12827
2016-10-13,40000,40000,39350,39750,12048
2016-10-14,39950,39950,39450,39900,7751
2016-10-17,39350,39800,38900,38900,6223
2016-10-18,39000,39850,38850,39850,11159
2016-10-19,40000,40000,39300,39500,5890
2016-10-20,39500,39600,39100,39300,6165
2016-10-21,39050,39700,38800,39550,10124
2016-10-24,39850,39850,39300,39550,4509
2016-10-25,39350,39800,39250,39600,6069
2016-10-26,39800,39800,38150,38400,10644
2016-10-27,38850,38850,37550,38400,11139
2016-10-28,38000,38550,37750,38500,5356
2016-10-31,38000,39000,37450,39000,15839
2016-11-01,38850,38850,37900,38300,7975
2016-11-02,38150,38150,37300,37350,9067
2016-11-03,37200,37900,37150,37900,4411
2016-11-04,38200,38350,37450,38300,9090
2016-11-07,38600,39050,38250,38850,7979
2016-11-08,38850,39050,38500,39000,2896
