date,open,high,low,close,volume
2009-01-16,208500,216000,206500,214500,364720
2009-01-19,212000,215000,206500,210000,311054
2009-01-20,207000,210000,205000,207500,227761
2009-01-21,207500,211500,206000,209500,291516
2009-01-22,209000,213000,206000,212000,359397
2009-01-23,211000,212500,206000,210000,249518
2009-01-28,214000,220000,213500,218000,302721
2009-01-29,218000,218500,208500,212000,414071
2009-01-30,209000,210500,206000,207500,238333
2009-02-02,205500,208000,203000,204000,234773
2009-02-03,205000,207000,202500,203500,262810
2009-02-04,204500,205000,199500,201000,724662
2009-02-05,201000,204000,200000,203500,352609
2009-02-06,202000,202500,200000,202000,371962
2009-02-09,202000,203500,200500,203000,271758
2009-02-10,203500,204500,202000,203500,240542
2009-02-11,201500,202000,199500,199500,269328
2009-02-12,199000,201000,196500,199500,375505
2009-02-13,197500,202000,196500,201500,258395
2009-02-16,200000,201000,196000,196000,324530
2009-02-17,195000,196000,188000,193500,450285
2009-02-18,192000,193500,188500,191000,322039
2009-02-19,190000,196000,188500,192500,402553
2009-02-20,191000,192500,189000,191000,225847
2009-02-23,191500,198500,191000,197000,426685
2009-02-24,192500,193500,190000,191000,241600
2009-02-25,194000,197000,191000,195000,275685
2009-02-26,195000,198000,190000,192000,233291
2009-02-27,192000,192500,187500,187500,265822
2009-03-02,187000,187500,180000,184500,322721
2009-03-03,182000,183500,180000,181500,257620
2009-03-04,180500,185000,176500,184000,366785
2009-03-05,184500,189000,182000,188500,332875
2009-03-06,188000,188000,182500,184000,228780
2009-03-09,183000,186500,180000,182500,209047
2009-03-10,180000,186500,179500,183500,318981
2009-03-11,187000,192500,186500,190000,370098
2009-03-12,189000,195000,188000,195000,551007
2009-03-13,191500,194000,187000,188000,458325
2009-03-16,186000,188500,183500,186000,257985
2009-03-17,188000,188500,185000,187000,274884
2009-03-18,188500,190500,185500,187000,279181
2009-03-19,187500,189000,185000,187000,205588
2009-03-20,186000,190000,185500,188000,345977
2009-03-23,187500,191000,186500,187000,322614
2009-03-24,189000,191500,185500,187500,510136
2009-03-25,189000,191000,188000,190000,301026
2009-03-26,190000,191500,188000,191000,360757
2009-03-27,190000,196000,189500,194000,492980
2009-03-30,196000,198500,193000,194500,326700
2009-03-31,195000,195000,191000,192000,248605
2009-04-01,193000,193500,186500,187500,509383
2009-04-02,189000,189000,185500,187000,578645
2009-04-03,187000,188000,183500,184500,817954
2009-04-06,185000,188000,185000,186000,378778
2009-04-07,185500,187000,185000,185500,376550
2009-04-08,185500,187000,183000,183000,324535
2009-04-09,184500,187000,184000,184500,523721
2009-04-10,186500,187000,184500,186500,383394
2009-04-13,186500,194000,186500,192500,621627
2009-04-14,194000,194000,189500,192500,482637
2009-04-15,192000,192000,189500,191500,360989
2009-04-16,192500,194000,189500,191000,395741
2009-04-17,190500,192000,186000,186500,412017
2009-04-20,186500,187500,184000,185000,270682
2009-04-21,183500,186500,182500,185500,221068
2009-04-22,186000,186500,183500,184500,288363
2009-04-23,185500,187000,184000,184500,243518
2009-04-24,185000,185500,183500,185500,276355
2009-04-27,185500,189500,184500,186500,428911
2009-04-28,188000,190000,186500,186500,283542
2009-04-29,188000,189000,186000,187000,189123
2009-04-30,188000,188500,183500,183500,563670
2009-05-04,184000,184500,180000,180500,689772
2009-05-06,180000,182000,179000,180000,478170
2009-05-07,181500,185000,180000,182000,462242
2009-05-08,182000,182500,179000,180500,441319
2009-05-11,181000,185000,180000,183500,460848
2009-05-12,184000,184500,181500,182500,309094
2009-05-13,183500,184500,180000,181500,409233
2009-05-14,181000,181500,178500,179000,450907
2009-05-15,180500,181500,179000,180000,398053
2009-05-18,179500,180000,177500,178500,294342
2009-05-19,179000,179500,176500,178000,585788
2009-05-20,178500,179000,177000,177500,433169
2009-05-21,178000,179000,176500,177000,463925
2009-05-22,177000,179500,176500,176500,456592
2009-05-25,176500,182000,176000,180000,708889
2009-05-26,180000,181000,177500,179000,291895
2009-05-27,180000,180500,177000,178500,299405
2009-05-28,177000,178000,175000,178000,435196
2009-05-29,177500,178000,176000,176000,283713
2009-06-01,175500,175500,171000,173000,555079
2009-06-02,173500,174500,169500,170500,578364
2009-06-03,172000,178000,171000,177000,653985
2009-06-04,176000,179000,175000,176000,424719
2009-06-05,175500,176000,173500,174500,250071
2009-06-08,174500,175000,172000,174000,217218
2009-06-09,175000,175500,172500,172500,478049
2009-06-10,173000,179500,173000,177500,558354
2009-06-11,176500,178000,173000,174500,673108
2009-06-12,174500,177500,174000,176500,283772
2009-06-15,177500,180000,176000,179500,454334
2009-06-16,179500,184000,178500,181000,488500
2009-06-17,181000,183000,180500,182000,214738
2009-06-18,180000,181000,176000,176500,287622
2009-06-19,176000,176500,173000,174500,293037
2009-06-22,173500,175000,172500,174500,373502
2009-06-23,174000,175000,172500,175000,236102
2009-06-24,174000,174500,171000,173000,256653
2009-06-25,172000,175500,171500,173500,228355
2009-06-26,174000,176000,173000,174000,204518
2009-06-29,173000,174500,173000,174000,127716
2009-06-30,174000,176000,173500,174000,226047
2009-07-01,173500,180000,173000,178500,512791
2009-07-02,179500,180500,177500,178500,297632
2009-07-03,177000,180500,176500,179000,162850
2009-07-06,179500,181000,177500,181000,147625
2009-07-07,180500,181000,178500,179000,141467
2009-07-08,179000,182000,178500,182000,315825
2009-07-09,183500,185000,182000,184500,391103
2009-07-10,184500,185500,182000,185000,228610
2009-07-13,184500,184500,181000,182000,172859
2009-07-14,182500,182500,177000,179000,338188
2009-07-15,179500,179500,174500,176000,397368
2009-07-16,177000,177500,174000,175000,295646
2009-07-17,175000,178000,175000,177000,168223
2009-07-20,176500,178500,176500,177000,186167
2009-07-21,178000,181000,177500,179500,408439
2009-07-22,180500,182000,179000,181000,182460
2009-07-23,182000,186000,181500,185500,408858
2009-07-24,185500,186000,182000,183000,269402
2009-07-27,182500,184500,178500,179500,389716
2009-07-28,178500,182500,178500,182500,308612
2009-07-29,182500,183000,180500,182500,268980
2009-07-30,183500,186500,183000,185000,401712
2009-07-31,187000,187000,184000,185500,274912
2009-08-03,185500,186000,182000,184000,253354
2009-08-04,183000,184000,178500,179000,623930
2009-08-05,178500,180500,178500,179000,225391
2009-08-06,179000,181000,178500,180500,240377
2009-08-07,179500,180000,178000,178500,258109
2009-08-10,178500,179500,176000,176500,367779
2009-08-11,177500,180000,177000,178000,239779
2009-08-12,179000,180000,176500,176500,211878
2009-08-13,177000,177500,173500,174000,637263
2009-08-14,174500,176000,173000,174000,396279
2009-08-17,174000,174500,172500,173000,317126
2009-08-18,173000,176000,173000,175000,295991
2009-08-19,174500,178500,174000,176000,486322
2009-08-20,177000,177500,175000,176500,266150
2009-08-21,177000,177500,172500,174000,496356
2009-08-24,173500,176000,172000,174000,336499
2009-08-25,173500,174000,172500,173000,185194
2009-08-26,173000,174500,172500,174500,154791
2009-08-27,174500,176000,174000,175000,225906
2009-08-28,175000,175500,174000,175000,191286
2009-08-31,175000,175500,172500,175000,313215
2009-09-01,174500,176500,174000,174500,236099
2009-09-02,175500,176500,174000,175000,312828
2009-09-03,175000,176000,174500,176000,293903
2009-09-04,175500,175500,172000,173500,570917
2009-09-07,172500,173500,168500,168500,694880
2009-09-08,169500,169500,165000,166000,583884
2009-09-09,167500,170000,166500,168000,303755
2009-09-10,171000,172500,170000,171000,492609
2009-09-11,171000,173500,169000,172000,301359
2009-09-14,173000,175500,172000,175500,378895
2009-09-15,175000,176000,171500,172000,309190
2009-09-16,172000,175500,171500,174500,368929
2009-09-17,176000,176500,173000,173000,425417
2009-09-18,174000,175000,173000,174500,376086
2009-09-21,174500,176000,173000,174500,244683
2009-09-22,175500,175500,172000,173000,270120
2009-09-23,172500,173000,170000,171500,421254
2009-09-24,172000,173500,171500,172500,183230
2009-09-25,171500,173500,170000,171000,342288
2009-09-28,172500,176500,171000,176000,543785
2009-09-29,177500,180500,177500,179500,605822
2009-09-30,181500,183000,180000,182500,621942
2009-10-01,183500,185500,183500,185000,692349
2009-10-05,185000,186000,180000,180000,564991
2009-10-06,182000,183500,177500,180000,526296
2009-10-07,182500,183000,180000,182000,328356
2009-10-08,181500,182500,178500,180500,361388
2009-10-09,179000,181000,178000,180500,262061
2009-10-12,180500,181000,177500,180000,200001
2009-10-13,180500,185000,179000,183500,400023
2009-10-14,184500,190000,183500,190000,782148
2009-10-15,190000,190500,187000,190500,385397
2009-10-16,187500,190000,186500,188000,250375
2009-10-19,188500,189000,185000,189000,196325
2009-10-20,187500,188500,186000,187500,142245
2009-10-21,187000,187500,184500,187000,267026
2009-10-22,185500,186500,183000,183000,368652
2009-10-23,183500,184000,181500,181500,211285
2009-10-26,181000,186500,181000,185500,200756
2009-10-27,183500,185000,182500,183000,149120
2009-10-28,182500,184000,180500,180500,218239
2009-10-29,179500,181000,177000,180000,358838
2009-10-30,183000,183000,179000,181500,239915
2009-11-02,180000,184500,179000,184000,283220
2009-11-03,183500,185000,182500,183000,224212
2009-11-04,184000,184000,181000,182000,131787
2009-11-05,181000,182000,178500,181500,205937
2009-11-06,180000,182500,179000,180500,151285
2009-11-09,180500,181500,179000,179000,121171
2009-11-10,179500,180500,178000,179000,143739
2009-11-11,180000,181000,178000,179500,142514
2009-11-12,178500,179500,176500,177000,298342
2009-11-13,177000,178500,176500,178500,189800
2009-11-16,178000,179000,176500,178000,267074
2009-11-17,178000,178500,176000,177000,281590
2009-11-18,178000,179500,175500,177500,226111
2009-11-19,177000,177500,175500,176000,308893
2009-11-20,176500,177000,175000,175500,142602
2009-11-23,175000,176000,174000,176000,207866
2009-11-24,176500,177500,174000,175000,219723
2009-11-25,175000,177000,174500,177000,219223
2009-11-26,177000,178000,174000,174500,242499
2009-11-27,174000,175000,170500,170500,279956
2009-11-30,171500,172500,169500,169500,245692
2009-12-01,169500,171500,169000,171500,166503
2009-12-02,171500,173000,171000,172500,130355
2009-12-03,172000,174000,171000,173000,240405
2009-12-04,171500,173500,171500,173000,162675
2009-12-07,173000,174000,172000,173000,142208
2009-12-08,172500,174000,172500,173500,100863
2009-12-09,172500,173000,171500,172000,204630
2009-12-10,173500,176000,172500,176000,498641
2009-12-11,176000,177000,175000,176000,195256
2009-12-14,176000,177000,174500,177000,180957
2009-12-15,176500,176500,174500,175500,155006
2009-12-16,176000,178000,175500,177000,145101
2009-12-17,176000,178000,175500,176500,168268
2009-12-18,176500,177500,175500,176500,152111
2009-12-21,176000,176500,174000,174000,143813
2009-12-22,175000,175500,173500,175500,118436
2009-12-23,175000,175500,174500,175000,97482
2009-12-24,175000,178500,175000,178500,258441
2009-12-28,179500,179500,177000,177000,364250
2009-12-29,170500,172000,169500,170000,266286
2009-12-30,170000,170500,168000,169500,253842
2010-01-04,168500,170000,168500,170000,146946
2010-01-05,169000,170000,167500,168500,239145
2010-01-06,168500,169500,167000,169000,234945
2010-01-07,169000,171500,168500,171500,272246
2010-01-08,171500,171500,168000,169500,433374
2010-01-11,169500,172000,169500,172000,292713
2010-01-12,172500,173000,171000,173000,166792
2010-01-13,173000,173000,171000,173000,135655
2010-01-14,173500,173500,170500,171000,267089
2010-01-15,173500,181000,173000,181000,1127545
2010-01-18,182000,182000,178000,179000,331690
2010-01-19,180000,183000,178000,182500,326423
2010-01-20,182000,192000,182000,188000,1061978
2010-01-21,189000,190000,185000,186000,359204
2010-01-22,184000,184500,180000,181000,335997
2010-01-25,180000,182500,177500,177500,280754
2010-01-26,178000,180500,176500,178000,463183
2010-01-27,178500,189500,177500,187000,863975
2010-01-28,188000,189500,183500,185000,437132
2010-01-29,183000,186000,179000,183000,381375
2010-02-01,182000,184000,179000,179500,235505
2010-02-02,180500,181500,177000,177000,257542
2010-02-03,178500,179000,175500,176500,208559
2010-02-04,177500,179500,176500,177000,213730
