date,open,high,low,close,volume
2004-04-01,10450,10700,10300,10600,1040419
2004-04-02,10700,10700,10150,10350,1381391
2004-04-06,10550,11000,10450,10850,2510046
2004-04-07,11000,11000,10700,10800,1211703
2004-04-08,10900,10950,10700,10750,1030845
2004-04-09,10600,10650,10200,10300,1101419
2004-04-12,10250,10500,10250,10350,932927
2004-04-13,11100,11300,10600,10800,4481823
2004-04-14,10600,10700,10450,10600,1103182
2004-04-16,10500,10800,10500,10550,1219601
2004-04-19,10500,10600,10250,10300,1386403
2004-04-20,10350,10450,10250,10450,1109448
2004-04-21,10300,10450,10200,10400,1641066
2004-04-22,10450,10750,10350,10700,2061777
2004-04-23,10950,11300,10900,11250,4576721
2004-04-26,11400,11600,11150,11200,2823727
2004-04-27,11250,11350,10800,11050,1460625
2004-04-28,11100,11200,10850,10850,1185847
2004-04-29,10550,10650,9970,10000,3071620
2004-04-30,9820,10250,9820,10100,21979866
2004-05-03,10100,10150,9980,10050,824833
2004-05-04,10050,10200,9950,9950,1468684
2004-05-06,9860,9950,9020,9080,2489416
2004-05-07,8930,9390,8730,9390,1598915
2004-05-10,9210,9540,8600,8930,1629333
2004-05-11,8660,8970,8520,8900,1475510
2004-05-12,8950,9050,8560,8710,1893057
2004-05-13,8780,8870,8600,8630,2159332
2004-05-14,8720,9050,8130,8240,3549080
2004-05-17,8100,8270,7510,7600,2002376
2004-05-18,7420,7650,7300,7500,1946445
2004-05-19,7580,8010,7500,7940,3297953
2004-05-20,7770,8100,7620,7850,1897470
2004-05-21,7990,8100,7870,7960,1307733
2004-05-24,8100,8500,8030,8460,1909448
2004-05-25,8460,9600,8370,9180,7170079
2004-05-27,9440,9480,8750,8760,2983602
2004-05-28,8940,9010,8630,8900,1976610
2004-05-31,8840,8900,8500,8550,1191238
2004-06-01,8510,8710,8450,8700,1219692
2004-06-02,8560,8700,8490,8510,783092
2004-06-03,8570,8640,7850,7990,1616756
2004-06-04,7990,8120,7900,8060,1788704
2004-06-07,8100,8600,8070,8500,1602038
2004-06-08,8620,8700,8460,8580,1280033
2004-06-09,8630,8670,8230,8230,1042582
2004-06-10,8150,8330,8120,8160,921571
2004-06-11,8160,8230,7930,7990,1096130
2004-06-14,7800,8170,7800,8000,1238422
2004-06-15,8080,8220,8000,8200,1082428
2004-06-16,8230,8380,8120,8280,937470
2004-06-17,8280,8450,8160,8390,1046589
2004-06-18,8350,8370,7990,8000,824749
2004-06-21,8000,8280,8000,8130,1048832
2004-06-22,8060,8180,7980,8020,877799
2004-06-23,8000,8070,7560,7600,1808315
2004-06-24,7800,8000,7760,7900,1914499
2004-06-25,7850,8030,7750,7910,728740
2004-06-28,7960,7990,7830,7860,519261
2004-06-29,7810,7930,7770,7930,563891
2004-06-30,7990,8340,7960,8270,1341292
2004-07-01,8370,8400,8140,8150,569474
2004-07-02,8000,8140,7860,7860,587560
2004-07-05,7820,7930,7720,7800,512281
2004-07-06,7760,7900,7710,7770,654600
2004-07-07,7590,7650,7450,7570,1067492
2004-07-08,7600,7770,7490,7490,1166707
2004-07-09,7410,7770,7400,7640,872640
2004-07-12,7700,7800,7650,7680,674425
2004-07-13,7700,7920,7640,7850,689492
2004-07-14,7800,7900,7570,7570,536350
2004-07-15,7650,7700,7490,7490,507256
2004-07-16,7440,7530,7260,7410,705512
2004-07-19,7300,7330,7130,7310,1759692
2004-07-20,7200,7270,7140,7150,671650
2004-07-21,7350,7590,7270,7280,7465635
2004-07-22,7100,7150,6960,7000,1391400
2004-07-23,7000,7060,6770,6780,1253287
2004-07-26,6570,6790,6570,6610,1233497
2004-07-27,6570,6720,6570,6600,974983
2004-07-28,6720,6880,6720,6720,1358801
2004-07-29,6720,6760,6410,6410,896853
2004-07-30,6550,6560,6430,6430,587640
2004-08-02,6420,6560,6380,6430,714231
2004-08-03,6600,6830,6600,6670,1216564
2004-08-04,6540,6690,6500,6690,595558
2004-08-05,6770,6940,6710,6860,696222
2004-08-06,6700,6760,6600,6720,587892
2004-08-09,6620,7080,6620,7080,1072111
2004-08-10,7000,7080,6880,7080,469463
2004-08-11,7200,7200,6880,6900,623421
2004-08-12,7020,7150,6920,7100,903327
2004-08-13,7170,7460,7100,7330,2124901
2004-08-16,7440,7450,7230,7400,796204
2004-08-17,7530,7530,7330,7410,509650
2004-08-18,7350,7500,7350,7440,422345
2004-08-19,7550,7630,7460,7630,1214064
2004-08-20,7600,7840,7520,7640,715856
2004-08-23,7740,7780,7570,7570,751162
2004-08-24,7650,7680,7380,7410,819368
2004-08-25,7400,7440,7250,7370,1582866
2004-08-26,7500,7900,7500,7760,2715270
2004-08-27,7890,7930,7650,7700,1084828
2004-08-30,7720,7780,7620,7660,599341
2004-08-31,7600,7710,7600,7630,654622
2004-09-01,7590,7940,7570,7800,1268875
2004-09-02,7750,8250,7740,8130,1882885
2004-09-03,8240,8310,8020,8140,1377786
2004-09-06,8140,8350,8100,8330,1160012
2004-09-07,8350,8440,8110,8320,1341645
2004-09-08,8370,8410,8170,8170,882358
2004-09-09,8340,8450,8120,8230,1759219
2004-09-10,8110,8210,8070,8160,1169881
2004-09-13,8650,9300,8570,8640,5931216
2004-09-14,8750,8780,8220,8220,2447374
2004-09-15,8260,8310,8070,8080,1254971
2004-09-16,7900,8200,7900,8040,1542461
2004-09-17,8010,8140,7910,7910,1663082
2004-09-20,8100,8200,8010,8020,1756620
2004-09-21,7960,8090,7940,7980,1024574
2004-09-22,8070,8100,7650,7670,1497388
2004-09-23,7570,8070,7510,7780,2374108
2004-09-24,7600,7750,7570,7650,1304321
2004-09-30,7630,7770,7590,7620,1125852
2004-10-01,7600,7720,7580,7660,878521
2004-10-04,7800,7940,7770,7940,1667502
2004-10-05,8000,8000,7840,7960,901176
2004-10-06,7960,8120,7860,8070,1702561
2004-10-07,8150,8180,7890,7900,1121310
2004-10-08,7800,7930,7730,7780,1774648
2004-10-11,7730,7780,7680,7780,831048
2004-10-12,7720,7830,7660,7680,948681
2004-10-13,7700,7780,7650,7650,746450
2004-10-14,7600,7640,7470,7480,851531
2004-10-15,7350,7400,7240,7310,744953
2004-10-18,7230,7350,7230,7300,619372
2004-10-19,7380,7450,7310,7340,688110
2004-10-20,7300,7550,7270,7450,1228650
2004-10-21,7530,7610,7400,7550,2161812
2004-10-22,7550,8030,7550,8000,4270950
2004-10-25,7900,8270,7730,8200,2918000
2004-10-26,8060,8100,7760,7760,920000
2004-10-27,7810,7870,7360,7440,635870
2004-10-28,7530,7620,7390,7450,966837
