date,open,high,low,close,volume
2004-03-26,470,485,465,470,1177230
2004-03-29,470,470,400,410,4348470
2004-03-30,390,400,350,385,4349690
2004-03-31,380,440,375,440,4496250
2004-04-01,445,505,435,480,8530690
2004-04-02,480,505,445,475,3444420
2004-04-06,485,485,460,470,1650360
2004-04-08,445,495,430,470,5018032
2004-04-09,455,480,450,465,1351950
2004-04-12,465,470,455,470,1267499
2004-04-13,470,535,465,505,5451930
2004-04-14,505,520,490,500,2916601
2004-04-16,500,535,500,530,3139454
2004-04-19,550,550,510,525,3986750
2004-04-20,520,530,510,520,3100160
2004-04-21,510,525,505,525,3006491
2004-04-22,520,525,475,485,3423934
2004-04-23,490,505,485,500,2331030
2004-04-27,520,540,465,500,16463050
2004-04-28,495,500,480,490,2302760
2004-04-29,490,520,485,510,7524804
2004-04-30,515,525,505,510,3168970
2004-05-03,515,525,510,510,5096565
2004-05-04,510,515,495,515,2695190
2004-05-06,510,540,510,540,5951071
2004-05-07,530,535,460,510,6591370
2004-05-10,500,515,490,510,2960881
2004-05-11,500,525,495,505,4312041
2004-05-12,510,510,485,490,8379740
2004-05-13,485,490,460,465,3688800
2004-05-14,465,475,440,455,2461370
2004-05-17,450,470,395,405,3099310
2004-05-18,400,465,390,465,5597165
2004-05-19,475,485,450,465,2892988
2004-05-20,465,470,450,450,1398500
2004-05-21,450,470,450,460,955931
2004-05-24,455,500,455,480,3138141
2004-05-25,490,510,480,500,3577299
2004-05-27,510,510,485,495,2094440
2004-05-28,500,515,495,500,2662571
2004-05-31,510,570,470,480,26870771
2004-06-01,505,510,460,475,8554371
2004-06-02,475,480,455,460,4265530
2004-06-03,460,475,435,435,5442673
2004-06-04,425,450,425,435,5166790
2004-06-07,435,450,435,445,4023450
2004-06-08,445,450,430,435,3506893
2004-06-09,435,450,425,430,6186328
2004-06-10,425,440,420,435,5117938
2004-06-11,435,440,410,425,3709770
2004-06-14,415,420,405,405,2561760
2004-06-15,400,420,395,400,6796245
2004-06-16,400,410,380,385,5444272
2004-06-17,380,385,370,375,2185539
2004-06-18,375,400,375,390,4093330
2004-06-21,385,400,380,395,2854800
2004-06-22,390,400,380,395,2519794
2004-06-23,400,405,375,375,2347781
2004-06-24,380,390,360,370,4448881
