"open","volume","high_close_ratio","volume_ma5_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","ad_ratio","obv_ratio","adosc5_ratio","b_upper5_ratio","aroondown5_ratio","macd5_ratio","dx5_ratio","ultosc5_ratio"
0.4734545455,0.1118448158,0.0682218468,-0.2855684095,-0.1314785266,-0.1017466783,-0.0648648649,3.92903601063374E-05,-0.0006614673,0.0002960294,-0.0556138907,-0.04,5.88248180353997E-05,-0.0002660197,0.0233555965
0.4727272727,0.3506544828,0.189662064,0.2585429521,0.2362286199,0.2067170218,0.277992278,0.0001369646,0.0021641653,0.0006402486,-0.1888501093,0.05,0.000096381,0.0003824917,-0.0707212021
0.4661818182,0.3246968057,0.1923672281,0.1500923604,0.181269901,0.1685670913,-0.0540540541,0.0002707021,0.0017631539,0.0015441304,-0.4481520546,0,0.0001260513,0.00011223,-0.1992254552
0.4581818182,0.3227958799,0.0881380489,0.1175876519,0.1695464312,0.1605723074,-0.036036036,0,0.0015773233,0.000300596,-0.0659180131,0,7.37312110584802E-05,0.0001457627,0.3945337197
0.4552727273,0.2297960002,0.1771249393,-0.0812076394,0.0274566648,0.0449944995,0.0648648649,0.0001144862,0.0010212293,0.0003414199,-0.0515490371,0,2.62368572694053E-05,-0.000233886,-0.0303152561
0.4530909091,0.3122439982,0.2302624211,0.0077868268,0.1390150021,0.1487671428,0,0.0002793004,0,0.0011370766,-0.2303761067,-0.04,-2.6621296059835E-05,-0.0004277447,-0.189814245
0.4538181818,0.293870386,0.0882790698,-0.0054011821,0.1091176621,0.1205202181,-0.0997920998,0.0001039398,-0.0012269084,0.0006046547,-0.2367702195,-0.05,-7.58363012664799E-05,2.21448686410443E-19,-0.0621481996
0.4574545455,0.2702701295,0.1939037076,-0.0309754167,0.0742839403,0.0877600525,0.1544401544,0.0002162988,-0.0012230781,0.0008143582,-0.1008548582,-0.0666666667,-9.85322605296335E-05,-0.001358382,-0.0717259514
0.456,0.2049629273,0.1945251938,-0.124523482,-0.0174995544,0.0061601126,-0.018018018,0.0001540294,0.001005119,0.0006134143,-0.0190225974,-0.1,-7.6550907572022E-05,0.0024906032,-0.2421063086
0.4567272727,0.2586810148,0.1228047473,-0.0198392922,0.055268978,0.0698584916,0.0196560197,0.000074322,-0.0011928813,0.000204212,0.0728584965,-0.2,-0.0001635664,-0.0006769694,0.1815571952
0.464,0.5450070137,0.1021748493,0.4177433845,0.4173976551,0.4052454938,0.2342342342,-0.0001914608,-0.0027178462,-0.0009594622,0.4564942077,0.2,-0.0005413768,0.0083820659,1
0.4712727273,0.6039441305,0.0830940039,0.3442884342,0.454095934,0.4620763008,-0.0345945946,-0.0002358258,-0.0036352716,-0.0019483367,0.491130169,-0.2,-0.0033315543,0.0005161124,0.2299090152
0.4829090909,0.6674750511,0.0324078817,0.2644164991,0.4825516713,0.5089115771,0.0617760618,-0.0004561584,-0.0052138091,-0.0044429608,0.5190223343,0.2,0.0008703613,0.0001995363,0.3118063865
0.4909090909,0.3180004809,0.421178768,-0.1913580184,0.0583086537,0.1085605573,0.048048048,0.0001662799,0.0037020978,-0.006260093,-0.0449970313,-0.2,-0.0001371767,-0.000612212,-0.0869183743
0.4712727273,0.3118732716,0.3835188655,-0.2067368142,0.0415056977,0.0968749021,-0.0327600328,0.0001577866,0.0029431487,0.030820731,-0.0351996504,0,-0.0004570807,-0.00131128,-0.083816011
