"close","high_close_ratio","close_lastclose_ratio","volume_ma5_ratio","volume_ma60_ratio","b_lower5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","macd5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","rocp5_ratio"
0.4432029795,0.1342921784,-0.1507280598,0.1756643321,0.0228870573,0.2084910299,-3.00884246356765E-05,-0.0452908745,-0.0479678711,0.1345454545,-0.0005692543,-0.00028765,-0.0114676077,-4.58462856556451E-14,-0.0115599642
0.4096834264,0.8716783217,-0.6896758703,0.4676104085,0.1541232732,-0.7631001243,-3.1225519926913E-05,-0.0987616314,-0.1292665752,0.0333333333,-0.0023636403,-0.0012960944,0.0039117259,2.04357546364924E-14,-0.0973205742
0.4134078212,0.143970894,0.0829004329,0.0317045918,0.0291782884,-0.2940445463,2.36925720863227E-05,0.0389008294,-0.1026271992,-0.0085714286,-0.0064404754,-0.0019711058,6.52886051388003E-06,-8.06191667197189E-15,-0.0032524671
0.3947858473,0.5527939042,-0.4107679108,-0.0082376929,0.0328549531,-0.4454918331,2.28021025046339E-05,-0.0530317828,-0.1677186043,0.0079144385,0.0072397876,-0.0047483242,0.0002064035,-1.60345994381698E-15,0.0112335754
0.3947858473,0.1005079826,0,0.0246535982,0.0707638732,-0.1156814265,1.17907336615385E-05,0,-0.1660454834,-0.0057638889,0.0009450722,0.0161758916,-0.0002174558,3.09949822305956E-16,0.0005614323
0.3780260708,0.6297840091,-0.3871293801,-0.0403602939,0.0427687791,-0.0754679332,0.000003838,-0.0509962258,-0.2562334349,0.0096551724,0.0010965981,0.0031530777,2.41774379335735E-05,-2.66092743425302E-16,0.0034620098
0.3836126629,0.1034353996,0.1347642505,-0.0631684009,0.0087688744,-0.1165317252,0,0.1155977371,-0.2571593759,-0.0054545455,4.63689359501662E-05,0.0010784236,-0.0004643549,-3.20017151032282E-15,-0.0105430622
0.3798882682,0.1566742081,-0.0885344429,-0.1104200834,-0.013958596,0.0856567238,0,-0.0142622659,-0.3153974772,0.004,-8.98326748873957E-06,0.0004983158,-0.0005034677,-1.17234099665876E-15,0.005094874
0.3854748603,0.1029357116,0.1341036415,-0.1021049859,-0.0183787241,0.0245907652,-3.22147406689191E-05,0.0819688431,-0.2761439933,-0.0119298246,-0.0003882085,2.10732806344702E-05,-0.0011761757,-2.24412152682451E-14,-0.0131793591
0.4022346369,0.0986467236,0.3964803313,0.0817146129,0.0416103753,-0.110301291,-4.99625436679021E-05,0.114013015,-0.0050922806,-0.032,-0.0011469995,-0.0006056839,-0.0369333216,1.12169586560269E-12,-0.0334539474
0.4022346369,0.0986467236,0,-0.0709228137,-0.021463937,0.0789494932,0,-4.07181261940871E-17,0.2527455291,0,-0.0012177543,-0.0008990427,0.0003078284,-8.76324895002356E-15,0.044495398
0.3891992551,0.5097534045,-0.2955246914,-0.0610291116,-0.0237169987,0.06244002,-9.76830093649934E-06,-0.0479204095,0.1951418956,0.1475,0.000317258,-0.0006138539,-0.0005901384,-1.71908337860167E-14,-0.0143590194
0.3854748603,0.2058714233,-0.0872636136,-0.0783888622,-0.0306739504,0.1007905669,6.8057375677522E-05,-0.0154726037,-0.0065334227,0.0112,0.0004060399,-0.0002839473,-0.0007555814,-1.07204660551163E-13,0.000182211
0.4059590317,0,0.4845870715,0.0969573158,0.0345037186,0.0896410892,-5.84220543644179E-05,0.1150991417,0.4018022196,-0.0366666667,-0.0020198518,-0.0011339615,0.003331374,-3.14135411395308E-14,0.0485737668
0.4078212291,0.0972953987,0.0418304937,0.1353617085,0.0464124869,-0.0219030717,0.0001059815,0.0044005012,0.2461936518,0.0305882353,-0.0045526796,-0.0018619176,0.0001914549,4.04897203466389E-14,-0.0137279456
0.4134078212,0.047990298,0.1249184605,-0.0527746164,-0.0134936685,-0.0423549371,3.08137256111942E-05,0.0132263277,0.2888248715,-0.0221052632,0.0072262408,-0.0038146439,6.31174818203345E-05,-3.73145533977642E-16,0.0185855263
0.4040968343,0.2945763914,-0.2053839554,-0.0667361651,-0.0167768482,0.1618093078,-5.09021419533801E-05,-0.0363072422,0.1387217299,0.2,-0.0005685418,-0.7885487332,-0.0006411522,-1.80009965005194E-14,0.0070251511
0.4059590317,0.2443542696,0.0420232609,0.0219682354,0.0250597873,0.4399083467,2.23334381997341E-20,0.0076833079,0.155024893,-0.0048148148,-0.000182749,0.0020603314,-0.0005728435,-2.15710743385193E-14,0.0072164815
0.4227188082,0.0938664859,0.376474443,0.1207976154,0.0703518309,-0.0936005902,3.04286729783122E-05,0.0488379272,0.1187743423,-0.0262857143,0.0033510366,0.0035358902,0.0020269268,1.86366308924688E-13,-0.004146479
0.4208566108,0.3299863853,-0.0401720159,0.2107490772,0.1241285311,0.024928233,7.485619478317E-05,-0.0079796597,-0.0281257746,0.0776,0.0004826086,0.0015461916,-0.0001955693,-7.48114134439689E-15,-0.0041961234
0.4320297952,0.0918435013,0.2420986094,-0.0353042964,0.0302294125,-0.0611124836,9.69220479876701E-06,0.0200792178,0.0110368705,-0.029010989,0.0010057142,0.0014305,0.0003697089,-6.93775275607974E-16,0.0076064316
0.417132216,0.3804945055,-0.3144499179,-0.1081850924,0.0007934848,0.1769562035,-7.24029246688907E-05,-0.0501360651,0.0404458588,0.1766666667,-0.000708482,9.11489188314355E-05,-0.0011270675,-2.00846060748072E-14,-0.0052758913
0.417132216,0.2378090659,0,-0.1610009849,-0.028149933,0.2073035635,0.0001143993,-4.31818320020054E-17,0.0161783842,0.0285714286,-0.000687033,-0.0003267188,-0.0057683522,-3.3151335299197E-13,-0.0027281507
0.4320297952,0.137765252,0.3256802721,-0.0532269224,0.0052522094,-0.0208971071,-8.55988848563431E-06,0.0466115903,-0.0248820343,-0.0288,0.0009794962,0.0002359265,-0.0020509651,-3.79399080147537E-14,-0.003711647
0.4301675978,0,-0.0393062397,0.0271577943,0.0126823626,0.0362563373,-3.69678181005484E-05,-0.0078382962,-0.0283068355,0.0133333333,7.13445346649457E-05,0.0001747968,-0.0002635818,-1.82524475172086E-14,8.22368421052619E-05
0.4320297952,0.137765252,0.0394763966,-0.1009607949,-0.0395725215,0,0.0001898249,0.0049533578,-0.0285643148,-0.01,1.41386213255463E-05,0.0001083477,-0.0004345674,1.61783057538895E-13,-0.0185855263
0.4338919926,0.0914493232,0.0393062397,0.0108618849,-0.0089367622,0.1299494302,0,0.0052848544,0.0360935785,-0.0133333333,-1.68911025112085E-05,5.38135162292334E-05,-0.0006043329,-4.77614666451018E-15,0.0337526433
0.4245810056,0.3270917679,-0.1956877171,-0.0906429382,-0.0393332114,0.1764598644,0,-0.0475062768,-0.0691721429,0.1509090909,-0.0009311222,-0.0004763264,-0.0123225577,-2.87884638728355E-14,-0.0103252924
0.4320297952,0.137765252,0.1599832916,-0.1097993815,-0.0530820019,0,0,0.0383771258,-0.0359969178,-0.0228571429,-3.86174496724849E-05,-0.000342705,-0.000457223,-7.77561981969922E-14,-0.0185855263
0.4320297952,0.137765252,0,-0.1143190279,-0.0647408372,0.0068708793,-3.2847162015294E-20,3.78770067200779E-17,-0.0309181907,0.0228571429,-0.0001947291,-0.0003146002,-0.0002029327,-3.26404414332874E-15,0.0045055821
0.4357541899,0.1821170283,0.0786124795,0.0046385936,-0.0383429515,-0.0085753374,7.28518754382796E-05,0.0158850525,-0.0687344347,-0.0026666667,0.0001954487,-0.0001152443,-0.0008199648,4.67373277334564E-14,0.0184253063
0.4376163873,0.0906710311,0.038970289,-0.0296832619,-0.0543563106,-0.0143321482,2.42826596792391E-20,0.0070124358,0.0260873183,-0.01,0.0001523754,0.000006371,-0.0013014479,-7.84402703218866E-15,-7.97662073639032E-05
0.4301675978,0.1844821845,-0.1552178318,-0.0236098813,-0.0567665148,0.1100914187,-7.38316981998526E-05,-0.0485771328,-0.0139403059,0.0637037037,-0.0009526042,-0.0005067423,-0.0996466162,-3.52742796173963E-14,0.0099041292
0.426443203,0.3256634195,-0.0789527932,-0.0315220229,-0.0595249164,-0.0854905696,-6.62090509555387E-05,-0.0255509729,-0.1773946068,0.0114285714,-0.001595662,-0.0010080794,0.0008963773,1.44697609081914E-15,-0.0368506125
0.4357541899,0.0910585141,0.1991058432,-0.0254837913,-0.0572957933,0.0080723722,1.66779201538557E-19,0.0775168144,-0.0450681686,-0.0222222222,0.0014951108,-0.0004513877,-0.0008279492,-2.97352657393691E-14,-0.0309758772
0.4357541899,0.0910585141,0,-0.0303787592,-0.0630703056,0,-1.061322191609E-19,0,-0.045822689,-0.00625,0.0003622177,-0.0001523167,-0.0008676128,1.34819214615747E-14,-0.0185855263
0.4245810056,0.0934547908,-0.2338217338,0.3566174866,0.0378607679,-0.0835792183,0.0020619882,-0.0617804618,-0.1443213124,0.0311111111,-0.0025419814,-0.0013696165,0.0094292851,-9.80947045710931E-14,-0.064218925
0.4245810056,0.1401821862,0,-0.1287807202,-0.0686908663,-0.0555908237,-2.13148048419935E-05,0,-0.0091308867,0,-0.0126178323,-0.0023786479,0.00014158,-1.19597690384936E-14,-0.0104823748
0.4283054004,0.0926421405,0.0799916458,-0.1538246569,-0.0757014836,0.0169179498,-2.84348286692409E-05,0.045164906,-0.0689261954,-0.01,-0.0003869531,-0.0034727164,-0.0005537397,-1.41469298001232E-14,-0.0248348081
0.4227188082,0.4223991867,-0.1189440994,0.132746823,-0.0014089649,-0.0437954075,-5.81505419224595E-05,-0.0383410474,-0.1024701833,0.02,0.0034533137,-0.048275919,0.0003403156,-7.55950596238306E-15,-0.1459043241
0.426443203,0.0930466913,0.0803440319,-0.0809318425,-0.0492371055,0.088700426,-5.42738897458598E-20,0.0466789748,-0.0630063287,-0.0088888889,-0.0004891181,0.0018039735,-0.0006985919,-2.15710743385153E-14,-0.0053101504
0.426443203,0.1395700369,0,-0.0417289716,-0.0577300287,0.0089893915,7.84852614752434E-05,0,-0.1209826462,0.0036363636,-0.0004951915,0.0003433688,-0.0008891801,-0.2906574394,-0.0224004501
0.426443203,0.0930466913,0,-0.0937334877,-0.0675722282,0.0125747574,-6.36067215172547E-05,0,0.0556163131,0,-0.000500024,-0.000111325,-0.0016716595,-6.74096073078757E-14,0
0.4283054004,0.1389632107,0.0398211686,0.0123546882,-0.0395843472,0,0.0003091735,0.0254054641,0.1720094231,-0.0057142857,-0.0015372687,-0.000853693,0.0079612455,-6.47132230155556E-14,-0.0185855263
0.4245810056,0.1401821862,-0.0792960663,0.1908833591,-0.0037494907,0.0401280818,-8.82218916991636E-05,-0.0415982672,-0.0910509753,0.0123809524,0.0024815707,9.52070578324556E-05,-0.0013422188,-2.87614324513593E-14,0.0186674009
