"close","volume","open_lastclose_ratio","high_close_ratio","close_ma30_ratio","close_ma60_ratio","trsrange_ratio","ad_ratio","slowk5_ratio","willi5_ratio","mom5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","roc5_ratio"
0.4144551101,0.0351667799,0,0.0108991826,0.3601579076,0.4584654464,0.0214009104,0.0001796447,0.0247596424,-0.0242612682,-0.0037532254,0.0024004233,4.00155363575901E-14,0.0001177247,-0.0044057129
0.4178430265,0.0274643136,-0.0054495913,0.0175675676,0.3618441078,0.4637425812,-0.0344093069,3.2398453972513E-05,0.1287133673,0.0138125502,0.0003483107,2.34764023389193E-05,-8.71506578779669E-15,9.19735649581144E-06,0.0002727015
0.4195369848,0.0160271909,0.0081081081,0.0121130552,0.3513512787,0.4584160213,-0.0254739869,2.12449005533139E-05,0.1132446068,-0.0024819334,0.0020283976,-0.0001197606,-1.28368285947159E-14,4.66412750647817E-06,0.002151279
0.4144551101,0.0219529136,0,0.0190735695,0.2957576862,0.4151850757,0.0199417574,-5.91531965164688E-06,0.023174363,0.0321499014,-0.0031609195,-0.0004897888,-3.1102451666448E-14,-0.0001336461,-0.0032840529
0.4116318464,0.0253986723,0.0013623978,0.0082304527,0.2586871198,0.3854974726,0.0227483751,0.000119635,0.013080644,0.009400556,-0.0011890606,0.0009255849,-1.7660780029954E-13,-0.000115199,-0.0011959758
0.4065499718,0.0278147072,0.0041152263,0.0194444444,0.2061915764,0.3440597195,-0.0232262822,-2.40136753875649E-05,-0.0974312104,0.0228415432,-0.017683466,0.0002241915,-6.33290539731096E-17,-0.0002856197,-0.0179663727
0.4093732355,0.0217098059,-0.0097222222,0,0.2096943014,0.349268001,-0.0175487465,0.0001565633,-0.070491348,-0.0059218476,0.0008210181,-2.86244233023749E-05,-8.22721108621532E-15,0.0014382402,0.0007436953
0.4054206663,0.015572387,-0.0068965517,0.0069637883,0.1660218905,0.3164961702,-0.0043871866,4.55381296926679E-05,-0.0863208755,0.0073471012,0.0076628352,2.17884828975082E-05,1.23860597136079E-14,-0.000436273,0.0078224723
0.4014680971,0.0294135994,0.0027855153,0.0393811533,0.1264189333,0.2851723471,0.0600351855,-0.0001559666,-0.115717103,0.0055149928,-0.0009195402,2.39874047543272E-05,-4.51226363358249E-14,0.0009330645,-0.0008145551
0.4376058724,0.0647093436,0.0126582278,0.0129032258,0.3595772251,0.481260778,0.115163649,0.0003279915,0.0639877171,-0.0296621114,-0.0344827586,-0.000578824,-1.62565681551073E-12,-0.0011284324,-0.0357226739
0.434217956,0.0359308326,-0.0129032258,0.0182054616,0.3162293187,0.447676935,-0.0438718663,6.07893943646009E-05,-0.0173601801,0.0214332676,0.0007496252,9.23375403928304E-05,-2.07961783746869E-14,-6.14337440155949E-05,0.0009308752
0.4234895539,0.0375290612,0.0026007802,0.0306666667,0.2254992324,0.3731221164,0.0071143567,-3.8920592905123E-05,-0.0631948801,0.0434091495,-0.0056298381,-0.0002720483,-3.14541106499773E-14,-0.0002167973,-0.0058474346
0.4229249012,0.0426484804,0,0.002670227,0.206082242,0.3571855933,-0.0219359331,0.0002565361,-0.0736017056,0.0014916926,0.0027586207,-0.0007342434,-9.65261837718636E-14,-3.51614277770846E-05,0.002988103
0.4178430265,0.0400738393,-0.0053404539,0.0310810811,0.1575217349,0.317629687,0.0116991643,-9.57395147804675E-05,-0.0918225906,0.015497093,-0.0007415647,0.0006601236,5.02334593087475E-14,-0.000376857,-0.0006555621
0.4116318464,0.0242039273,-0.0189189189,0.0082304527,0.1038698434,0.27283911,-0.0258069802,6.09373696262465E-05,-0.1156699729,0.0077842216,-0.0297265161,0.0001975981,3.79798603258875E-14,0.0020281299,-0.0291025669
0.4071146245,0.0291720402,-0.0274348422,0.0055478502,0.0623863676,0.237638318,0.0146239554,0.0001321063,-0.0263195374,-0.0037118656,0.0004997501,5.74218441128051E-05,-2.37239182798753E-15,0.0001749665,0.0006118684
