date,open,high,low,close,volume
2009-01-14,8560,8830,8530,8830,16711
2009-01-15,8610,8700,8430,8560,16116
2009-01-16,8790,8790,8610,8740,8512
2009-01-19,8800,8910,8620,8800,14057
2009-01-20,8750,8850,8550,8640,12059
2009-01-21,8550,8600,8440,8500,12664
2009-01-22,8550,8900,8550,8830,14915
2009-01-23,8890,9140,8800,8870,15784
2009-01-28,9080,9250,8920,9150,20340
2009-01-29,9240,9400,9180,9400,20098
2009-01-30,9380,9400,9230,9380,9941
2009-02-02,9380,9500,9200,9200,10141
2009-02-03,9200,9280,9010,9050,4741
2009-02-04,9050,9180,9000,9050,11476
2009-02-05,9300,9400,8900,8900,26186
2009-02-06,9120,9120,8750,8870,23378
2009-02-09,8900,9250,8900,9000,25627
2009-02-10,9050,9250,9000,9250,13818
2009-02-11,9400,10600,9390,10600,208972
2009-02-12,10850,12000,10850,10850,289025
2009-02-13,11100,11100,10400,10650,113865
2009-02-16,10600,10950,10500,10500,67984
2009-02-17,10350,10500,9850,9900,53643
2009-02-18,9510,9830,9360,9800,34445
2009-02-19,9900,10250,9900,10000,24403
2009-02-20,10150,10150,9350,9350,21725
2009-02-23,9440,9440,9170,9330,12310
2009-02-24,9210,9300,8930,9250,16338
2009-02-25,9310,9590,9210,9210,21236
2009-02-26,9210,9500,9010,9040,12202
2009-02-27,9200,9500,8900,9440,10338
2009-03-02,9440,9440,9000,9050,11806
2009-03-03,8580,9010,8400,9010,23477
2009-03-04,9000,9100,8770,9010,12395
2009-03-05,9040,9440,9040,9290,11924
2009-03-06,9100,9270,8820,9080,13203
2009-03-09,9070,9200,9020,9150,15810
2009-03-10,9200,9420,9140,9350,10412
2009-03-11,9420,9680,9350,9350,13760
2009-03-12,9680,9720,9210,9500,12933
2009-03-13,9610,9740,9600,9680,10513
2009-03-16,9900,10000,9700,9900,11390
2009-03-17,9950,10050,9770,9920,13101
2009-03-18,9930,10500,9850,9910,17294
2009-03-19,10000,10000,9880,9980,10088
2009-03-20,10150,10150,9950,9980,7580
2009-03-23,9980,10200,9950,10100,19886
2009-03-24,10300,10750,10250,10700,19490
2009-03-25,10850,10850,10550,10650,12587
2009-03-26,10700,11550,10650,11300,67208
2009-03-27,11300,11500,11050,11200,11904
2009-03-30,11850,11850,11100,11850,13757
2009-03-31,11500,11750,11350,11350,11886
2009-04-01,11500,11800,11100,11500,13800
2009-04-02,11500,11900,11350,11450,16283
2009-04-03,11600,11750,11100,11350,29847
2009-04-06,11400,11500,11300,11350,17525
2009-04-07,11450,12300,11400,11700,36918
2009-04-08,11700,11750,11300,11300,11636
2009-04-09,11300,11900,11300,11600,18829
2009-04-10,11900,12450,11650,12100,35750
2009-04-13,12200,12400,11900,12200,34272
2009-04-14,12200,12350,11900,12200,22430
2009-04-15,12050,12600,12000,12300,31091
2009-04-16,12750,12900,12500,12750,33906
2009-04-17,13100,13100,12250,12250,33508
2009-04-20,12100,12400,11700,12300,13171
2009-04-21,11950,12900,11900,12500,28051
2009-04-22,12400,13000,12350,12800,30254
2009-04-23,13000,13250,12700,12900,10395
2009-04-24,12850,12900,12500,12700,9142
2009-04-27,12900,13000,12450,12450,14329
2009-04-28,12400,12450,11900,11900,12964
2009-04-29,11800,12400,11750,12350,7754
2009-04-30,12500,12500,12100,12350,12640
2009-05-04,12500,12650,11900,11900,33796
2009-05-06,12000,12100,11900,11950,14589
2009-05-07,12100,12100,11750,11800,9241
2009-05-08,11950,11950,11400,11600,20514
2009-05-11,11800,11900,11600,11850,13523
2009-05-12,11800,12150,11650,11650,16441
2009-05-13,11700,11900,11550,11850,14448
2009-05-14,11750,11950,11650,11750,7131
2009-05-15,11700,11950,11650,11750,6475
2009-05-18,11750,11950,11650,11750,11021
2009-05-19,11850,12300,11800,12000,28742
2009-05-20,12100,12350,12100,12150,24409
2009-05-21,12050,12300,12050,12150,14353
2009-05-22,12000,12150,11800,11800,25016
2009-05-25,11700,11800,11250,11650,23696
2009-05-26,11700,11700,11450,11600,4553
2009-05-27,11500,11500,10900,11000,26103
2009-05-28,10700,10950,10000,10300,44853
2009-05-29,10400,10750,10250,10500,13276
2009-06-01,10500,11250,10400,11200,30564
2009-06-02,11200,11650,11050,11050,49689
2009-06-03,11400,11400,10950,11000,9589
2009-06-04,10900,11000,10500,10650,10812
2009-06-05,10650,10900,10500,10800,8525
2009-06-08,10750,10850,10600,10650,6177
2009-06-09,10850,10850,10450,10550,8172
2009-06-10,10700,10700,10400,10450,7680
2009-06-11,10450,10600,10400,10500,10952
2009-06-12,10800,11000,10450,10950,17078
2009-06-15,10950,10950,10600,10800,10397
2009-06-16,10650,10800,10500,10800,5020
2009-06-17,10750,11300,10500,11000,22491
2009-06-18,11100,11500,11100,11400,22080
2009-06-19,11400,11600,11000,11300,12509
2009-06-22,11400,11400,11100,11350,8125
2009-06-23,11350,11350,11000,11100,12092
2009-06-24,11100,11100,10550,10950,9490
2009-06-25,11000,11100,10700,10950,5823
2009-06-26,11050,11100,10700,11000,5384
2009-06-29,11250,11250,11000,11100,8642
2009-06-30,11250,11250,11000,11150,8863
2009-07-01,11150,11250,11100,11200,5472
2009-07-02,11000,11300,11000,11150,10204
2009-07-03,11100,11550,11100,11550,16101
2009-07-06,11400,11600,11400,11550,5565
2009-07-07,11700,11950,11550,11800,20707
2009-07-08,13550,13550,13250,13550,267794
2009-07-09,14950,15550,14550,15550,264995
2009-07-10,17850,17850,17500,17850,669058
2009-07-13,16900,17350,15200,15200,942153
2009-07-14,14800,17350,14100,14950,2357650
2009-07-15,15500,16600,15350,15500,876989
2009-07-16,15600,17800,14900,17800,1668647
2009-07-17,18000,19200,16650,17200,1550795
2009-07-20,17000,17100,15700,16000,699466
2009-07-21,16050,17100,15500,15500,877163
2009-07-22,15700,16000,15250,15800,348710
2009-07-23,15850,16300,15100,15350,253337
2009-07-24,15400,15600,14950,15000,175509
2009-07-27,15000,15300,14900,15200,113151
2009-07-28,15200,15400,15000,15200,91896
2009-07-29,15200,15800,15050,15050,223574
2009-07-30,15100,15150,14250,14250,159773
2009-07-31,14350,14650,14100,14200,85013
2009-08-03,14200,14400,13700,14400,108430
2009-08-04,14400,15050,14000,14550,150981
2009-08-05,14800,14850,14300,14500,57079
2009-08-06,14500,14550,14100,14300,38140
2009-08-07,14550,15200,14300,15000,179962
2009-08-10,15700,15900,15000,15100,161106
2009-08-11,15100,15250,14700,15250,76145
2009-08-12,15000,16000,14700,15400,160435
2009-08-13,15300,15500,14950,15100,77636
2009-08-14,15100,15350,14800,15150,62145
2009-08-17,15150,15200,14500,14600,63655
2009-08-18,14800,16750,14650,16750,778779
2009-08-19,16900,17100,15900,16100,550280
2009-08-20,16250,18500,16050,18500,1389796
2009-08-21,18450,18450,16750,16850,505013
2009-08-24,17200,17550,16200,16950,301280
2009-08-25,17050,17950,14800,16400,234095
2009-08-26,16200,16750,15800,16250,81805
2009-08-27,16500,16500,15900,15900,69313
2009-08-28,16050,16250,15900,15950,57848
2009-08-31,16000,16150,15250,15500,67782
2009-09-01,15550,16050,14850,15800,77504
2009-09-02,16000,16000,15100,15400,52224
2009-09-03,15400,15550,15200,15200,33421
2009-09-04,15300,15750,15150,15350,45992
2009-09-07,15550,15800,15300,15550,62092
2009-09-08,15750,15900,15400,15550,59135
2009-09-09,15350,15400,14900,15050,59172
2009-09-10,15150,15550,14650,15250,45160
2009-09-11,15300,15450,15100,15250,34528
2009-09-14,15500,17150,15350,16100,178759
2009-09-15,15900,16450,15700,15900,71780
2009-09-16,15800,15950,15450,15650,53183
2009-09-17,15700,15950,15350,15400,43522
2009-09-18,15600,16050,15500,15650,35969
2009-09-21,15800,15850,15550,15700,24743
2009-09-22,15950,17600,15950,16350,474564
2009-09-23,16150,16700,15800,15800,99840
2009-09-24,15800,16150,15100,15200,90147
2009-09-25,15200,15400,14900,15350,65048
2009-09-28,15350,15400,14950,15300,47133
2009-09-29,15500,15500,15000,15150,45168
2009-09-30,15100,15400,14950,14950,45447
2009-10-01,14950,15100,14250,14350,46050
2009-10-05,14000,14150,13550,13750,71309
2009-10-06,13850,14450,13800,14050,30275
2009-10-07,14050,14400,13900,14250,16324
2009-10-08,14300,14550,14050,14300,17935
2009-10-09,14450,14500,14300,14450,9920
2009-10-12,14600,14800,14350,14500,26468
2009-10-13,14500,14800,14350,14500,20541
2009-10-14,14500,14750,14400,14500,16500
2009-10-15,14650,14700,14250,14400,20615
2009-10-16,14600,14600,14200,14350,12849
2009-10-19,14500,14750,14250,14450,26393
2009-10-20,14300,15750,14250,14950,112553
2009-10-21,15100,15300,14600,14600,60899
2009-10-22,14500,14950,14400,14550,47200
2009-10-23,14600,14800,14500,14700,20419
2009-10-26,14600,14750,14400,14550,22142
2009-10-27,14600,14600,14250,14300,21218
2009-10-28,14000,14300,13400,13850,35077
2009-10-29,13400,13700,13350,13400,25392
2009-10-30,13650,13900,13500,13600,17441
2009-11-02,13300,14650,13300,13800,48674
2009-11-03,13900,15850,13900,15300,347063
2009-11-04,15250,15900,14900,15150,109922
2009-11-05,15300,15900,14700,15500,89617
2009-11-06,15900,16700,15000,16450,205695
2009-11-09,16650,17100,16150,16250,79547
2009-11-10,16250,16500,15900,15900,49677
2009-11-11,16100,16150,15700,15850,27797
2009-11-12,15950,16900,15750,16450,85920
2009-11-13,16450,17250,16000,16750,142582
2009-11-16,16700,16950,16250,16450,35604
2009-11-17,16450,17000,16000,16000,60791
2009-11-18,15800,16200,15650,15850,53434
2009-11-19,16300,16850,16250,16350,80073
2009-11-20,16350,16700,16000,16450,38763
2009-11-23,16500,16750,16150,16550,30548
2009-11-24,16600,17300,16450,16650,91812
2009-11-25,16650,16900,16300,16300,33255
2009-11-26,16500,17350,16450,16650,101342
2009-11-27,16700,17200,16100,16300,56145
2009-11-30,16600,17800,16350,17800,157732
2009-12-01,17750,18500,17500,18150,193781
2009-12-02,18150,18300,17750,18150,90121
2009-12-03,18500,20700,18500,19500,704215
2009-12-04,19300,19450,18900,19200,156943
2009-12-07,19200,19550,18900,19150,99299
2009-12-08,19200,19350,18950,19100,61093
2009-12-09,19100,19100,18500,18750,121707
2009-12-10,18850,20300,18850,19900,288844
2009-12-11,20000,21150,19900,20800,200246
2009-12-14,20750,21450,20350,20550,114205
2009-12-15,20700,20950,20300,20800,87019
2009-12-16,21000,21100,20550,20600,73374
2009-12-17,20700,20850,20050,20050,99514
2009-12-18,20300,20350,19600,20300,96829
2009-12-21,20600,22350,20500,21350,280605
2009-12-22,21450,21650,21000,21050,107064
2009-12-23,21500,21500,20650,21300,67305
2009-12-24,21400,22200,21150,21800,141883
2009-12-28,22000,23400,21900,21900,252123
2009-12-29,22100,22600,21700,22200,94928
2009-12-30,22200,23450,22000,23300,206121
2010-01-04,23800,26750,23300,26750,448371
2010-01-05,27450,30400,26200,27850,875198
2010-01-06,28300,29200,26900,28600,408620
2010-01-07,29000,30150,26800,27150,444698
2010-01-08,27650,28900,26900,28700,329499
2010-01-11,29300,30350,28300,29600,400605
2010-01-12,30300,30850,29300,29900,331237
2010-01-13,28850,29500,27850,28300,301815
2010-01-14,28350,29150,27100,28500,295049
2010-01-15,28000,29150,28000,28900,190296
2010-01-18,28800,29800,28800,29300,153120
2010-01-19,29500,29900,28700,28800,166768
2010-01-20,28850,29100,27150,27650,228693
2010-01-21,27200,28100,26650,27800,124247
2010-01-22,27800,27800,26500,26850,146278
2010-01-25,26100,26100,23500,24400,250980
2010-01-26,24200,24900,22600,23400,240907
2010-01-27,23300,25350,22950,24300,328062
2010-01-28,24600,25550,24250,25050,216501
2010-01-29,24000,24800,23300,23350,154296
2010-02-01,23250,23850,22850,23000,104049
2010-02-02,24100,26450,24100,25450,1032069
2010-02-03,25600,25750,24400,25100,265276
2010-02-04,25400,26150,25000,25050,187293
2010-02-05,23250,24350,23250,24000,193312
2010-02-08,24450,24550,23250,23250,134414
2010-02-09,23400,24800,23200,23700,226507
2010-02-10,24100,24400,23550,23650,119791
2010-02-11,23650,24500,23650,24050,92994
2010-02-12,24150,24700,23900,24500,108988
2010-02-16,24700,24900,24300,24450,71960
2010-02-17,24800,25350,24700,24750,119058
2010-02-18,25200,25200,24600,24750,71436
2010-02-19,24350,24650,23500,23750,130370
2010-02-22,24000,24850,23850,24700,104876
2010-02-23,24850,25150,24650,24950,94080
2010-02-24,24650,25250,24550,24950,112497
2010-02-25,24000,24100,23000,23300,1437397
2010-02-26,23700,23950,22700,23700,230988
2010-03-02,23700,23800,23450,23450,89739
2010-03-03,23450,23450,22750,22750,186594
2010-03-04,22700,22700,21850,21900,205893
2010-03-05,21950,22450,21850,22100,112898
2010-03-08,22350,22400,21950,22200,149208
2010-03-09,22300,22350,21450,21450,241877
2010-03-10,21800,22750,21800,22050,422560
2010-03-11,22250,22650,21950,22250,167719
2010-03-12,22700,23050,22500,22850,240180
2010-03-15,23100,23100,22400,22700,166712
2010-03-16,22900,23850,22700,23550,276952
2010-03-17,23850,23850,23150,23550,207642
2010-03-18,23700,24000,23150,23150,163064
2010-03-19,23350,23650,22900,23500,124595
2010-03-22,23750,24400,23500,23750,267427
2010-03-23,23900,24050,23500,23550,155582
2010-03-24,23950,23950,22850,23150,160673
2010-03-25,23350,23400,22900,23150,100121
2010-03-26,23200,23300,22950,23150,100385
2010-03-29,22500,23050,22350,22450,130749
2010-03-30,22550,22700,21900,22050,113720
2010-03-31,22250,22250,21700,21750,74205
2010-04-01,22000,22800,21800,22350,100589
2010-04-02,22450,22700,21700,21800,125920
2010-04-05,21800,22100,20150,20550,296394
2010-04-06,20700,20900,19850,20300,171560
2010-04-07,20100,20650,20100,20400,81411
2010-04-08,20250,20750,20250,20550,66204
2010-04-09,20600,20800,20100,20200,97869
2010-04-12,20450,21050,20400,20650,108599
2010-04-13,20900,20900,20250,20350,59744
2010-04-14,20350,20650,20300,20450,55255
2010-04-15,20750,20800,20300,20400,59845
2010-04-16,20600,20800,20200,20550,91681
2010-04-19,20600,21300,20200,20750,137359
2010-04-20,21000,21250,20800,20850,58743
2010-04-21,21050,21650,20900,21500,129863
2010-04-22,21500,22700,21150,21600,243548
2010-04-23,22250,23300,21900,22850,475104
2010-04-26,23000,23200,22300,22900,195490
2010-04-27,22900,22900,22100,22100,142350
