"low_close_ratio","close_lastclose_ratio","close_ma5_ratio","volume_ma10_ratio","volume_ma15_ratio","volume_ma60_ratio","atr5_ratio","kama5_ratio","wma5_ratio","rsi5_ratio","slowk5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio"
-0.3028247686,0.279049676,0.3635254071,0.0817054779,0.0573825567,-0.0107170872,0.1708614971,0.397113859,0.3519933843,0.0115239653,0.0365448473,0.002779558,0.0016334953,-2.26119490623601E-15,0.000293526
-0.1250205897,-0.2116182573,0.0962383143,0.247689189,0.2228045073,0.1098539846,0.5544040568,0.017278786,0.1110948429,-0.0828350085,-0.0349770201,0.0007336068,-0.000457564,-5.86045555520148E-15,-0.0020141
-0.3765470782,0.3494646681,0.2910170707,0.0574138792,0.057294593,-0.0012348393,0.0893407269,0.1643061914,0.3050290616,0.0512591792,-0.0224862126,0.0016560207,0.0009205249,1.04553694438999E-15,0.0023141576
-0.0199401009,-0.0415478615,0.1296057599,0.1634706054,0.1535599691,0.0834100165,-0.0622878208,0.097226608,0.1790438128,-0.0154350342,-0.0358295393,0.0008814603,-0.0002709217,5.00103339435999E-15,-0.0004809581
-0.4737088469,0.0696721311,0.1149385426,0.0872397727,0.090196501,0.0492629959,0.1605859637,0.0758021134,0.1406329392,0.009666192,0.0050156148,0.0004647495,-0.0002941826,-9.29980282155888E-15,0.000334172
-0.1013621795,-0.1793103448,-0.0496735881,-0.0254328466,-0.0036828637,-0.0248649126,0.0651083893,0.0015356715,-0.0395051193,-0.0704675878,-0.0510098826,-0.0009611382,-0.0020991058,-1.26172940888596E-14,-0.002284698
-0.1011514473,0.0141666667,-0.0727819557,-0.0961973643,-0.0683021099,-0.0785754098,-0.1043282493,0.0148231771,-0.0264126655,0.004756377,-0.1108618962,-0.0015714813,0.0003499333,-5.20369660688472E-13,0.000388979
-0.1416120262,0,-0.0469815012,-0.0832169874,-0.0540490118,-0.067032809,-0.0883208809,0.0258949573,-0.0529270439,0,-0.0291485049,-0.0019224292,5.76603559944533E-05,5.05802869450526E-16,-6.30957585174426E-19
-0.4397007707,0.3958419958,0.2613532898,0.0954183148,0.1384181346,0.0977807843,0.1738821926,0.110393302,0.2315021862,0.0987808902,0.1093941531,0.0004490078,-0.0008040836,-3.86976678341395E-14,0.0073369036
-0.1491305629,0.1736738703,0.3503517166,0.0882250057,0.1253740546,0.1003234487,0.0575271127,0.1808617994,0.3097769419,0.0162356488,-0.0089109189,0.0020138117,0.0024283976,-2.58325475958239E-15,0.0004997827
