"high_close_ratio","close_ma5_ratio","close_ma15_ratio","volume_ma60_ratio","sar_ratio","adosc5_ratio","b_upper5_ratio","kama5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocr5_ratio","ultosc5_ratio"
0,0.2486095662,0.2658024342,-0.0292012063,0,0.0006638108,0.2086598368,0.0863768584,-0.0257366654,0.0592592593,0.0023716603,-0.0051365589,0.0025327887,0.1890595889,0.1978848818
0.2045152722,0.1705388623,0.2249887662,0.0382286684,0.0446426384,-0.0008169036,0.0967644916,0.0702598058,0.0180156658,0,0.0003881256,-7.289560362454E-05,-0.0003887326,0.0007533239,-0.1006132572
0.1472556894,0.064267789,0.1641291092,0.0139520115,0.3984355477,-0.0006607543,0.0282891373,0.0500641526,0.007353333,0,-0.0003962926,-0.0017556531,-0.0009440207,0.0015252034,-0.0097268652
0.5101449275,-0.4414088216,-0.2021305077,0.2660953757,0,-0.0055815922,0.1282984209,-0.0306535964,0.0294837661,-0.0472222222,-0.00402442,-0.0476070317,-0.0062263816,-0.3954284344,-0.1862971409
0.2972972973,-0.5628817919,-0.3429194022,0.2402174664,-0.0238855419,0.0042522905,0.1222488215,-0.1581466041,-0.0017464166,0.0296296296,-0.0980947823,0.0011592938,0.0007051217,-0.2921848461,-0.0993070874
0.2986425339,-0.4179523142,-0.3419851944,0.1096238858,-0.0482019519,0.0013208576,-0.1399324607,-0.4242432381,0.0007149074,0.0105820106,0.0023490614,-0.0001521749,6.33964635279788E-05,-0.2309866551,-0.1525886271
0.0982142857,-0.1635703428,-0.2735068526,0.0027623949,-0.0457247113,0.000320149,-0.3002322753,-0.1166981987,-0.0025504804,-0.0028673835,0.0001444852,-0.0007811031,-0.000809762,0.1015610348,0.0649785258
0.200913242,-0.1356659729,-0.3508380298,-0.0275281083,-0.0433543818,0.0002424986,-0.5689593589,-0.1766172956,0.0040443331,0.0024691358,0.0005034015,-0.0004411487,0.0007149034,-0.0834304753,-0.1296030906
0.1,-0.0391121741,-0.3122574008,-0.0190912189,-0.0410884361,3.06745415205402E-05,-0.1949915216,-0.051041467,-0.0031529248,-0.0148148148,-0.0001298692,-0.0010039609,-0.0003503253,0.5048532858,0.1727631469
0.1,-0.0261220196,-0.2843035503,-0.0166869188,-0.0389241824,-0.0001398375,-0.0131650016,-0.009253933,-0.0023396969,-0.0177777778,-0.000326551,-0.0015451375,-3.97007608964064E-19,0.2077952238,0.0242080399
