"close","volume_ma15_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","adosc5_ratio","dmi5_ratio","mom5_ratio","macd5_ratio","macdsignal5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.8658892128,-0.0301817816,-0.0125794328,-0.0135579143,0,0.0005602715,-0.0006840905,-0.0029761905,0.0003006147,-0.0006968929,8.03933488758612E-15,-0.0006840905,0.0002740307,-0.0364062436,-0.0103462143
0.8556851312,0.0561989974,0.0462066581,0.0371282647,-0.0337837838,-7.16122217087646E-05,0.0019466109,-0.0578231293,0.0035704376,0.0006074363,6.72835679418651E-14,0.0019466109,0.0001496588,0.0004764741,-0.0177297713
0.8527696793,0.0095810996,0.0117484707,0.0093729807,-0.0225225225,-0.0009666657,3.80636528608029E-19,0.019047619,0.0015694761,0.0009977724,-8.89008595218584E-15,3.80636528608029E-19,0.000015398,-0.0129324335,-0.0555791509
0.8425655977,-0.0154012878,-0.0053190898,-0.0048268867,0.0540540541,-0.0018280951,0.0014867311,-0.0013227513,0.0022869666,0.0015494344,1.5336577324013E-14,0.0014867311,4.05033570634285E-05,0.1695480915,-0.1016581341
0.8440233236,-0.023442961,-0.0142428574,-0.0122138838,-0.028957529,-0.0024710254,0.0001046258,0.0014005602,0.0003156758,0.000896182,-7.7710276688606E-15,0.0001046258,-1.25071235926205E-05,0.0105226951,-0.1354622044
0.861516035,0.0293321365,0.0239225434,0.0213470358,0.1597051597,0.0058092743,-0.0005604418,-0.0198412698,-0.0026544053,-0.0007128138,-4.53284918596498E-14,-0.0005604418,-0.0001244417,0.0021505978,0.1013613161
0.8571428571,-0.0412975322,-0.0256261791,-0.0217353217,-0.0844594595,0.0002277536,1.73860710513292E-19,-0.0317460317,-0.0018119426,-0.001028038,2.50014883417042E-15,1.73860710513292E-19,-0.0001205865,-0.0020008513,0.0059000691
0.8411078717,0.0138217739,0.0084738447,0.0052696772,0.0600600601,-0.0043941265,3.87366583874682E-05,-0.2142857143,0.0033738085,0.0001408007,-5.66718392186958E-14,3.87366583874682E-05,0.0018556532,-0.0021556983,-0.0502834714
0.8367346939,0.0839088982,0.0597152155,0.0544944018,-0.0415800416,0.0079563654,0.0006777859,-0.0119047619,0.0017435041,0.0007564783,8.5377826691584E-15,0.0006777859,1.98205172206526E-05,-0.0034639301,0.0465401967
0.8352769679,-0.0089169796,-0.0014890533,0.0002050283,0.0600600601,0.0013344215,0.0002083742,0.0119047619,0.000597132,0.000664151,-4.12804612766142E-15,0.0002083742,5.96070406464184E-06,-0.004505387,-0.0562111478
0.8148688047,0.1086967446,0.0854602554,0.0803137831,0.0727650728,0.0012746294,0.0005140186,0.1031746032,0.0030305869,0.0016587046,2.52404337411068E-14,0.0005140186,5.51862751875564E-05,0.0177203962,-0.2006684442
0.8236151603,-0.0225099442,-0.0111927944,-0.0057527646,-0.0743243243,-0.0003465516,-7.84474054419794E-05,-0.0066964286,-0.000185276,0.0006923456,-1.63289804911576E-14,-7.84474054419794E-05,-4.65406950469365E-05,0.0059939979,0.0578522959
0.8148688047,0.0505090673,0.0404637145,0.0434870367,0.0750750751,0.0013292002,9.02621359647574E-05,-0.0051759834,0.0004425004,0.0005639541,3.63500856662638E-16,9.02621359647574E-05,3.29335287849519E-05,0.0017194518,0.0264281854
