date,open,high,low,close,volume
2005-12-02,13700,14100,13400,14100,279279
2005-12-05,14200,14300,13750,14300,187302
2005-12-06,14200,14200,13850,14000,145860
2005-12-07,13900,13950,13350,13400,179532
2005-12-08,13200,13850,13150,13350,168059
2005-12-09,13350,13450,13150,13200,105154
2005-12-12,13050,13400,13000,13150,152969
2005-12-13,13150,13350,13050,13250,79408
2005-12-14,13250,13450,13150,13250,117201
2005-12-15,13000,13200,12700,12700,294970
2005-12-16,12600,12850,12350,12350,140769
2005-12-19,12100,12500,12100,12100,172059
2005-12-20,11800,12100,11800,12050,174710
2005-12-21,12050,13350,12050,12950,493000
2005-12-22,13250,13400,12500,12500,273471
2005-12-23,12600,12800,12500,12750,144971
2005-12-26,12900,12950,12550,12600,160037
2005-12-27,12650,12800,12300,12400,257871
2005-12-28,12400,12400,12150,12350,97597
2005-12-29,12350,12500,12150,12200,216754
2006-01-02,11900,12350,11850,12200,148907
2006-01-03,12300,12550,12200,12250,272219
2006-01-04,12400,12500,12000,12000,265149
2006-01-05,12000,12050,11750,11750,259896
2006-01-06,11750,12550,11700,12450,402082
2006-01-09,12600,12600,12000,12100,169394
2006-01-10,12150,12350,12100,12150,165093
2006-01-11,12200,12250,12150,12200,120247
2006-01-12,12250,12450,12200,12250,160641
2006-01-13,12350,13100,12300,12650,267882
2006-01-16,12900,12950,12550,12650,114817
2006-01-17,12750,13150,12600,12750,226659
2006-01-18,12750,12850,12050,12200,213172
2006-01-19,12200,12600,12200,12200,98704
2006-01-20,12250,12400,11700,11900,204220
2006-01-23,11900,11900,10900,11500,247503
2006-01-24,11150,11600,11100,11450,136085
2006-01-25,11250,11650,11250,11350,113989
2006-01-26,11250,11600,11250,11300,108191
2006-01-27,11450,11700,11350,11500,90732
2006-01-31,11550,12100,11550,12000,132480
2006-02-01,11800,12100,11300,11400,91952
2006-02-02,11600,11600,11100,11300,46881
2006-02-03,11000,11250,10550,10600,118496
2006-02-06,10300,10800,10300,10550,41368
2006-02-07,10350,10750,10350,10700,67557
2006-02-08,10500,10950,10500,10600,61107
2006-02-09,10700,10800,10550,10550,28280
2006-02-10,10600,10750,10500,10750,25309
2006-02-13,10750,10900,10600,10800,42560
2006-02-14,10650,10950,10650,10750,52971
2006-02-15,11000,11000,10650,10700,51890
2006-02-16,10700,10900,10650,10700,42850
2006-02-17,10850,11250,10850,11100,101950
2006-02-20,11150,11600,11150,11300,34773
2006-02-21,11250,11400,11200,11300,32360
2006-02-22,11150,11600,11150,11400,39031
2006-02-23,11700,11700,11450,11450,52060
2006-02-24,11450,11600,11300,11550,45303
2006-02-27,11750,11750,11500,11550,30775
2006-02-28,11600,12150,11550,11950,77095
2006-03-02,12200,12300,11600,11800,44261
2006-03-03,11650,11800,11450,11700,49101
2006-03-06,11550,11800,11550,11800,33229
2006-03-07,11600,11700,11500,11650,29000
2006-03-08,11550,12000,11550,11900,48436
2006-03-09,12350,12350,12050,12300,58410
2006-03-10,12300,12550,12100,12400,78220
2006-03-13,12550,12600,12400,12400,37673
2006-03-14,12550,12600,12300,12450,30300
2006-03-15,12500,12600,12350,12500,48060
2006-03-16,12450,12600,12400,12550,25340
2006-03-17,12500,12650,12450,12650,29621
2006-03-20,12650,12850,12100,12400,471650
2006-03-21,12300,12400,12100,12100,41693
2006-03-22,11900,12100,11700,12000,42270
2006-03-23,12000,12450,12000,12300,48970
2006-03-24,12300,12400,11900,12100,20180
2006-03-27,12000,12150,11800,12150,29320
2006-03-28,11950,12250,11800,12200,40870
2006-03-29,12000,12150,11800,12050,40230
2006-03-30,11900,12300,11800,12100,46096
2006-03-31,11950,12350,11950,12300,88700
2006-04-03,12300,12950,12300,12850,117660
2006-04-04,13100,13400,12850,13250,122716
2006-04-05,13500,13600,13150,13300,85320
2006-04-06,13150,13250,12900,13000,52800
2006-04-07,12900,13000,12700,12850,26850
2006-04-10,12700,13000,12600,12850,44320
2006-04-11,12800,13200,12800,13050,45620
2006-04-12,13300,13400,12950,13200,108560
2006-04-13,13200,13300,12950,13150,41109
2006-04-14,13300,13400,13050,13150,69522
2006-04-17,13150,13250,13050,13100,66200
2006-04-18,13000,13000,12700,12800,58560
2006-04-19,12900,13100,12850,12850,78830
2006-04-20,12850,13400,12850,13300,103951
2006-04-21,13300,13400,13100,13200,85810
2006-04-24,13400,13650,13150,13300,111441
2006-04-25,13100,13500,13100,13100,70473
2006-04-26,13000,14100,13000,13800,379612
2006-04-27,14000,14050,13550,13800,111605
2006-04-28,13850,13850,13200,13200,182023
2006-05-02,13000,13300,12800,13000,92812
2006-05-03,13150,13550,13000,13400,157700
2006-05-04,13600,13750,13350,13500,167962
2006-05-08,13600,13750,13250,13600,88960
2006-05-09,13750,13750,13350,13600,116590
