date,open,high,low,close,volume
2019-08-16,28600,28850,28150,28350,335508
2019-08-19,28400,28600,28250,28450,255709
2019-08-20,28300,28750,28050,28550,337834
2019-08-21,28550,28850,28150,28250,487234
2019-08-22,28250,28500,28150,28400,332308
2019-08-23,28400,28600,28200,28200,208894
2019-08-26,27900,28200,27650,28100,181548
2019-08-27,28000,28150,27850,27850,385761
2019-08-28,28000,28000,27700,27850,172864
2019-08-29,27900,28350,27850,28300,232436
2019-08-30,28300,28450,28200,28250,348068
2019-09-02,28000,28400,27950,28400,291924
2019-09-03,28200,28350,28050,28300,299058
2019-09-04,28100,28800,28100,28800,458075
2019-09-05,28550,29350,28550,28950,571663
2019-09-06,28750,29200,28700,29100,279191
2019-09-09,28950,29300,28950,29150,207036
2019-09-10,29200,29450,29100,29150,420497
2019-09-11,29400,29900,29350,29600,555829
2019-09-16,29750,30300,29450,30100,235950
2019-09-17,29300,30100,29300,29850,189844
2019-09-18,29650,29850,29400,29450,241091
2019-09-19,29400,29800,29250,29550,226976
2019-09-20,29550,29600,29050,29250,358674
2019-09-23,29300,29500,29100,29350,131864
2019-09-24,29500,29600,29150,29300,209282
2019-09-25,29600,30400,29400,30200,350331
2019-09-26,29950,30250,29450,29700,192820
2019-09-27,30200,30200,29450,29500,134566
2019-09-30,29300,29800,29300,29550,274424
2019-10-01,29300,30200,29300,30100,224831
2019-10-02,30100,30100,29600,29700,254834
2019-10-04,29550,29650,29200,29200,295556
2019-10-07,29150,29300,28800,29000,132283
2019-10-08,29100,29600,28950,29300,201828
2019-10-10,28850,29450,28800,29150,530648
2019-10-11,29450,29850,29350,29750,231783
2019-10-14,30000,30350,29800,30200,277537
2019-10-15,30300,30400,29950,30200,193216
2019-10-16,30250,30500,29900,30400,280872
2019-10-17,30550,31200,30250,30750,314134
2019-10-18,31250,31250,30550,30950,305081
2019-10-21,31250,31250,30400,30800,211186
2019-10-22,30400,31300,30400,31000,250167
2019-10-23,30850,31250,30600,30900,148612
2019-10-24,30650,31150,30600,31050,167867
2019-10-25,30950,31250,30750,31150,154503
2019-10-28,31700,32000,31200,31350,241792
2019-10-29,31400,31800,31350,31650,328929
2019-10-30,31650,31900,31450,31650,254850
2019-10-31,31600,31900,31250,31350,218293
2019-11-01,31250,32100,31250,31950,219988
2019-11-04,31600,32000,31150,31250,522549
2019-11-05,31000,31400,30250,30350,469702
2019-11-06,30600,30700,30150,30200,370376
2019-11-07,30050,30600,30050,30350,235538
2019-11-08,30350,30550,30150,30450,236446
2019-11-11,30500,31050,30450,31000,358434
2019-11-12,31000,31300,30650,31300,264174
2019-11-13,31050,31500,31050,31400,241157
2019-11-14,31100,31150,30700,30950,273233
2019-11-15,30550,31850,30500,31500,351116
2019-11-18,31300,31900,31300,31450,167058
2019-11-19,31250,31500,30850,31450,277525
2019-11-20,30900,31150,30600,30750,293612
2019-11-21,30750,31250,29900,30350,350538
2019-11-22,30450,30500,29400,29500,420237
2019-11-25,29250,30050,29250,30000,203436
2019-11-26,29900,30400,29800,29900,579019
