date,open,high,low,close,volume
2004-04-01,40000,40350,39200,39250,10520
2004-04-02,40000,40200,39100,39800,16200
2004-04-06,40450,40900,39550,40900,42300
2004-04-07,42300,42300,41000,41000,41350
2004-04-08,41700,44350,41400,44000,44520
2004-04-09,44000,44000,42500,42650,16760
2004-04-12,41700,43400,41700,42600,10860
2004-04-13,42800,44400,42800,43500,25520
2004-04-14,43400,43400,42550,42900,11970
2004-04-16,42200,42950,42200,42600,3100
2004-04-19,41500,42800,41500,42400,9063
2004-04-20,43600,44500,43000,43700,23070
2004-04-21,43000,43800,43000,43300,11440
2004-04-22,43250,43300,42450,42450,12350
2004-04-23,43450,43450,42600,42600,7257
2004-04-26,42550,43800,41300,41300,8260
2004-04-27,41700,44200,41600,44000,16320
2004-04-28,43250,45000,43250,44700,37860
2004-04-29,44700,47500,44000,46900,51190
2004-04-30,45100,45900,44950,45000,16395
2004-05-03,45000,46300,44800,45000,10715
2004-05-04,45650,46000,44000,45000,29990
2004-05-06,45000,45000,41000,41400,36580
2004-05-07,41400,42600,39000,42000,20310
2004-05-10,42000,42000,39700,40800,9930
2004-05-11,39250,41300,39250,39300,4570
2004-05-12,39800,40000,39550,39550,8340
2004-05-13,39000,40000,37000,37100,15710
2004-05-14,37000,38700,33900,35000,52472
2004-05-17,35300,35350,32300,33650,16150
2004-05-18,32400,33900,31950,33650,18752
2004-05-19,34000,35500,33650,34450,41704
2004-05-20,34850,36000,34250,35000,31680
2004-05-21,35000,36600,35000,36100,11900
2004-05-24,36250,37650,35450,36050,23461
2004-05-25,36000,36000,35150,35600,8685
2004-05-27,36000,37000,36000,36400,6160
2004-05-28,36800,36800,35400,36600,13400
2004-05-31,37050,37350,35300,36700,33114
2004-06-01,36300,37650,36300,37250,28680
2004-06-02,37200,38300,36700,38300,28710
2004-06-03,38100,38100,36350,36700,28930
2004-06-04,36100,37000,36100,36700,24470
2004-06-07,37000,37950,36500,37550,11870
2004-06-08,37550,37950,37550,37600,7810
2004-06-09,37850,39500,37600,39000,16040
2004-06-10,38250,38900,38200,38500,4960
2004-06-11,39400,39400,37100,37500,10150
