date,open,high,low,close,volume
2004-03-24,7510,7630,7400,7470,26920
2004-03-25,7450,7540,7330,7340,12790
2004-03-26,7440,7500,7340,7500,26021
2004-03-29,7400,7540,7300,7420,26580
2004-03-30,7180,7300,7030,7100,42432
2004-03-31,7120,7120,6930,7040,21501
2004-04-01,7000,7000,6910,6950,6160
2004-04-02,6940,6970,6900,6960,14640
2004-04-06,7100,7100,6970,6970,11680
2004-04-08,7030,7030,6920,6930,14400
2004-04-09,7000,7080,6930,6960,8562
2004-04-12,6950,7050,6910,6920,23310
2004-04-13,6930,7000,6880,6890,17160
2004-04-14,6880,6980,6880,6880,9034
2004-04-16,6970,6970,6810,6870,4830
2004-04-19,6870,6920,6800,6850,10946
2004-04-20,6770,6880,6770,6840,9401
2004-04-21,6800,6830,6800,6800,8430
2004-04-22,6890,6920,6760,6800,7401
2004-04-23,6950,6980,6870,6870,15110
2004-04-27,7240,7250,6960,7020,21486
2004-04-28,7070,7070,6810,6820,18660
2004-04-29,6700,6840,6670,6700,24502
2004-04-30,6660,6750,6660,6700,12302
2004-05-03,6700,6730,6630,6660,5970
2004-05-04,6710,6790,6710,6720,4060
2004-05-06,6680,6730,6630,6690,13500
2004-05-07,6640,6700,6620,6670,10840
2004-05-10,6650,6700,6350,6350,23040
2004-05-11,6360,6450,6350,6420,6470
2004-05-12,6600,6600,6400,6520,3638
2004-05-13,6500,6590,6390,6390,7450
2004-05-14,6450,6600,6360,6360,10150
2004-05-17,6360,6520,6100,6240,8190
2004-05-18,6010,6270,6010,6140,5690
2004-05-19,6130,6290,6130,6220,10760
2004-05-20,6130,6220,6100,6130,5890
2004-05-21,6190,6330,6130,6280,4570
2004-05-24,6370,6370,6190,6330,4340
2004-05-25,6290,6340,6160,6340,5590
2004-05-27,6380,7100,6380,7100,16070
2004-05-28,6780,6850,6570,6730,5790
2004-05-31,6750,6750,6540,6560,4040
2004-06-01,6650,6690,6510,6690,2120
2004-06-02,6730,6730,6510,6660,2450
2004-06-03,6680,6740,6500,6510,15940
2004-06-04,6520,6650,6250,6570,8000
2004-06-07,6470,6610,6470,6600,8120
2004-06-08,6530,6670,6530,6590,7060
2004-06-09,6650,6810,6580,6660,17620
2004-06-10,6690,6780,6610,6650,15350
2004-06-11,6650,6720,6420,6620,6210
2004-06-14,6420,6690,6420,6430,3830
2004-06-15,6290,6570,6290,6360,5014
2004-06-16,6400,6670,6390,6670,14710
2004-06-17,6780,6880,6620,6880,14810
2004-06-18,6900,7400,6750,6770,43064
2004-06-21,6610,6900,6610,6750,3160
2004-06-22,6800,6800,6580,6590,1480
2004-06-23,6690,7300,6600,7000,21170
2004-06-24,6900,7100,6900,7000,20050
2004-06-25,7010,7240,6960,7100,31680
2004-06-28,7110,7150,7030,7030,3459
2004-06-29,7030,7030,6900,6920,2037
2004-06-30,6900,7040,6850,6920,4570
2004-07-01,6990,6990,6920,6920,2000
2004-07-02,6900,6970,6850,6950,1640
2004-07-05,6950,7100,6930,7080,8120
2004-07-06,7020,7220,7020,7130,24670
2004-07-07,7090,7240,7010,7010,28950
2004-07-08,7010,7110,6920,6940,9780
2004-07-09,6860,6950,6860,6900,8941
2004-07-12,6830,6950,6830,6860,2470
2004-07-13,6800,6940,6760,6790,6235
2004-07-14,6900,7150,6710,7060,26050
2004-07-15,7020,7150,6930,7000,8210
2004-07-16,6800,7400,6800,7000,41350
2004-07-19,6920,7000,6900,6900,11260
2004-07-20,6900,6900,6760,6760,8790
2004-07-21,6770,6850,6670,6700,12060
2004-07-22,6670,6700,6600,6600,10790
2004-07-23,6650,6930,6600,6660,73150
2004-07-26,6900,7200,6820,7060,21990
2004-07-27,6990,6990,6720,6730,4420
2004-07-28,6750,7100,6750,6780,6170
2004-07-29,6800,6800,6670,6670,8040
2004-07-30,6680,6840,6680,6700,320
2004-08-02,6900,6900,6650,6690,5840
2004-08-03,6680,6900,6620,6650,2100
2004-08-04,6610,6790,6610,6720,1860
2004-08-05,6640,6800,6640,6680,1410
2004-08-06,6680,6750,6670,6670,1800
2004-08-09,6660,6710,6650,6690,2160
2004-08-10,6630,6800,6630,6700,7980
2004-08-11,6710,6780,6680,6690,6050
2004-08-12,6690,6780,6670,6700,2870
2004-08-13,6660,6750,6660,6740,3500
2004-08-16,6680,6800,6680,6780,2380
2004-08-17,6850,6850,6750,6750,1590
2004-08-18,6750,6790,6750,6770,1100
2004-08-19,6610,6810,6610,6770,5440
2004-08-20,6720,6830,6720,6770,2567
2004-08-24,6910,7000,6850,6950,12868
2004-08-25,7150,7170,6910,6930,38350
2004-08-26,7000,7000,6850,6930,7020
2004-08-27,6910,6950,6860,6870,9640
2004-08-30,6870,6900,6800,6870,6340
2004-08-31,6850,6920,6820,6900,11000
2004-09-01,6910,6980,6880,6930,9702
2004-09-02,6920,7000,6890,6950,12673
2004-09-03,6910,7080,6910,7050,14201
2004-09-06,6990,7160,6990,7010,6821
2004-09-07,7000,7000,6910,6980,5362
2004-09-08,6880,7000,6880,6910,6230
2004-09-09,6910,7000,6900,6990,1431
2004-09-10,6940,7010,6900,7010,8280
2004-09-13,7040,7040,6930,6930,7220
2004-09-14,6940,7060,6940,6980,5441
2004-09-15,6980,7090,6940,6960,8850
2004-09-16,6950,7020,6940,7010,2000
2004-09-17,7000,7060,6970,7000,3900
2004-09-21,6920,6990,6900,6970,9150
2004-09-22,7000,7020,6920,6970,2500
2004-09-23,6910,6940,6870,6940,4662
2004-09-24,6900,6940,6900,6940,1880
2004-09-30,6950,7270,6950,7140,11074
2004-10-01,7140,7140,6990,7030,9700
2004-10-04,7040,7130,7040,7040,13278
2004-10-05,7040,7150,7040,7100,20180
2004-10-06,7020,7140,7020,7090,8120
2004-10-07,7070,7100,7010,7100,4100
2004-10-08,7010,7250,7010,7130,30382
2004-10-11,7110,7210,7100,7180,10813
2004-10-12,7240,7240,7080,7190,12560
2004-10-14,7100,7100,7000,7060,5810
2004-10-15,6980,7120,6980,7000,11610
2004-10-18,6960,7050,6940,7050,3440
2004-10-19,7090,7180,7040,7140,5630
2004-10-20,7050,7110,7000,7080,9173
2004-10-21,7010,7090,6990,7050,5100
2004-10-22,7090,7170,7000,7150,10340
2004-10-25,7150,7160,7000,7000,7125
2004-10-26,7000,7090,6920,7040,7780
