"volume","open_lastclose_ratio","high_close_ratio","close_ma5_ratio","volume_ma5_ratio","close_ma30_ratio","volume_ma30_ratio","close_ma60_ratio","natr5_ratio","b_upper5_ratio","kama5_ratio","apo5_ratio","willi5_ratio","macdsignal5_ratio","rocr5_ratio"
0.0702644656,-0.0702782408,0,0.0784674164,-0.1555895725,0.1218750049,0.010396778,0.0759961535,-0.0525356833,0.0175949705,0.0943633063,0.0022857143,-0.0034172387,0.0006066664,0.0136878317
0.0531814737,0,0.1285062696,-0.0352628518,-0.227185417,0.0900130773,-0.0287818976,0.0486794789,-0.0282118075,-0.0875078645,0.0066864605,0.000553761,0.0239840564,-3.28561056935248E-06,-0.0549315836
0.0571903019,-0.0391539154,0.0490783992,0,-0.0186862484,0.1078486108,-0.0214477179,0.0586327173,-0.0782212012,0.0009863273,0.0010079316,-0.0038513211,-0.0215387698,-0.0001460356,-0.1314211864
0.0486853703,-0.0155515832,0.1608924097,-0.0960161468,-0.0502646139,0.0525633979,-0.0415342122,0.0164361721,-0.0266274675,0.0205524125,-0.0192099212,-0.0089772727,0.0579710145,-0.0007158997,-0.1046653579
0.0373503118,0.0477959451,0.1104546042,-0.0696829579,-0.1350434552,0.0594625701,-0.0654038816,0.017628951,-0.004724422,0.000806892,-0.0092776005,-0.0107744108,-0.0127877238,-0.0009706888,0.0353685536
0.102788849,0.0318181818,0,0.1331334757,0.3234194644,0.1584988427,0.0716015364,0.0858550836,0.032014402,0.0400241307,0.0085994481,-0.0165289256,-0.0434782609,9.30840600160243E-05,0.1071874446
0.0679500323,0.0381818182,0.0287603459,0.1293698235,0.0370070488,0.1667796013,0.0011907523,0.0937035314,-0.0692713882,0.0654096969,0.0447138884,-0.0303030303,0.0040170132,0.0005787248,0.0704240547
0.0455694449,-0.0531612421,0.2174721485,-0.0250270778,-0.111027238,0.083787136,-0.0454617954,0.0397329195,0.0800724102,-0.0049120149,0.0002828753,0.0545454545,0.3188405797,-0.0003623151,-0.1319638138
0.045214311,0.0234923492,0,0.0277837121,-0.1097605983,0.1178389566,-0.0455132802,0.067320978,-0.1151618474,0.0035523585,0.0195771429,-0.1,-0.0208695652,-0.000241747,0.1493021386
0.06544488,0.046200531,0.2174721485,-0.0758064476,0.0003540169,0.0709677205,0.0002744516,0.0386672651,0.1008088659,-0.024121013,0.0001193447,0.0121212121,0.063359346,-0.0007542888,-0.064584143
0.0506108415,0.0234923492,0.0485330836,0.026277322,-0.035641741,0.1080029174,-0.0329543614,0.0702647895,0.0015996752,-0.0140303996,0.0032058552,-0.0039393939,-0.0192426367,-0.0003435507,-0.0797299414
0.1009893629,0.0538257576,0.0855767026,0.1267946698,0.2885428387,0.1501117172,0.0781251645,0.1050208878,-0.0054578244,0.0310771933,0.0069111468,-0.0061895551,-0.0199696663,0.0006755423,0.0543428254
0.0750990998,0.0376623377,0.047413596,0.0968367976,0.0509387519,0.147188714,0.0195053854,0.1080321089,-0.0651973213,0.0463725756,0.0906193868,0.0205278592,-0.0096618357,0.0007471719,0.1210263848
0.0522110273,-0.0450721599,0.0567423332,0.0819306386,-0.1090014091,0.145821013,-0.031095028,0.1117617211,0.0242653285,0.0383677842,0.0587170129,-0.0011019284,-0.0070581592,0.0005242702,-0.0500237456
0.0542259816,-0.0899003567,0.1166414027,-0.0787959696,-0.083870254,0.0724835065,-0.0274760854,0.0634563648,0.0515548172,-0.0290985949,0.0030718721,0.0002932551,0.1449275362,-0.0004965062,-0.0376382245
0.0819729402,-0.1078012391,0.3279185476,-0.2924406945,0.0560829687,-0.0530542676,0.0309619214,-0.0248448143,0.2880299039,0.1082161644,-0.0840428561,-0.0095238095,0.0218097885,-0.002441145,-0.2446944581
0.0605271055,0,0.2424458115,-0.3323635851,-0.0297595529,-0.1164760799,-0.016545403,-0.0699212027,0.0321680467,0.0213393072,-0.3346143601,-0.0472727273,0.0032420113,-0.0085128246,-0.1701733835
0.0851560245,0.0334018922,0.3695458437,-0.3505345948,0.1236613172,-0.1815591708,0.034158801,-0.1169386901,0.100126693,-0.0527595182,-0.4040865453,0.046969697,0.0016781806,0.0084576927,-0.117011324
0.0480466143,0.0258306235,0.0639216224,-0.1290581406,-0.1225023561,-0.1352086145,-0.0417773333,-0.0857550394,0.0120762484,-0.2052234593,-0.0908899194,0.0108879493,-0.0111955268,0.0017228819,0.0622794474
0.0504826799,-0.118154102,0.130225417,-0.1081462046,-0.1019108113,-0.1713822573,-0.0359271731,-0.1139442081,-0.0199707556,-0.2443511733,-0.1272407878,0.0057520661,0.0052173913,0.0008729343,0.0321620926
0.0639959884,-0.0171936759,0.2808988764,-0.1911536786,0.017210036,-0.2405187097,-0.0063003147,-0.1648277439,0.0119458692,-0.0836164593,-0.190709712,0.0011049724,0.0093167702,0.0007616261,0.065064792
0.1000010696,0.0712072493,0.3003435788,-0.2391899449,0.1974131616,-0.2919581202,0.0664194114,-0.2032847752,0.0169476248,-0.0216910164,-0.2266973839,-0.0006628788,0,0.0006674984,0.0019378844
0.0747780429,0.0915101427,0.0222927083,-0.0315011269,0.0488747067,-0.2143668817,0.0087982552,-0.1482921781,-0.0625223173,-0.0278698228,-0.0095034922,-0.0038329238,-0.0167810831,7.76345819914255E-05,0.2447377177
0.0300805447,-0.0441496303,0.0673075189,-0.0100529069,-0.2383765439,-0.2244376624,-0.0849072676,-0.1546539704,-0.0952375821,-0.1162187401,-0.039546901,-0.003113325,0.0023383266,-0.0001470571,-0.0930097972
0.0593698578,-0.284371808,0.1178543684,-0.1788484178,-0.0430746345,-0.3172659874,-0.022443019,-0.2231734103,0.1366760566,-0.0643942969,-0.1468460498,-0.0018031555,0.0201789058,9.59896216637287E-05,-0.1085205676
0.0493223229,0.03734478,0.3171166931,-0.270027535,-0.0961991389,-0.3746521138,-0.0436794909,-0.2666302974,0.0467046455,0.0287588299,-0.1846486022,-0.0009174312,0.0016375993,0.0003082908,0.0016056348
0.0440920729,-0.0096620657,0.0234916438,-0.0625210012,-0.0650299789,-0.2917903548,-0.0543626698,-0.2089803561,-0.0483177249,-0.0095640233,-0.009834189,-0.0042160738,-0.0170967148,-6.71785296170866E-05,0.2410756656
0.0335549619,0.0651336898,0.1298587914,-0.028113909,-0.1012824582,-0.2901949038,-0.0665815849,-0.2124672384,-0.0766537486,-0.1081606954,-0.0741476262,0.0021726701,0.0038363171,-0.000232838,-0.1425381919
0.0502668386,0.0093519656,0.058434482,0.0691081992,0.0280488716,-0.2578281968,-0.0242863574,-0.1938458207,-0.0895851091,-0.1394705159,-0.0296958683,-0.0008171604,-0.0326750313,-0.0004241237,0.0592972418
0.0602213459,0.0277743995,0.0226173594,0.2003116015,0.1207814592,-0.1794198029,-0.0009794932,-0.1415827368,-0.0171314981,0.119384475,-0.0005670766,-0.0081283422,-0.0322463768,-0.0008166774,0.3058450653
0.0413235706,-0.0179170344,0.0338166002,0.1331946426,-0.0448541463,-0.1621220883,-0.0456046865,-0.1327546096,-0.1218072098,0.0329062911,0.0132229517,-0.0185686654,0.0179028133,-0.0010747845,0.1364745735
0.0417042622,0.0803665689,0.1012864354,0.096042793,-0.0368101758,-0.1493408369,-0.043988121,-0.1263495206,-0.0870909311,0.0424006809,0.0139616926,0.3272727273,0.111223458,-0.0012905681,-0.1263720432
0.0417124705,-0.0089152394,0.1721370454,-0.0358163498,-0.0510814879,-0.1801406885,-0.0430506097,-0.1518608148,0.0044313565,-0.0266306336,-0.0227554511,0.0248803828,0.0603864734,-0.0010693564,-0.0512103282
0.0503974876,-0.0545454545,0.1641655984,-0.1433589145,0.0318353916,-0.2152115161,-0.0212393764,-0.1795883372,0.0700155074,0.0072718448,-0.0039542316,0.0046464646,0.0269151139,-0.0002339844,-0.111188829
0.0315871432,0.0650244051,0.0811299309,-0.0583116958,-0.1063467869,-0.1804879415,-0.0684392155,-0.1576025243,-0.0671494302,-0.0178897536,-0.0349119726,-0.0064360418,-0.0089514066,-0.0002286473,-0.0749123126
0.0342770447,-0.0091813659,0.0230652279,-0.0086148057,-0.0638475306,-0.1567839852,-0.0581128074,-0.1455874026,-0.0873916823,-0.0408666762,-0.0210147976,-0.0151930262,-0.0048309179,-0.0004444959,0.0061837194
0.026575595,-0.0365436544,0.0115708014,0.0034653327,-0.126163359,-0.1500310945,-0.0766419634,-0.1475108351,-0.0941643385,-0.0813712285,-0.0301275383,-0.0651515152,-0.0012077295,-0.0004395461,-0.0175005317
0.0313971084,0.0183323299,0.1647183445,-0.0574635942,-0.0446086776,-0.1733796693,-0.0628883477,-0.1708944547,0.0898772525,-0.0162849805,-0.0467647722,0.0187683284,0.0134387352,0.0002293586,0.0100676218
0.0218614738,-0.0093204775,0.0116673857,-0.0191354151,-0.1125466689,-0.1418220559,-0.0879958941,-0.1559438929,-0.0753440199,-0.0022921165,-0.0050701991,-0.0014430014,-0.0135869565,-3.08987987419018E-05,0.1085040078
0.0525593831,0.0462133859,0.0225444001,0.1331946426,0.2598822635,-0.0553845795,-0.0020071336,-0.1019419356,0.0735411058,0.0919383656,0.0173361446,-0.010031348,-0.0383631714,-0.0015865608,0.0822090315
0.0490714719,-0.0178592375,0.1361447541,0.0810325725,0.1586533098,-0.0576424876,-0.0115901353,-0.1101916856,-0.0010149491,0.031387053,0.0030153013,-0.0167832168,0.1782608696,-0.0025497447,-0.0405649273
0.0363991424,0.0089876033,0.1496769894,-0.0017223936,-0.0218904194,-0.0754939625,-0.0426422881,-0.130585508,0.0093792182,0.003105055,-0.0013557988,-0.1818181818,0.0326086957,-0.0028049771,-0.040484087
0.0317576523,0.027362588,0.0112540484,0.071702859,-0.0772619194,-0.0096499043,-0.0534420774,-0.093940195,-0.0418390442,0.0184580411,0.0246017556,0.0424242424,-0.0286138982,-0.016517317,0.1437323993
0.0606112407,0.0356609574,0.0222572103,0.0811775483,0.1420994281,0.0302426015,0.0318147897,-0.074569542,-0.1052028349,0.0198879782,0.044923869,0.0078787879,-0.0248447205,0.0070362894,0.0100993569
0.0922900435,0.0176317313,0.0651127085,0.1745299921,0.3191414161,0.0997173608,0.1192017517,-0.0335341439,0.1054823205,0.113982888,0.076675884,0.0014799154,0.0302457467,0.003941283,-0.0330230529
0.0487140372,0.0429841897,0.0975176378,0.1330158874,-0.0437652694,0.108305975,-0.0040221684,-0.0305139954,-0.0732349717,0.0671011891,0.1056370571,0.003714565,0.0165217391,0.0017457966,0.0287424618
0.0557901627,0.0515010571,0.0321568898,0.1147470517,-0.0159138402,0.1360581777,0.0174728529,-0.0125445316,-0.0722876947,0.0237147476,0.2658301985,0.0068181818,-0.0283816425,0.0010810056,0.0921907007
0.0240149745,-0.0594394869,0.0870874024,-0.0016285229,-0.2583418719,0.0986036669,-0.073959673,-0.0372670238,0.0083800808,-0.0221391828,0.0157683028,-0.0007083825,0.2305665349,0.0002149979,-0.133915552
0.0193562593,0.0086236194,0.0655196629,-0.0373165692,-0.2690196715,0.0931715811,-0.0871773563,-0.0403892008,-0.0477647154,-0.035489555,0.0038720701,-0.0020884521,0.0136085803,-0.0001964831,-0.0507572685
0.0395026931,0.1211079545,0.2190835124,-0.0438881103,0.0243732117,0.0864281221,-0.0224742232,-0.0437243338,0.1006817146,0.0028206083,0.0004559453,-0.0041637752,0.029615627,-0.0004604908,-0.0995095324
0.027764308,0.0347107438,0.0325058793,0.0130038845,-0.0747451336,0.1097485853,-0.0575360078,-0.0252501236,-0.0539121541,0,0.000652628,-0.0052205221,-0.0152173913,-0.0003468363,0.0335516856
0.048453672,-0.0429175476,0.1177280314,0.0763740809,0.2355839438,0.1334563174,0.0164184695,-0.0047298423,0.1275539153,0.0063151592,0.0023700224,-0.0111111111,-0.014300542,-0.000018301,0.0054718751
0.0464243531,0.0423917583,0.010446583,0.1611459806,0.1256724069,0.187762637,0.0130124247,0.0357253831,-0.0168943395,0.1207060571,0.1855260369,0.0038961039,-0.040203275,0.0006377259,0.1443486149
0.024955075,-0.0165511618,0.1607844489,0.0048165678,-0.1500996691,0.1203740212,-0.0612847324,-0.0071795903,0.0350809356,0.0035870552,0.0050307456,0,0.7621483376,-6.05833326691798E-05,-0.0797924531
0.0669605574,0.1018962632,0.0307875068,0.166383225,0.2525312444,0.2166932848,0.0839667436,0.0659982399,0.145104593,0.0954691706,0.1151272908,0.0262032086,-0.0383454106,0.0006535889,0.1703657163
0.0771266153,0.0406487785,0.1990802352,0.0204634052,0.2078054313,0.1522449079,0.1135673594,0.0310451208,0.1150897877,-0.001027582,0.015117499,0.0048192771,0.2438563327,0.0001270319,-0.1112668545
0.0886588599,-0.0166007905,0.2055518837,-0.1340817198,0.2061971233,0.0681094658,0.1428350448,-0.02075695,0.0520921862,0.013206256,-0.0016838002,-0.0013852814,0.0567723657,-0.0007448492,-0.1546570595
0.035276469,0.0171404447,0.0322062859,-0.066613848,-0.1793245648,0.0790493839,-0.0326668814,-0.0055464835,-0.1027664934,-0.0192071467,-0.0014217647,-0.0084348641,-0.0071640316,-0.0009837982,-0.0583721881
0.0695823051,-0.0680351906,0.1550597411,-0.1931415249,0.013756412,0.0014681208,0.0766771308,-0.0529108483,0.0481000589,0.0303988817,-0.0193025907,-0.0115384615,0.0102040816,-0.0020817949,-0.019441547
0.0482077335,0.070191615,0.1220260389,-0.1216090017,-0.1099659363,-0.0036679753,0.0089104693,-0.0522101382,-0.0623717194,-0.1135534407,-0.1465475853,-0.0899521531,-0.0014604408,-0.0040923289,-0.1573401037
0.0499651209,0.0527272727,0.2138269192,-0.1217237632,-0.0646727015,-0.036800075,0.0136188813,-0.0712627095,0.0295082905,-0.0979038346,-0.1563093681,0.0164848485,0.0013112491,0.2468504275,0.0228471002
0.0662417704,0.0089152394,0.2487909531,-0.1012314857,0.1036428258,-0.04744416,0.0626263965,-0.0753134114,0.0500118489,-0.0317053475,-0.1062430716,0.0026700572,-0.0002136524,0.0032579946,0.0981812884
0.1281212577,0.0358340688,0.1830118244,-0.094128729,0.3465370583,-0.0733595064,0.2359877586,-0.0891726064,0.0032744892,-0.1112247491,-0.2032430055,0.0024390244,-0.0024154589,0.001554486,-0.0675014477
0.0867252425,0.0090611516,0.1393109112,-0.1221614111,0.0645914661,-0.1070709424,0.1055747062,-0.1085783756,-0.0023176006,-0.0139848711,-0.201520523,0.0007820137,-0.0024722933,0.0010656645,0.0588624857
0.0536844816,0.0183932347,0.0462832056,-0.0616003713,-0.1362278492,-0.0998542701,0.0065628452,-0.0997138697,-0.1283589566,-0.065099276,-0.0727601647,-0.0023430178,-0.0024323503,0.0004861655,0.0175344698
0.0917656442,0,0.0348856774,-0.0533942026,0.0341115091,-0.1102721407,0.1069667291,-0.1024533645,-0.1087240544,-0.0438911371,-0.0660996946,-0.0027972028,0.0036231884,0.0002184718,0.0337282621
0.1095597745,0,0.0113453962,0.0792823353,0.074748487,-0.056689426,0.141449519,-0.0588906273,-0.0157472902,-0.0124866222,0.0018569421,-0.0033057851,-0.0260725717,-0.0003868777,0.1067941575
0.0396874424,0,0.1034520993,0.0155271144,-0.216173946,-0.0876572192,-0.0439176271,-0.075583935,-0.0056114361,-0.0090837192,0.0001720236,-0.0057498057,0.0090344438,-0.000420524,-0.0059907187
0.0347517588,0,0.0924134089,-0.0155117613,-0.212944598,-0.0993459626,-0.0576034156,-0.078683952,-0.0532111311,-0.0005953388,-0.0008081983,-0.0072727273,0.0144927536,-0.0003670313,0.0354703731
0.0503430764,0,0.1170647244,-0.0725556184,-0.1027922566,-0.1259828779,-0.0166968488,-0.0950696495,0.0098428858,0.0095896497,-0.007355154,-0.0071969697,0.0199275362,-9.77755894484161E-05,-0.0588329446
0.0833495738,0.0185472819,0.141664136,-0.1004946488,0.1404977805,-0.1415587956,0.0653457833,-0.1029276251,0.0811327283,0.0151712858,-0.0138783772,-0.0068965517,-0.0027173913,0.0001051827,-0.0122204402
0.1009321534,0.0561117936,0.0583369286,-0.0104548892,0.2851718236,-0.1149351308,0.1011585257,-0.0788481896,-0.001210456,-0.0641753864,-0.0257847468,0.0151515152,-0.012173913,-0.0001955115,-0.0457169379
0.0796005512,-0.0184853544,0.130964914,-0.0789642343,0.0633023341,-0.1551169758,0.043321377,-0.1043290013,0.0168531636,-0.0247785045,-0.0740134682,0.0099173554,0.0258204231,7.79988322261311E-05,-0.0254698694
0.0705049319,-0.0754529967,0.1719555301,-0.175845625,-0.0377197464,-0.2147695459,0.0205102129,-0.1451631032,0.0730261369,0.0150105767,-0.1837227197,0.0139037433,0.0050167224,0.000698888,-0.0922518066
0.0435817894,0.0583799329,0.1093893503,-0.0841108119,-0.1908183572,-0.1848186463,-0.0411794178,-0.1232843609,-0.0221706921,-0.0290255603,-0.0496046112,0.003030303,-0.0074534161,0.0003581395,0.0859323422
0.1008689121,-0.038513834,0.0735659373,-0.0901583978,0.1240260627,-0.1948576528,0.0928060542,-0.1320515352,-0.0547729203,-0.025815567,-0.0572724989,0.0022510823,0.0022680967,0.000228508,-0.0011528874
0.1014336689,0.0194258373,0.0118453628,0.1067181035,0.1265115266,-0.113175073,0.0883522646,-0.0753508728,0.0517008278,-0.054802395,0.0004886525,-0.0012326656,-0.0313880493,-0.0004909107,0.0820260409
0.0646512232,0,0.1813693091,0.0145154395,-0.0683333783,-0.1505056544,-0.0006475631,-0.1048427277,0.0497205517,-0.0311780812,-0.0060044492,-0.0019834711,0.0526009317,-0.0004352661,-0.0011125446
0.0660092637,-0.0095784838,0.1463615507,-0.0380502178,-0.0556436954,-0.1614470879,-0.0010722368,-0.1148269317,-0.022062475,-0.0036975007,-0.0047922865,-0.0074211503,0.0144927536,-0.0002641586,0.0810225908
0.0875632988,0.0966206568,0.1200818564,0.0307280263,0.0185267116,-0.1209822616,0.0424363871,-0.0879300015,0.0243594114,0.0125661974,-0.0033085524,-0.0090909091,-0.0195652174,-0.0005669174,0.0182240719
0.0835408523,-0.1141518276,0.1367907553,-0.1359407384,0.0162114177,-0.1867747432,0.0288306834,-0.1394569214,0.0979182769,0.0230122786,-0.0115202198,-0.0087774295,0.0637351779,0.0001231521,-0.0923802419
0.104240912,0.0295535425,0.3094655666,-0.2340876835,0.1278527739,-0.2499992093,0.0670186361,-0.1910322263,0.1358139348,0.0033880944,-0.2672131194,0.0472727273,0.0005394325,0.0010642435,-0.2435969615
0.0595082798,0.0510734653,0.1937734948,-0.1774188471,-0.1161414669,-0.2392362482,-0.0261653267,-0.1903036347,-0.0425358986,-0.0254813976,-0.1831850545,0.0094276094,0.0008525149,0.0008374775,0.0673500569
0.0957456811,-0.0614014451,0.213805401,-0.2567055471,0.0503652064,-0.2938833583,0.0420482034,-0.2352967645,0.0958439472,-0.0179274458,-0.2791231309,0.0119733925,-0.0029377203,0.0009263678,-0.0886066269
0.0557010527,0.0211715627,0.1475554789,-0.1633513254,-0.135870571,-0.2835292204,-0.0370441428,-0.2379435518,-0.0645591545,-0.1744218515,-0.3871745449,0.0090909091,0.0006072063,0.0005968335,-0.0686021335
0.0872955959,-0.1381434305,0.1475554789,-0.0849150469,0.0380489388,-0.2667444005,0.0253248337,-0.2359152843,0.0848296041,-0.1480223676,-0.2214336472,0.0029411765,-0.0084037186,0.0002642129,0.1269630806
0.098071432,-0.1381434305,0.1111533049,-0.1884030605,0.10691416,-0.321358219,0.0459517048,-0.2816145407,0.0689817645,-0.0265224092,-0.3284946983,-0.0006904488,0.009526231,0.0003387429,0.0038407881
