"volume","high_close_ratio","low_close_ratio","close_lastclose_ratio","volume_ma10_ratio","close_ma60_ratio","trsrange_ratio","natr5_ratio","adosc5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.0477723251,0,-0.1196930946,0.0400241352,-0.0476657849,-0.219300283,-0.0533333333,-0.1266889822,-0.0005521206,0.0073439412,-0.0001661509,-5.37361484532419E-15,-0.000015582,0.0074720778,0.0865893286
0.0777463333,0.1295486491,-0.0805057412,-0.1197192513,0.0322446863,-0.2541768367,0.0888888889,-0.0205203264,0.0001424374,0.0223255814,-9.24507317075068E-05,4.87441604871769E-16,2.31927790670553E-05,0.022551542,-0.1807901598
0.0763809081,0.043055123,-0.1605351171,0.0402616671,0.0199568623,-0.2360058576,0,-0.028437017,-0.0034345119,0.0080683436,-0.000312942,7.19448694322332E-15,-1.8504838324854E-05,0.0082101033,0.221604208
0.088507509,0,-0.2372924325,0.2007127488,0.0391965833,-0.1656916466,0.0266666667,0.0044423836,0.002280486,-0.003875969,-0.0010568041,-3.6828921256978E-14,-9.54176743105367E-05,-0.0038505593,0.5208092682
0.1408904198,0.171712467,-0.1200461716,-0.1582295256,0.1291456303,-0.2131213153,0.0222222222,0.0726403081,0.0001579559,-0.0050739958,-0.0001666512,-1.13621140048124E-14,0.0067242704,-0.005014012,-0.0658127559
0.0951613559,0,-0.1971688574,0.2001206758,0.0112045165,-0.1385291896,-0.0380952381,-0.0506145189,0.0004177495,-0.0075716604,0.0015610022,3.50476531700403E-14,-0.0001350448,-0.0075494972,0.0425183874
0.0542242841,0,-0.1568233224,0.078884778,-0.0704453131,-0.1041240705,-0.0266666667,-0.075143178,0.0002428913,-0.023255814,0.0002617788,1.28963225950349E-15,0.0001096223,-0.0232720429,0.0822437511
0.0441016071,0,-0.1568233224,0,-0.0834001467,-0.0975586898,0,-0.0585792902,0.0001419321,-0.0192461909,-5.4755896986346E-05,-4.26440140870283E-15,-1.74832096657386E-20,-0.0193668705,0.0592509891
0.086830962,0.2127577716,-0.0396643783,-0.1568575933,0.0175244242,-0.143449055,0.0666666667,0.0555208689,-7.52148520493934E-05,-0.003875969,-0.0004420671,-1.1350552780839E-14,-0.0001550831,-0.0038900349,-0.1013657615
0.3665662646,0,-0.5995676195,0.793460925,0.4502981356,0.1285106847,0.3111111111,0.5466399119,0.0005840599,0.026744186,0.0034892922,1.13643528450099E-13,-0.0005597252,0.0264280217,0.2350461837
0.1078328264,0.2438988533,-0.0757833374,-0.149924661,-0.0098766603,0.0783319175,-0.08,0.0067886235,7.77021115089038E-05,0.0054083288,-0.0001050311,-6.17775453342856E-15,-3.53824857176752E-05,0.0052626632,-0.1164754562
