"low","close","close_lastclose_ratio","volume_ma5_ratio","ad_ratio","obv_ratio","natr5_ratio","adosc5_ratio","dmi5_ratio","adx5_ratio","apo5_ratio","macd5_ratio","macdsignal5_ratio","dx5_ratio","ppo5_ratio"
0.2421307506,0.2482100239,0.3651198092,0.0739485349,0.0793072222,0.1017548895,0.1245962189,0.0001771059,0.014105986,0.0475575965,-0.0043731778,0.0037101413,-9.3217256139507E-06,0.014105986,-0.0043897726
0.2378934625,0.2344868735,-0.5396634615,0.4793450496,-0.2730337385,-0.2764373022,0.3900333948,-0.0032752003,-0.0018680564,-0.220310092,-0.018494898,-0.0052280015,-9.58982952044035E-05,-0.0018680564,-0.0184294834
0.2336561743,0.2368735084,0.0993472729,0.0774027208,0.0532326477,0.170464506,0.0163912913,0.0009548458,-0.0006011911,-0.2317804705,0.0102040816,-0.0051174036,-0.0001225079,-0.0006011911,0.010147256
0.2288135593,0.2261336516,-0.4425583178,-0.0292337727,-0.1346360237,-0.1402993391,0.0988698244,0.0009855926,0.0050565198,-0.003013029,0.0066718995,-0.0381763259,-0.0003095497,0.0050565198,0.0067492636
0.2233656174,0.2309069212,0.2060341861,-0.0027717326,0.194898836,0.1757908182,0.0020018919,-0.0003903305,0.0013709536,0.165995667,0.0018984338,0.001552981,-0.0011165864,0.0013709536,0.00195101
0.2251815981,0.2237470167,-0.3026626222,-0.138664088,-0.0665668361,-0.1050314966,0.013506704,-6.62345219383825E-05,0,0.1205723651,0.0094037615,0.0051986205,0.0006555776,0,0.0095378945
0.2276029056,0.2261336516,0.104115942,-0.1472562805,-0.0334806762,0.0785472569,-0.0762568248,3.03231812620028E-05,1.12225870929708E-18,0.0898418073,-0.0003123698,0.0002087609,0.0001523371,1.12225870929708E-18,-0.0002333654
0.2276029056,0.2267303103,0.0257542733,-0.146297448,0,0.0660457893,-0.099655432,-0.000075181,-7.48172472864717E-19,0.0681347353,0.0012889366,-0.0006599939,4.85196483730618E-05,-7.48172472864717E-19,0.0013481167
0.2276029056,0.2279236277,0.0513729977,-0.0915933567,0.016101608,0.0723287168,-0.0610108509,-0.0002125231,-0.0009661176,-0.0863381037,-0.002288766,-0.0014565164,-4.65958462368934E-06,-0.0009661176,-0.0022429196
0.2263922518,0.2279236277,0,0.1587437715,-0.0158815818,0,0.0794268387,-0.0001361751,-0.001856057,-0.2514643221,-0.0011064667,-0.001475789,-2.87836091577148E-05,-0.001856057,-0.0010574588
0.2239709443,0.2225536993,-0.2299681311,0.0778126487,0,-0.1089792,-0.0051364374,-0.0001730453,0.0010193122,-0.2030885228,-0.0053778268,0.0021025725,1.44066384103895E-05,0.0010193122,-0.0053018266
0.2239709443,0.2213603819,-0.0523371022,-0.023560694,-0.078938052,-0.0873476554,-0.0338875327,0.0003545245,0.0002644011,-0.1712901194,-0.0017492711,0.001043273,2.80395426655301E-05,0.0002644011,-0.0016934323
0.2245762712,0.223150358,0.0789288644,-0.0246143244,-0.0566793702,0.0935936807,-0.009389418,0.0003751552,0.0024174233,0.0063028187,-0.0038705137,-0.0008679402,-1.46619319141722E-06,0.0024174233,-0.0038163243
0.2239709443,0.23150358,0.3653801442,0.011742613,0.1151654663,0.1095271205,0.0531130401,-0.0004192272,0.0016805025,0.2161827935,-0.0017006803,-0.0054958076,-9.87846132504646E-05,0.0016805025,-0.0017138297
0.2312348668,0.2338902148,0.1006275213,0.1290876426,0.1116259211,0.1465521922,-0.0426071285,-0.0011018992,0.00074384,0.2877752261,-0.0102040816,-0.0124689102,-0.0001868033,0.00074384,-0.0101623486
0.2318401937,0.2297136038,-0.1743012422,-0.0567403411,-0.0524619924,-0.0842789836,-0.0541283367,-0.0010525158,0,0.1958048705,-0.0095238095,0.0007300396,-0.0002244005,0,-0.0094474775
0.2221549637,0.2219570406,-0.3295878035,-0.0026401184,-0.0594093034,-0.1053483388,0.154727652,0.0026610805,-0.0014141642,-0.1098731007,0.0065597668,-0.023408657,0.0001455964,-0.0014141642,0.006563701
0.2227602906,0.2249403341,0.1311944834,-0.0009637803,-0.0127514525,0.1124429821,0.0678626029,0.0007853728,-0.0005017015,-0.1384442996,0.0039929015,0.0016819297,0.000105882,-0.0005017015,0.0039877453
0.2294188862,0.2344868735,0.4142544113,0.045466919,0.1512717808,0.1297295881,-0.0344045104,-0.0025379907,-0.0023278297,-0.3026285257,-0.0003188776,-0.0135163087,-0.0002710789,-0.0023278297,-0.000346019
0.2348668281,0.2332935561,-0.0496736365,0.1700984055,-0.0896784068,-0.1759899477,-0.0550816574,-0.0005914018,0.0226637461,-0.0361104705,-0.0036208032,0.0092134337,-0.0009912807,0.0226637461,-0.0036214578
0.2397094431,0.2464200477,0.5492049372,0.1494255545,0.2106667008,0.210388816,0.0567094236,0.0087555742,0.0032942383,0.3413605964,0.0081632653,0.0175866172,0.0014598405,0.0032942383,0.0079401255
0.2421307506,0.2410501193,-0.2127066007,-0.0599324459,-0.0691209559,-0.1216232274,0.0319311836,0.0001160036,0.0001923548,0.2662068653,0.0087868481,0.0005207041,0.0002024546,0.0001923548,0.0085904234
0.2427360775,0.2446300716,0.1449634094,-0.1193923132,0.0530456364,0.0981808995,-0.0698079531,0.0003088114,0,0.1831819277,0.0045689918,0.001068659,0.0001085456,0,0.0044153613
0.2481840194,0.2517899761,0.2856839873,0.0647066301,0.0819365666,0.1848629632,-0.010650136,0.0004964842,0.0006985754,0.2530478212,0.0025247212,0.0023451263,0.0001066815,0.0006985754,0.0024055273
0.2445520581,0.2452267303,-0.2544302493,0.021843278,0.0282840969,-0.1575754827,0.056300806,0.0002329267,-0.0010955578,-0.032838366,0.0017709563,-0.0012014169,2.15034697345317E-05,-0.0010955578,0.0017067513
0.2463680387,0.2488066826,0.1424944462,-0.0922608497,0.0252989008,0.0982274088,-0.0182108088,0.0001132581,0.0006712517,0.0494612331,-0.0017246335,-0.0002100128,8.15332109879448E-06,0.0006712517,-0.0017849697
0.2475786925,0.2488066826,0,-0.0251569863,-0.013979944,0,0.0225904492,-8.31022144806333E-05,0.0002637873,0.0748825972,-0.0016430301,-0.0006356432,-0.000006955,0.0002637873,-0.0017309273
0.2493946731,0.2464200477,-0.0936294443,-0.1369770197,-0.0654853659,-0.0783149912,-0.0724358844,-0.0003816076,3.02810040012361E-19,0.0572860576,-0.0030921459,-0.0016832674,-3.35727928709153E-05,3.02810040012361E-19,-0.0031418273
0.2506053269,0.2505966587,0.1654384672,-0.0528968976,-0.0143753552,0.0949618074,-0.0205922333,-0.0004391875,0.0003756935,0.0970603406,-0.0045844425,6.10628505196534E-05,-2.11426940511594E-05,0.0003756935,-0.0046023878
0.2518159806,0.2511933174,0.0232401656,-0.1235587289,0.0271705808,0.0583425108,-0.1132120762,-0.000246223,0,0.0733027984,-0.0026852846,-0.0002408132,-1.73633509911897E-05,0,-0.0027284588
0.254842615,0.2595465394,0.3245894867,0.015440556,0.0859731091,0.0913264025,-0.0120667423,0.000449099,0.0004782612,0.1254614744,0.0051020408,0.0028662743,3.6784499778636E-05,0.0004782612,0.0050007528
0.2608958838,0.2589498807,-0.0224387806,-0.0243537902,-0.0254243444,-0.0715917629,-0.0698669073,-6.84651823840364E-05,7.45396917933454E-05,0.1050763595,0.0009718173,0.0004644172,2.95514493423513E-05,7.45396917933454E-05,0.0008883414
0.2578692494,0.254176611,-0.179923863,-0.0907396533,-0.0582289818,-0.054821784,-0.0113106132,-0.0005238731,-0.0010557858,-0.0831849438,0.0022182786,-0.0017066234,-1.74025218650809E-05,-0.0010557858,0.0021622553
0.254842615,0.2517899761,-0.0916513574,-0.0312688881,-0.0549294145,-0.0622565958,-0.0152591905,-0.0010831682,-0.0014549199,-0.211612881,0.000728863,-0.0025737025,-5.37593748526079E-05,-0.0014549199,0.000725882
0.2566585956,0.2535799523,0.069390068,-0.0634380689,-0.0439796704,0.0564065444,-0.0608996698,-0.0037244204,-1.21102918934187E-18,-0.1944180474,-0.0010204082,-0.0015689698,-5.87486681919458E-05,-1.21102918934187E-18,-0.0010465057
0.2572639225,0.2589498807,0.2067007673,-0.0117705333,0.0667113406,0.0592572199,-0.0659963832,-0.0002634044,0.0013029441,-0.1021537974,-0.003590325,0.0019520757,-1.61657377865479E-05,0.0013029441,-0.0036020066
0.2554479419,0.258353222,-0.0224904829,0.0446005075,0.0616129778,-0.0668267684,0.0200807496,-0.002056139,-0.0016151998,-0.2338441361,-0.0052478134,3.03833592807984E-05,-9.61848609804556E-06,-0.0016151998,-0.0052448766
0.2566585956,0.2559665871,-0.0901696958,-0.111320509,-0.0037808626,-0.039138936,0.0051413367,0.002683621,0.0010401718,-0.1753142321,-0.006002401,-0.001770274,-3.6412373038952E-05,0.0010401718,-0.0059934988
0.2572639225,0.2595465394,0.1365156583,-0.1036004555,0.0390866797,0.0370107904,-0.0358073334,0.0015884001,1.49516460286445E-18,-0.1570697832,0.0160349854,0.0006637806,-1.41239157888171E-05,1.49516460286445E-18,0.0158781203
0.2639225182,0.2607398568,0.0448775612,0.1716157506,-0.0715153232,0.0854822303,-0.003850684,-0.0007148118,0.0058517155,0.2778100334,0.0045351474,0.0005600516,6.59369586094137E-07,0.0058517155,0.0044621068
0.264527845,0.2673031026,0.2456969456,0.1662415367,0.0855724143,0.0934868809,-0.006281029,0.001470033,0.0002568151,0.2402316819,0.0058869702,0.0036000607,0.000065064,0.0002568151,0.0058147028
0.2699757869,0.26849642,0.0435753106,-0.0460583937,0.0187591552,0.0522057545,-0.0993730417,0.0005799494,0.0002098613,0.2068584842,0.0044798407,0.0013538858,6.29110879172131E-05,0.0002098613,0.0044075936
0.2705811138,0.2714797136,0.1084541063,-0.0711898734,0.053369983,0.0494060254,-0.0541882006,0.0006867704,0.0001712321,0.1776227178,0.0039778623,0.0011773887,0.000057981,0.0001712321,0.0038678219
0.2723970944,0.2720763723,0.0214524606,0.0835469621,0,0.0887967716,0.0461756273,0.0001659905,0.0002651274,0.1738464989,0.0009955202,0.0002322764,0.000035197,0.0002651274,0.0009052994
0.2669491525,0.2631264916,-0.3210812357,0.1022636886,-0.1029761859,-0.0949499728,0.1360940224,-0.0006818463,-0.0019835051,-0.2139876696,-0.0009070295,-0.0031110721,-4.34378649419149E-05,-0.0019835051,-0.0009368519
0.2633171913,0.2649164678,0.0664004732,0.0533761302,0.0761601078,0.0853896865,-0.0277598166,9.55362420079833E-05,-0.0019135289,-0.291323246,-0.0022399204,-0.0023317845,-6.3158867049742E-05,-0.0019135289,-0.0022486718
0.2633171913,0.2601431981,-0.1758715237,-0.0036462625,-0.0710058749,-0.0776839275,0.0398649536,-0.0008271258,-0.0012223684,-0.3038080704,-0.004942602,-0.0053980972,-0.0001134483,-0.0012223684,-0.0049259353
0.2554479419,0.2517899761,-0.3134224172,0.1163458621,-0.1407553798,-0.1262440451,0.1272442402,-0.0044274433,0.0301969067,0.0329637566,-0.0182436611,-0.0233672312,-0.0002510731,0.0301969067,-0.0181817163
0.2524213075,0.2547732697,0.1156501133,-0.0807821039,0.0210577231,0.0726623638,0.0534738018,0.0009142711,0.0006810679,0.1167895423,0.0196232339,0.0037739102,-0.0005627582,0.0006810679,0.0195967921
0.25968523,0.2661097852,0.4343244069,0.0397494176,0.1216599765,0.1044176195,0.049756026,-0.0006586576,-0.0024928766,-0.3034571066,-0.0001342642,-0.007165623,-1.18764692587666E-05,-0.0024928766,-0.0001541123
0.2681598063,0.2714797136,0.1969682199,-0.0251956965,0.0691330159,0.0857634147,-0.02183822,-0.0016625751,0.024410841,-0.0262059602,-0.0020408163,-0.0482708887,-0.0008307138,0.024410841,-0.0020453102
0.2736077482,0.2720763723,0.0214524606,-0.1531358236,0.0077211758,0.0485305645,-0.1054998955,0.0098048604,0.0003739249,0.0219582742,-0.0057823129,0.0057145459,0.0008137296,0.0003739249,-0.0057646178
0.2796610169,0.2857995227,0.4923245614,0.2510281542,0.1735365537,0.1548553902,0.1103738528,0.0037726323,0.0022446475,0.3098241587,-0.035321821,0.0091384102,0.0004869881,0.0022446475,-0.035042811
0.2881355932,0.2929594272,0.2445311791,0.0342432213,0.1127804551,0.105135189,-0.021508093,0.0011260732,0.0004031846,0.2900736351,0.0148278061,0.0038554249,0.0002557128,0.0004031846,0.0145731373
0.2923728814,0.2917661098,-0.0397591428,-0.0029716291,-0.0138289398,-0.0928063635,-0.0067834576,0.0002138244,0.0001448192,0.2258446635,0.0024697777,0.0007055775,0.0001122355,0.0001448192,0.0023263748
0.2929782082,0.2965393795,0.1596870277,-0.1026523576,0.0677239245,0.0657467879,-0.0391013514,0.0002086437,0,0.158774639,0.0016221873,0.0006710289,6.81896886590145E-05,0,0.0014797919
