"high_close_ratio","volume_ma10_ratio","ad_ratio","obv_ratio","atr5_ratio","adosc5_ratio","b_upper5_ratio","dmi5_ratio","adx5_ratio","adxr5_ratio","slowk5_ratio","macd5_ratio","macdsignal5_ratio","dx5_ratio","cmo5_ratio"
0.0244025017,-0.0730934539,1.83920488906792E-06,-0.0552149742,-0.0969712227,0.0005527755,0.0093943462,-8.707037778471E-20,-0.0589505479,0.0754651008,0.1021238515,-0.0002069757,0.0003396709,-8.707037778471E-20,-6.11222673712439E-05
0.426365932,0.0890782575,-5.56869995157522E-06,-0.134622445,0.2641228505,-0.0007385981,0.0491468099,0.0005675054,0.1812336434,-0.0219290217,0.0114665978,-0.00108793,-0.0006233164,0.0005675054,-0.0004468917
0.0749806972,-0.0289580923,1.22089502461907E-06,0.0900487929,-0.0506500501,-0.0005267331,0.0116852052,-0.0002063966,-0.0007410597,0.0277970236,-0.0380375373,-0.0009717967,-0.0009449422,-0.0002063966,-0.0002234334
0.3954273994,-0.0127323481,-5.49112030313308E-06,-0.0991240903,0.1041996698,-0.0016136392,0.1062272852,-0.0005243696,-0.2461829617,-0.1999375048,-0.0519325784,-0.0046228536,-0.0027127976,-0.0005243696,0.0048218013
0.1852087307,0.0164461965,0.000000502,-0.1291734099,0.075844152,-0.0016722534,-0.1059343826,0.0015908173,0.0424099591,-0.0130797285,-0.0751063695,0.0042840217,-0.0062991304,0.0015908173,1.35948722571622E-05
0.3570373629,0.0020634939,-4.61073814438575E-06,-0.1159374139,0.0565934218,-0.0047904805,-0.1625494823,0.0001734815,0.122056844,0.1906758069,-0.2700653975,0.0023276864,0.0247469795,0.0001734815,0.0001050524
0.1074072936,-0.0165060756,1.20669882587037E-06,0.1084171286,-0.0414609779,0.0052061207,-0.2105384994,2.30909889991623E-19,0.0914171409,0.0551473132,-0.2261350616,8.68617982744637E-06,0.0024503675,2.30909889991623E-19,-0.0001775809
0.0535047444,-0.1117099489,1.24933453590221E-06,0.0508426212,-0.0872635774,0.0001104036,-0.4561718893,-2.30909889991623E-19,0.0695830202,-0.111585016,-0.1969036911,-0.0002541963,0.0007171135,-2.30909889991623E-19,-5.56252948875983E-05
0.0264583901,-0.0492284311,3.49924804502113E-06,0.0782586582,-0.0377915077,-0.0024408081,-0.0216963904,-0.0002891302,-0.1023396004,-0.0455915139,-0.1079112833,-0.0006083808,-0.0001194815,-0.0002891302,-0.0002057108
0.2443919717,-0.0324434631,-0.000004491,-0.0798468657,-0.0313602694,0.0055344203,-0.0675014585,-0.0002376137,-0.1712890613,-0.0395919815,-0.2414586596,0.000245353,8.73338126049447E-05,-0.0002376137,0.0006722515
0,0.0890644545,8.94384150445258E-06,0.1525251769,0.1995776717,-0.0062363541,0.423623957,0.0007139704,0.0417849728,0.0846220043,0.2208872233,-0.0022597707,-0.0015287961,0.0007139704,-0.0006681103
0.3650684727,-0.0097475156,-4.91993871498144E-06,-0.090258876,0.0308426476,-0.0017413604,0.0459905914,0.0002615669,0.1665620409,0.1450692721,0.1847408886,-0.0013176861,-0.0016179252,0.0002615669,-0.000335112
0.1553363547,-0.0579299612,-3.62384269217915E-07,0.0699450048,-0.0262316144,-0.0028809448,0.0475071184,-0.0003130935,-0.0749440663,-0.1115544468,0.1398481619,-0.0034833059,-0.002051589,-0.0003130935,0.0008425726
0.0259825198,-0.0945303679,2.04731163703572E-06,-0.0483663298,-0.090171556,0.0154145413,0.0217895982,-0.0003400777,-0.1942514606,-0.2289501514,0.2057718894,0.0039584291,-0.0023894659,-0.0003400777,-0.0001694836
0.0263618266,-0.062042663,2.1763675660528E-06,-0.0583753735,-0.0413591874,0.0063072763,-0.1142890586,-0.0006678596,-0.335197671,-0.1785733496,0.010377265,-0.0067580985,-0.0007433374,-0.0006678596,-0.0013082547
0.1054473065,-0.0707479449,9.1660554606222E-07,0,0.0241799543,0.0017983964,-0.216486037,-1.5789521801415E-18,-0.329880017,-0.0597485294,0.1038014604,0.0025203335,0.0007253234,-1.5789521801415E-18,-1.16637244244143E-19
