"volume","open_lastclose_ratio","high_close_ratio","close_lastclose_ratio","ad_ratio","obv_ratio","sar_ratio","apo5_ratio","rsi5_ratio","willi5_ratio","macdsignal5_ratio","cmo5_ratio","ppo5_ratio","roc5_ratio","ultosc5_ratio"
0.1055345777,0.0191815857,0.0911817993,0.0180364164,0.0023844902,-0.004032465,-0.0193471618,0.0077220077,0.0253280746,-0.0007680492,8.3799705051456E-05,-5.72955515268647E-05,0.0078767901,-0.0011583428,-0.1734779517
0.3014980867,0.0574712644,0.0530820437,0.4323211529,-0.0116735871,-0.0201728114,-0.0186206653,0.003003003,0.3480994935,-0.0188827695,-1.729959305313E-08,-0.0009656629,0.0030384786,-0.0131935086,0.2706524886
0.3265878261,0.1672862454,0.0344489017,0.3845086833,-0.0163696218,0.0190720622,-0.4479933038,-0.0037837838,0.0485115204,-0.0289838896,-3.22326517597461E-05,0.0016727634,-0.003808897,-0.0467098945,0.2682156065
0.351493792,0.1447527141,0.1009121538,0.3402769026,-0.0163343559,0.0067774465,0.0099410435,-0.0251414205,0.0204595198,0.0335483871,-0.0001336738,0.000284097,-0.0250124775,0.0631610083,0.1797425402
0.5183186858,0.2120141343,0.096155352,0.6977480091,-0.0527539104,0.0058075019,0.0288030559,-0.6486486486,0.0199078214,-0.0114015573,0.0001474071,0.0002253206,-0.6395024462,0.017924373,0.1168027254
0.2562441364,0.1178451178,0.0960475545,0.0158299412,0.3436865026,0.0017747626,0.0657554102,0.0278104191,0.0003032104,0.000565931,3.50845109391669E-05,2.95216816846567E-06,0.0271560267,-2.64231808619783E-05,0.0040918786
0.1739244092,-0.067264574,0.1956036954,-0.2529951141,-0.0554414991,-0.0010133193,0.0824757822,0.0078185328,-0.0371068513,0.1282642089,1.03932146789418E-05,-0.0003605198,0.0075380823,-0.007981922,-0.0997468135
0.1889943663,-0.1369863014,0,0.0805050092,-0.6966932288,0.0012341412,0.0750633381,0.0027700831,0.0055325878,-0.0005331911,3.55514463855393E-06,7.95777228851455E-05,0.002517978,-0.005511156,0.0252760228
0.1758649505,-0.0851305335,0.1960513012,-0.112067359,-0.0360349657,-0.0010151447,0.0683830439,-0.0023088415,-0.0208748752,0.039306045,-1.69207726562508E-06,-0.0002807269,-0.0025401617,-0.0109768655,-0.0541501129
0.2388915264,-0.0343249428,0.1429495305,0.4034461559,0.1427803662,0.0015458742,0.0623515215,-0.0074992575,0.0337712453,-0.0207111437,7.4752269648039E-07,0.0006277455,-0.0077229719,-0.0143808402,-0.0092734312
0.2742700498,-0.0166852058,0.2483316481,0.329470556,0.0129716403,0.0015241861,0.0803783576,-0.0083239133,0.0147665271,0.002787734,4.31379938883855E-06,0.0001802232,-0.0085706138,0.0516421963,-0.0294087337
0.1536299588,0,0.2818237454,-0.1226476314,-0.0287948555,-0.0007346543,0.1166799356,-0.0049005049,-0.0204131604,0.0161290323,1.38858606963138E-06,-0.0002187216,-0.005135537,0.0063970986,-0.0434672622
0.6981054687,0.4605263158,0.3518456616,0.9588570306,0.0894570952,0.0036213025,0.1011261942,0.0074369672,0.034426504,-0.0149253731,1.02493443299963E-05,0.0004552148,0.0068420429,0.0324548043,0.0331877565
0.3692327258,0.0308008214,0.2181120637,0.1158478654,0.0150257342,0.0013827216,0.1797437238,0.0118065434,0.0020908969,-0.0107526882,9.10551632526302E-06,2.07422555549043E-05,0.0111774666,0.0035294227,0.0265912407
0.2797598161,-0.3054989817,0.102411361,-0.0861780709,0.0189932176,-0.0009133293,0.1510090911,0.0068310068,-0.0124545394,0.0265889492,0.000004122,-0.0001217265,0.0064820048,-0.0063488085,-0.0221441216
0.3056091525,-0.2459016393,0.5638480058,-0.5636010521,-0.0256040118,-0.0011050761,0.127338312,-0.0008692903,-0.0654471463,0.0715778474,-0.000004226,-0.0007063142,-0.0009913452,-0.0162258364,-0.1321766754
0.3311143797,0.144076841,0.3777531685,0.1204224343,-0.014591247,0.0013567848,0.1077067854,-0.0002449579,0.0135371977,0.0030809556,-6.69745725750721E-06,0.0009528119,-0.0004412331,0.0198246254,0.0095870222
0.5881661871,0,0.0846585164,1,0.1393495762,0.0021061352,0.0816921111,-0.004531971,0.064777586,-0.02942685,2.07666768447048E-06,0.0022085819,-0.0048178958,0.0016182262,0.0871515404
