"low_close_ratio","volume_ma5_ratio","volume_ma10_ratio","ad_ratio","atr5_ratio","natr5_ratio","b_upper5_ratio","ema5_ratio","kama5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","ppo5_ratio","ultosc5_ratio"
-0.6072429907,0.2590587662,0.1928703931,-0.0090644827,0.1954620462,0.1368128762,0.4437033148,0.3953583548,0.4707109049,0.0005633021,0.0094151293,0.0695796425,-0.0351966874,0.009081445,0.1319995262
-0.2789497307,0.3591199657,0.3095812747,0.0048393954,0.1566693228,0.1667023663,0.2637016093,0.3370957066,0.3398995297,0.0001539459,0.0010408829,0.1228363549,0.1925703815,0.0046263669,-0.0523898678
-0.2798659674,0.0013080102,0.0537743945,-0.004520261,0.0080484421,-0.0061679722,0.1568395515,0.2706348896,0.2412196583,3.37691503505393E-19,0.0006013292,0.0758476419,-0.0103519669,0.0039481607,0.044441378
-0.0606967465,-0.0180517189,0.0591893594,0.0091216585,0.053434464,0.1042524408,-0.0413962964,0.0649629744,0.0039940341,2.80176323469014E-05,-0.0331381457,-0.0040060155,0.0306225147,0.0024091777,-0.0707336761
-0.2952961672,-0.0924111685,0.0010335493,-0.0056122378,-0.016040656,-0.0524442329,-0.1015810459,0.1564530122,0.0628341293,0,0.0127899837,0.0402971395,-0.0134151621,0.0013164627,0.0202969515
-0.2067849099,-0.0499714447,0.0144383901,-0.0026426274,-0.0111830106,-0.0324444547,0.0697495479,0.1658341935,0.0526685727,4.12265674597307E-05,0.0052705571,0.0319927339,-0.0071970817,-0.001768724,-0.0423650762
-0.0944816054,-0.0364048958,-0.0162646779,0.0019629398,-0.0305438188,-0.0445391303,0.0673346025,0.128330838,0.0391629783,1.15197281609404E-05,0.001666447,-0.0056318874,0.0081473813,-0.0026444946,0.0081438613
-0.0748674912,-0.0445677881,-0.0275801662,0.0034391208,-0.003254448,0.0303778194,-0.0021139635,-0.0249714146,0.000637746,-0.001211973,-0.0370865663,-0.0183956284,0.0592786314,-0.004923007,-0.0535588502
-0.2312865497,-0.0297544754,-0.034744422,-0.0025005753,-0.002621176,-0.0076153536,-0.0415782713,-0.0030749568,0.0061954345,-0.0010893805,0.0038170808,-0.0263531392,-0.0019393558,-0.0037919698,0.0958991244
-0.1466262976,-0.1007531706,-0.0678746464,-0.0026499296,-0.0436979059,-0.0631937042,0.0011728915,0.0252515538,0.0016959681,3.62522371521037E-19,0.0079912849,-0.0792296436,-0.0044332849,-0.0068914501,-0.0216189546
