"close_lastclose_ratio","volume_lastvolume_ratio","trsrange_ratio","ad_ratio","adxr5_ratio","apo5_ratio","rsi5_ratio","macd5_ratio","cci5_ratio","ppo5_ratio"
0,-0.0453892804,-0.0519480519,-0.0042119204,0.2495593515,-0.0131578947,0,-0.0026527106,0.0164751014,-0.0132452826
-0.2918998135,1,0.0727272727,0.1346248483,0.1072209762,-0.038277512,-0.1793704079,-0.0121507685,0.0084514564,-0.0382518572
0.1283312833,-0.1648665899,-0.0519480519,0,-0.2331612349,-0.0877192982,0.1789876022,0.0055581868,-0.0047849723,-0.0875735847
0,0.0647479984,0,0.0129555798,-0.4528832922,0.1666666667,0,0.0013195859,-0.0092380498,0.1664309093
-0.1692349284,-0.048128597,0,0.0053200471,0.1212959083,0.0210526316,-0.1225993292,0.0069544784,0.106558779,0.0211923368
-0.4293552812,0.350767325,0.2545454545,0.0153172854,0.7113748933,0.0240601504,-0.210694398,0.0110273906,0.0047086685,0.0245949498
0.0891737892,-0.130969541,-0.1060606061,0.0034572646,0.4836864891,-0.0020639835,0.2264645522,0.0012841154,-0.0054046995,-0.001691796
-0.0442465366,0.0662034521,0.1090909091,0.002264955,0.0778836436,0.0085929108,-0.0278322346,0.000449301,-0.0024856103,0.008990951
0.0444160636,-0.0310576357,-0.1136363636,0.0024910773,0.3377911195,0.0027700831,0.1018153456,-0.0006279826,-0.0039339517,0.0031995737
0.0884930732,0.0026120436,0.0606060606,0,0.2730848537,-0.001754386,0.1659141809,-0.0016260452,-0.0539759944,-0.0014868122
0.307379349,0.0796075346,0.1363636364,-0.0105121316,-0.2013878041,-0.0263157895,0.2777546208,-0.0047981768,0.0003665172,-0.0262220771
-0.3422167555,0.0410706864,0.0519480519,0.0098792616,0.0531079709,-0.0181488203,-0.1680837324,0.0018031515,-0.0100477808,-0.0180281743
0.1322348965,-0.0222789859,-0.0808080808,0,0.0419335551,-0.0498614958,0.0985166659,-0.0022689614,0.0173346719,-0.0498062393
-0.0871623503,-0.0603841842,0.0363636364,0.0026076709,-0.0754298603,-0.7368421053,-0.050175904,0.0001207048,-0.0276737176,-0.7387351897
-0.1756453423,0.0979126062,-0.0606060606,0.0115772546,-0.3818662486,0.008097166,-0.0989311848,0.0041278527,0.0209441373,0.0083199756
-0.0445868946,-0.0355329394,0,0.0043476998,-0.0477616958,-0.0807017544,-0.0290008078,0.0017733328,-0.0020430605,-0.0806364825
0.0447590448,-0.0203997201,0.0454545455,-0.0015063425,0.0077707147,0.0263157895,0.0699107921,-0.0003584252,-0.0037545442,0.0263510103
-0.0891737892,-0.0398256774,-0.0727272727,0.0060413884,0.1418007385,0.0570175439,-0.0713028214,0.0006136734,0.000345372,0.057089
0.5841228826,0.4324683246,0.6666666667,-0.0158821768,0.0466978666,-0.0105263158,0.5590346689,-0.0083166692,-0.0354055654,-0.0106600355
0.0427770944,-0.0092946629,-0.038961039,0.0055213742,0.3246281396,-0.0421052632,0.0103961604,-0.1761767034,-0.0030149366,-0.0420974689
0.0852396514,-0.1155574653,-0.0991735537,-0.0046666663,0.2812946516,-0.3552631579,0.0214358909,0.0065644747,-0.0037887221,-0.3545862475
-0.0846174642,0.0005937029,0.0363636364,0.0026936791,0.2333501831,0.0343249428,-0.0575311463,0.0002787422,-0.0035234524,0.0339982691
-0.3409586057,0.1050975748,0.0606060606,0.0122472645,-0.414396486,0.0193905817,-0.1781749892,-0.0051345056,-0.029535883,0.0194265618
0.307379349,-0.0516632303,0,-0.0058686954,-0.1943307045,-0.0070850202,0.2035189596,0.0028905015,-0.0054046931,-0.007198056
-0.1283312833,-0.0480918399,-0.0681818182,0.0012888545,-0.1633442499,-0.0187134503,-0.0636860166,-0.0026725849,0.0008451456,-0.0187974139
-0.17302377,0.0053040606,0.0727272727,0.0009370247,0.1181717444,-0.0453720508,-0.0865253799,-0.0090948536,0.0152676068,-0.0453429248
-0.1317340067,0.0778101056,0,0.0039197745,-0.3404351561,-0.3026315789,-0.0691377816,0.1590332691,-0.0002154711,-0.3022534834
0.2220803179,-0.041929425,-0.0519480519,-0.0069527714,-0.2974882775,0.0110803324,0.2069159759,-0.0028000824,-0.0075191416,0.0108801143
0,-0.0290444963,-0.0363636364,0,-0.5605290747,0.0114416476,0,-0.0027880134,-0.0225873298,0.0115503993
0.3050682261,0.1171846847,0.1818181818,-0.006007553,0.0324094734,-0.0169172932,0.1584740712,-0.0234750165,0.0340127999,-0.0169146956
-0.2123185457,-0.0311019105,-0.0454545455,0.0087862836,0.022970262,-0.0387811634,-0.1089703351,-0.0016586869,-0.0065175042,-0.0387136165
0.0432559425,-0.0602661133,-0.0909090909,-0.001889213,-0.1252558706,-0.2,0.0242987021,0.0004667427,-0.0085887407,-0.1999772603
0.1292854192,0.0572381302,0,-0.0074566536,-0.2453219457,0.015037594,0.0678651332,0.0057193394,0.0359186896,0.0148214879
-0.2557189542,0.0534749497,0.303030303,0.0100842682,-0.2623215762,0.014619883,-0.1401776955,-0.00584151,-0.0265631239,0.0147318076
0.1743247006,-0.0366723727,-0.0909090909,-0.0075964523,-0.3859149229,-0.0183066362,0.121887126,0.0045368317,-0.0034208276,-0.018315052
-0.2146776406,0.0189498745,0.0909090909,0.0058942725,-0.1922931002,-0.0245614035,-0.1113345825,-0.0112159962,0.0215512137,-0.0245487751
0,-0.0485355396,-0.0606060606,0.0031681584,0.1256299287,-0.0789473684,-7.97739870168665E-17,0.0192795382,-0.0045188029,-0.0788338519
-0.0437456324,0.0128901524,0,0,0.0229984589,0.1842105263,-0.0323852291,0.0051688074,0.0015963862,0.1842139286
0.0439113356,0.0103003773,0.0454545455,0.004175299,-0.6878462761,0.0029239766,0.0587380412,-0.0002904511,-0.0099871478,0.002941959
0.2624737945,0.1387605695,0.1090909091,-0.0116142872,0.1648934347,-0.0110803324,0.2256029785,-0.0101834314,-0.2084229223,-0.0110388706
0.0855541889,0.0410635251,0,-0.0038542703,0.7269849978,-0.0385964912,0.0343689169,0.0457500779,-0.0008267729,-0.0385863386
-0.0849274183,-0.0993080618,-0.0909090909,0.0038427528,0.8014079848,-0.1315789474,-0.0674903483,0.0007669665,-0.0048688194,-0.131396337
-0.1283312833,-0.0442895231,0.0454545455,-0.0019180223,-0.7442661185,0.1052631579,-0.0996170054,-0.0037839645,-0.0172912144,0.1053997408
-0.1297678275,0.001805171,0,0.005891696,-0.3819055375,0.0029239766,-0.098358983,-0.0107500021,0.0089015883,0.002941959
0.0437456324,0.1686797124,0,-0.006354374,0.6809549182,-0.0166204986,0.0642233748,0.0139556869,0.0010775607,-0.0165510236
-0.1307435255,-0.0150520008,-0.0363636364,0.0102448896,0.4659937128,-0.0728744939,-0.108548387,0.0121392016,-0.0004772413,-0.0728210746
0.3085480918,0.1870132363,0.2727272727,-0.0062568349,-0.3008068316,0.0736842105,0.3958454929,-0.0072052951,-0.0243202068,0.0733790921
0.343484225,-0.0762921036,-0.0363636364,-0.0118843522,0.0818160084,-0.0263157895,0.1159581391,-0.0929396274,0.004016301,-0.0264278614
0.0416999734,-0.0640167413,-0.0909090909,-0.0043495106,0.5214568105,-0.1228070175,0.0087143164,0.0054886096,-0.0037904145,-0.1223284842
-0.0415505111,0.0257029132,0.0454545455,0.002037668,0.411739191,0.1118421053,-0.0296228672,0.0007815843,-0.0035754227,0.1113125971
0,0.0329733323,0.0727272727,-0.005038095,-0.0881231066,0.0526315789,0,-0.0001286139,-0.0056157303,0.0523884604
0.0416999734,-0.0552568839,-0.0519480519,-0.0052242409,0.2031068701,0.0105263158,0.0172293346,-0.0001030298,0.0021587803,0.0103311011
-0.0831010222,0.0075667801,-0.0363636364,0,0.2304733362,-0.0096491228,-0.0859661362,-0.0015630197,-0.0346358792,-0.0097814563
0,0.048403441,0.0454545455,0.0070677817,0.4031879706,-0.0171858217,5.53749225138269E-17,-0.0015620722,-0.0161634103,-0.0173244611
-0.1255515443,-0.0081464171,0.0727272727,0.0045943617,-0.4431500777,-0.0255183413,-0.1408594174,-0.0037754985,-0.0538780343,-0.0255730476
0.1269261963,-0.0070431822,-0.025974026,-0.0033294093,-0.3983396192,-0.0495356037,0.1767241241,-0.0002424897,-0.0083810276,-0.0495046488
-0.0418505148,-0.0195223052,-0.0606060606,-0.0046012489,-0.3536403537,-0.6315789474,-0.047862254,-0.0020133081,0.0100059207,-0.6297332352
0,-0.043196026,0,0.0036949859,0.0712855764,0,-6.40492183587686E-17,-0.0019547524,-0.0153470764,3.79516863714958E-05
0.3360171766,0.1258261286,0.1818181818,-0.0118933954,0.0915163581,-0.043062201,0.2430677292,0.0164958663,0.0484902309,-0.0430389064
-0.122456964,-0.0489122922,-0.0454545455,-0.0019458607,0.0715868063,-0.2894736842,-0.0974768518,0.0001982774,-0.0065341446,-0.2889459016
0.0825095558,0.0032100392,0.0303030303,-0.0071686559,0.0562695146,0.0409356725,0.0415824191,0.0011230937,-0.0016503182,0.0407292724
-0.2457793483,0.0261270846,0,0.0085977606,-0.1288712438,0.0131578947,-0.1669857542,-0.0040535072,-0.0195920125,0.0131927674
0.0837010295,-0.0148458987,-0.1038961039,-0.0104438705,0.3831294119,0.0105263158,0.0778566448,-0.0021369873,0.0126380574,0.0104710829
-0.3324040887,0.0585357482,0.3636363636,0.011480217,0.4330670491,-0.0438596491,-0.1838980575,-0.0158126697,0.0060777051,-0.0437994565
0.2994396611,0.0280020037,0.0404040404,0.0022259921,-0.1174048316,-0.1315789474,0.3133340192,-0.0045381198,-0.0117865906,-0.1313417488
0.0833999467,-0.0429872274,-0.0495867769,-0.0089303589,-0.1685843973,0.0789473684,0.0423454238,-0.0144198097,0.0123280248,0.0787314888
-0.0828042328,-0.0973297163,-0.1136363636,0.0021019059,-0.1407580463,0,-0.0505909608,-0.0016505781,0.0061647281,-3.77338080141366E-05
-0.2084998668,0.1261639717,0.2424242424,0.0044045093,0.4742075508,0.0315789474,-0.1181848302,-0.0408010357,-0.0269158272,0.0316398956
-0.2547822548,0.1015359632,0.1038961039,-0.003800116,0.122598116,-0.0197368421,-0.128584881,0.0178907085,0.0112297512,-0.0195163633
0.0868358996,-0.0929978941,-0.1157024793,0,0.1633375911,0.0210526316,0.1281558764,0.0012922109,-0.0062318589,0.0213534702
0.172380559,0.0342852508,0.1363636364,-0.0068048596,-0.1928351928,0.0100250627,0.1795944629,-0.0022506616,-0.0092525341,0.0102436734
-0.2123185457,0.0117985332,0,0.0076050596,0.2207947836,0.0231578947,-0.1132736489,0.0017892611,0.0047365305,0.02338518
-0.086511885,-0.0254098554,-0.0779220779,0.0087493504,0.4218444991,0.0014619883,-0.0505243433,0.001602914,0.0408338787,0.0017186204
0,0.0835376745,0.1363636364,0.0117816461,-0.1208597858,-0.0042674253,0,0.0002172358,-0.0022151944,-0.004174524
0.1307435255,-0.0680840441,-0.025974026,-0.002334937,-0.3118623146,-0.0139318885,0.1961891812,-0.0020241047,-0.0025941276,-0.0137903315
-0.1292854192,0.0630882318,0,0.0063089469,-0.2704248612,0,-0.0943327947,0.0001567117,0.0134695086,0.0002731536
-0.0871623503,-0.0255776319,-0.0303030303,0.0047040594,0.0436025274,-0.0126315789,-0.0673083264,0.0009536066,0.0107756069,-0.012411014
0.1317340067,-0.0169746464,0.0363636364,0,-0.6788907881,-0.0221606648,0.2157381762,-0.0019260241,-0.0098776396,-0.0220715337
0.0868358996,-0.0607046566,-0.1212121212,-0.0047304724,-0.5375023053,-0.019138756,0.0823620557,-0.0034867424,-0.0718373791,-0.0191457487
0.3016659782,0.4546562639,0.7272727273,-0.0065907358,0.3689410694,-0.0526315789,0.1570521841,-0.0132409184,0.0120433253,-0.0525820615
-0.0420021471,-0.069486874,-0.0545454545,-0.0047449047,0.5384322159,-0.1203007519,-0.0309748977,0.0102322247,-0.0057839655,-0.1197848557
0.0421548822,-0.0168482297,0.025974026,-0.0026176683,0.0922046974,0.0526315789,0.0171588257,0.0031603332,-0.0011755701,0.0522697701
0.2100107354,0.0784592656,0,-0.0075141513,0.1855429577,0.0213815789,0.0646721918,0.0048895063,0.0104893398,0.0209520299
-0.0412547779,-0.0853867051,-0.0909090909,0,0.7952824798,0.0093567251,-0.034993155,0.0006503567,-0.0038045358,0.009029516
0.1242063492,0.0207311627,-0.0454545455,-0.0098107968,0.5538074128,0,0.0364427254,0.0012837251,0.000221985,-0.000268962
-0.1638528988,0.09652916,0.0606060606,0.0158828498,0.2706805812,-0.0049652433,-0.1251555949,-0.0016187666,-0.006573913,-0.0051856916
-0.2493030665,-0.039630221,0.1818181818,0.0084648765,-0.0325722403,-0.0164473684,-0.1563124152,-0.0047675184,-0.0621669627,-0.0165498179
-0.0424637091,-0.0648602437,-0.1136363636,0.0023477784,0.0259680152,-0.0366826156,-0.0304471322,-0.0075687169,-0.0037041149,-0.0366769275
0.0852396514,0.0238183824,0.0606060606,0,-0.1316883267,-0.0894736842,0.1149885274,-0.0155545377,-0.0057138109,-0.0893230411
0.1269261963,-0.0232038334,0.0454545455,-0.0013683745,-0.1529161964,0.0977443609,0.1179513537,-0.0275524459,-0.0169441394,0.0975981636
-0.376654633,0.4022703309,0.5090909091,0.0056187633,-0.2242451918,0.0394736842,-0.2050041237,-0.0444299356,-0.0573753804,0.0396696732
-0.4325594251,0.0362948528,-0.0669856459,0.0243619826,-0.0646671306,0.0180451128,-0.1770473459,0.0187290619,0.0015907195,0.018491153
0.2246626471,-0.1048034116,-0.0909090909,-0.0047028682,-0.2501947495,0,0.3630878466,0.0005751868,-0.004775382,0.0003470763
0.0440782988,-0.0678769703,0,0.0021033378,-0.4106448652,0.0044792833,0.0394626658,-0.0006211529,-0.0064289637,0.0048118135
-0.1317340067,0.0243474877,-0.0303030303,0.0013997673,0.0894392976,0.0103199174,-0.0683816893,0.0003958115,0.0122879727,0.01082476
0.0444160636,-0.0171956902,0.0727272727,0.0027036193,-0.1089953404,-0.0043140638,0.0557533361,-0.0007208858,-0.0144316163,-0.0040028849
0.0884930732,-0.0823950512,-0.0779220779,0,-0.0896211056,-0.0197368421,0.1026780162,-0.001839487,0.0170141161,-0.019607205
-0.2195566779,0.0578167472,0.0454545455,0.0046006468,-0.2465089986,-0.007518797,-0.1318308533,0.0010390478,-0.0282119597,-0.0072906233
0.3580723581,0.0754701015,0.1090909091,-0.0061927786,-0.3762634811,-0.0228070175,0.3605663511,-0.0040606777,-0.0198132126,-0.0227066438
0,-0.0127801439,-0.0909090909,0,-0.4937691582,-0.0681114551,0,-0.0047294758,0.006757584,-0.0681061101
