"open","high","natr5_ratio","aroonup5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","dx5_ratio","ppo5_ratio","rocr5_ratio"
0.9381933439,0.9450549451,-0.1563797826,0,-0.0476501685,0.0119047619,-0.0170403088,-0.007712148,0.0162678075,0.0394201559
0.9524564184,0.9481946625,-0.1673018169,0,-0.0562913907,0.0462962963,0.0634237694,-0.0125277609,-0.0261970514,0.2084034761
0.9556259905,0.9466248038,-0.0417128802,-0.04,0.6482038932,0.0021929825,-0.0041143281,0.2337563585,0.0873051749,0.0280471001
0.93977813,0.9309262166,-0.1204881094,-0.05,0.0400294334,-0.025,-0.0094154506,0.0248998287,0.0108283507,-0.2496736783
0.93977813,0.9324960754,-0.1164907249,-0.0666666667,0.0179878504,-0.0520833333,-0.0119431212,-0.0022998436,-0.0023541945,-0.2067997814
0.9477020602,0.9466248038,0.1562498541,-0.1,0,0.1666666667,-0.0403158999,-0.0072063697,-0.0057671901,-0.1630165917
0.9366085578,0.9309262166,-0.1411525695,-0.2,0.0031272995,0.0166666667,0.0243767234,9.03066766622889E-18,-0.0154599501,-0.0814465305
0.93977813,0.9403453689,0.0255736358,0.6,-0.0259806419,-0.0476190476,-0.0251267375,0.0223111544,-0.1470782199,0.3328106565
0.9556259905,0.9481946625,-0.1497097668,0.1333333333,-0.048673007,0.2291666667,0.0622512418,0.0052083943,-0.0051635383,0.2278392604
0.9556259905,0.9481946625,-0.0337459641,0,0.3940397351,-0.0256410256,-0.0029308174,-0.0086040887,-0.0104368697,-0.1626477296
0.9445324881,0.9387755102,-0.0443305362,-0.04,0,0,-0.0028775317,-0.006135414,-0.061523169,0
0.9381933439,0.9387755102,-0.1307110303,-0.05,0,0.0083333333,-0.0028317735,0,0.0298732478,0.0207569855
0.9445324881,0.9481946625,0.0694391988,0.1333333333,-0.0479356374,0.0069444444,0.0137126315,0.0135302327,0.0026157372,0.0191000076
0.9572107765,0.9529042386,-0.0629032543,0,0.0859184385,-0.0357142857,0.0041558477,0.0079957887,-0.0054910091,-0.1220926951
0.9683042789,0.9591836735,-0.0526017015,0,0.0367117766,0.3333333333,0.0018224339,0.0057929694,0.0026878963,0.1643501606
0.9587955626,0.956043956,-0.0726361067,-0.04,0.0192328918,-0.0046296296,-0.000812748,-0.0025255224,0.0017173454,-0.0202423495
0.9635499208,0.9654631083,0.0923546619,0.05,-0.0361873226,0.0416666667,0.0056815553,0.0071498252,0.0052097429,0.1622069066
0.9667194929,0.9686028257,-0.0416893407,0,0.1096200767,-0.0234375,9.5230302210035E-05,0.0012159329,-3.80734889887354E-05,-0.1817234607
0.9778129952,0.9717425432,-0.052820623,0,-0.0223378535,0.0238095238,0.0023035017,0.001089089,0.0039585295,0.0799400841
0.9825673534,0.9827315542,0.0160576899,0,-0.0258940397,0.0265151515,0.004513341,0.0025260241,0.0028075952,0.1387999803
0.9809825674,0.9827315542,0.0450238523,0,0.1000735835,-0.0092592593,-0.0010376682,-0.0034573949,0.0015744541,-0.0781743559
0.9793977813,0.9748822606,0.0298217949,-0.04,0.0375275938,-0.0297619048,-0.0023579773,-0.0095674566,-0.0030250163,-0.1992015546
