"high","low","close","low_close_ratio","volume_lastvolume_ratio","sar_ratio","slowk5_ratio","cci5_ratio","ppo5_ratio","rocr5_ratio"
0.7425641026,0.7966480447,0.7427083333,0,-0.0034302468,0.0179160214,-0.0623314626,-0.0052381257,-0.0057310374,-0.4441950156
0.7353846154,0.7899441341,0.7395833333,-0.0614596671,0.0032537803,0,-0.1300482837,0.0052779363,-0.0134464363,-0.2244610581
0.7415384615,0.7966480447,0.7427083333,0,-0.0470990166,0.0430086228,0.084680859,-0.0297921343,-0.040605438,0.1261125717
0.7476923077,0.7955307263,0.7572916667,-0.3001125422,0.0506391482,0.0402212532,0.2770044943,0.018837411,0.0003857631,0.5119376495
0.7753846154,0.8156424581,0.78125,-0.3878787879,0.007358663,0.037627009,0.180850278,0.0023609988,-0.0043393985,0.1564110541
0.7692307692,0.8156424581,0.7760416667,-0.2928615009,-0.0034161628,0.0216091344,-0.1065647294,-0.0082582005,-0.0294831668,0.0141377059
0.7897435897,0.8357541899,0.784375,-0.0965833635,-0.0413820273,0.0338270067,-0.0602640682,0.0051791942,0.0905827881,0.1253811752
0.7753846154,0.8357541899,0.78125,-0.0387878788,0.0071815224,0.0515842504,-0.0345836694,-0.0064631396,0.0124663759,-0.0682908048
0.7774358974,0.8301675978,0.7854166667,-0.2122015915,0.043889506,0.0471665724,0.150516946,-0.0064478891,0.0010814333,-0.1171745679
0.7876923077,0.8357541899,0.7864583333,-0.134858519,0.0163295812,0.043149879,0.1440352494,0.0239244952,-0.0030266096,-0.2454420062
0.7876923077,0.8357541899,0.7895833333,-0.1918925402,0.0208158078,0.039494109,0.1561294315,-0.0021321962,-0.0026438238,0.0894818558
0.7733333333,0.8201117318,0.7645833333,0,0.0062132886,0.0361637931,-0.073905598,-0.0483421045,-0.009588308,-0.350440005
0.7723076923,0.7888268156,0.7458333333,-0.2031488065,0.0799057477,0.4140929294,-0.1218863099,-0.0026793302,-0.0217138565,-0.1722646694
0.7364102564,0.7888268156,0.7416666667,-0.1225740552,-0.0476270729,-0.0139017771,-0.3910522929,-0.0023708207,0.1665619189,-0.0907383232
0.7394871795,0.7899441341,0.7479166667,-0.2228412256,-0.0249818898,-0.0136464265,-0.3735475062,-0.0061692962,0.0106387294,0.059238916
0.7353846154,0.7720670391,0.7239583333,-0.0837148463,0.0772117709,-0.0133953565,-0.4497141451,0.009439345,0.0125206111,-0.2996022496
0.7241025641,0.7787709497,0.7333333333,-0.1446280992,-0.0435401493,-0.0328454874,-0.3751786294,-0.003987028,0.0012236229,0.3848620716
0.7302564103,0.7865921788,0.734375,-0.0206318504,-0.0155979391,-0.0316559992,-0.1646149303,-0.013529192,-0.0020450651,0.2221747445
0.7323076923,0.7910614525,0.7395833333,-0.0409731114,-0.0404751669,-0.030505232,0.0309550216,-0.1167129469,-0.004119684,0.1065104009
0.7323076923,0.7843575419,0.7395833333,-0.1638924456,0.0117863389,-0.0293922378,0.0971332402,0.0011980538,-0.0038110038,-0.0698084447
0.7364102564,0.7932960894,0.7416666667,-0.0408580184,0.0012015081,-0.0283160692,0.1408141581,0.0158614593,-0.0134843257,0.3007652522
0.7374358974,0.7899441341,0.7395833333,-0.0614596671,0.0634962975,-0.0272757812,0.3972068801,-0.0073954552,-0.0204053532,-0.1299606078
0.7353846154,0.7910614525,0.7395833333,-0.0409731114,0.0077842516,-0.0262704327,0.2282221629,-0.0093283582,0.1542916355,-0.0118492821
0.7312820513,0.7575418994,0.7302083333,-0.4772403061,0.0349273881,-0.0252990886,0.3163609971,-0.1343283582,-0.0074748426,-0.1639759882
0.7333333333,0.7810055866,0.7427083333,-0.2856049981,-0.0624383162,-0.0452936755,0.4036118662,-0.0153643547,0.0192953533,0.1430027482
0.7312820513,0.7843575419,0.734375,-0.0618955513,0.0014264894,-0.0428079068,0.3174109756,-0.046641791,-0.0210172714,-0.1169329309
0.7323076923,0.7832402235,0.7364583333,-0.1234409155,0.0029634978,-0.0404464721,0.2554260937,-0.0395083406,0.0866615645,0.0472969936
0.7435897436,0.7877094972,0.753125,-0.3621274991,0.007170292,-0.0382044589,0.214902802,0.1123617791,-0.0140264841,0.1890521952
0.7682051282,0.8122905028,0.7802083333,-0.4272363151,0.1052445562,-0.6012834189,0.1489574761,0.0013029375,-0.364199473,0.4115202415
0.7764102564,0.8379888268,0.7864583333,-0.0963275135,0.0416695364,0.0175149832,0.0900077189,-0.0049518217,0.0137080173,-0.0748030627
0.7958974359,0.8480446927,0.8072916667,-0.3002932551,-0.0046741608,0.0381964072,0.1016720932,-0.0003806484,0.015647013,0.3185965914
0.798974359,0.8592178771,0.8104166667,-0.168263613,-0.0493087289,0.068720885,0.1857282827,-0.0020852581,0.0081302421,0.0086140718
0.8041025641,0.8681564246,0.8145833333,-0.0930016275,-0.0308676431,0.0883448659,0.1667407171,-0.0009416479,0.003409332,-0.1428691081
0.8184615385,0.8748603352,0.8229166667,-0.1288837745,0.1133537043,0.1065474668,0.0866351326,0.0049624445,-0.0006889075,-0.2074893821
0.8123076923,0.8659217877,0.8229166667,-0.2761795167,-0.0358437472,0.1335728765,-0.0181305423,-0.0074729234,-0.0006681431,-0.0663873686
0.8215384615,0.8826815642,0.834375,-0.1997503121,0.0304583563,0.115696198,0.106007829,0.0173814472,-0.0032749747,-0.102264288
0.8317948718,0.8916201117,0.8385416667,-0.1264822134,0.0455981916,0.1220024758,0.0268304923,-0.0004601326,-0.0038517849,0.0093433329
0.8235897436,0.8860335196,0.828125,-0.0365923385,-0.0392412437,0.1363669944,-0.1189959598,-0.0118762221,-0.0048485321,-0.1459725543
0.8287179487,0.8882681564,0.8395833333,-0.1985111663,-0.0124132014,0.1127103744,-0.042976546,0.0304035379,-0.0035071527,0.0298210234
0.8348717949,0.8938547486,0.8458333333,-0.2149574563,0.0033409394,0.0934176678,-0.0149678878,0.0077008964,-0.0022639464,0.062186679
0.8328205128,0.8960893855,0.8375,-0.0361827227,0.0327299957,0.0931957182,-0.1462811872,-0.0086653292,-0.0043158671,-0.1958932209
0.8297435897,0.8893854749,0.8385416667,-0.1626199887,-0.0212659587,0.0755782377,-0.1385162832,-0.0168576759,-0.0064661075,-0.0311706861
0.84,0.8938547486,0.84375,-0.1795735129,0.0113123856,0.0614190833,-0.1194321595,-0.2583237658,0.0006438543,0.157617809
0.8420512821,0.8994413408,0.8552083333,-0.2834680545,-0.0149980828,0.0661665409,0.0612089964,0.0074978879,-0.0004169574,-0.0021112761
0.8717948718,0.9240223464,0.8802083333,-0.3098440022,0.1165979375,0.0567303496,0.0404324589,0.0017415648,0.0036966982,0.1806703936
0.8687179487,0.9150837989,0.8635416667,-0.1754578353,-0.040346709,0.0580222745,-0.1377049601,-0.0094403375,0.0063342418,-0.0766294737
0.8564102564,0.9184357542,0.865625,-0.1575319987,-0.0257104263,0.093497006,-0.0795079721,-0.0085055818,0.0056132958,0.0097514276
0.8769230769,0.9407821229,0.8854166667,-0.1368983957,-0.0197572815,0.0513684752,0.1321800521,0.0507978838,0.0040681312,0.1382548273
0.8974358974,0.930726257,0.878125,-0.1725439448,0.1253482357,0.0306329222,-0.1584003426,-0.0034625057,0.0008795697,-0.1797997177
0.8964102564,0.9363128492,0.9083333333,-0.5671392827,-0.0261787996,0.107841302,0.0115627181,0.0026322888,-0.0009252423,0.0419484398
0.8943589744,0.9508379888,0.9052083333,-0.3012867455,-0.0095077721,0.0040176737,0.1404331887,-0.0014155922,0.0018988733,0.131935644
