"volume_ma5_ratio","volume_ma60_ratio","obv_ratio","atr5_ratio","adosc5_ratio","ema5_ratio","macd5_ratio","cmo5_ratio","ppo5_ratio","rocr5_ratio"
0.0868302873,0.4130889046,-0.0020415364,0.4152011833,-0.0320329573,0.7646787273,-0.0070876169,-0.0064354143,-0.0024330602,0.7281053122
-0.0383120893,0.3103549331,-0.001982233,-0.1064060018,-0.1129383882,0.6792086538,-0.0102428274,0.0018447418,-0.0048167596,0.1834583119
-0.3466321078,-0.1509501635,0.0007684255,-0.2296937049,0.0335425222,0.329036655,-0.0145276958,-0.0016946652,-0.0157992159,0.3899260215
-0.2749565117,-0.1182540185,-0.000836142,-0.0905002792,0.0171429904,0.4788812706,-0.6613502979,0.0037288842,-0.0619961069,0.2018375979
-0.2571711392,-0.1413945523,0.0007973396,-0.2016710682,-0.002352669,0.2584267002,0.0055796485,-0.0009315591,0.0329376247,-0.0322515608
0.3507321086,0.2957144549,0.0020914249,0.2886682362,-0.0245411924,-0.5707193701,-0.0161192968,-0.0100798889,-0.0033108196,-1
0.0508412269,0.0053422514,-0.0011308306,-0.1862415621,-0.0513341703,-0.3276267041,0.0918080234,-0.0009147179,-0.0068019203,-0.0640095644
-0.2138374185,-0.1660637637,0.0006940137,-0.0753483178,0.1164579248,-0.3365544431,0.0107604331,0.001541397,-0.015375843,-0.0027619072
0.078500599,0.0579608081,-0.0013206526,0.1962549079,-0.0107886412,0.2141633978,-0.0076560078,-0.0064950195,-0.0444605947,0.1070165426
-0.2118169889,-0.1389995675,0.0007954483,-0.09228116,-0.012700824,-0.0331647716,-0.0011328442,-0.0078396804,0.057070878,-0.0676063957
-0.131200426,-0.1502367652,-0.0007357108,-0.1225331361,-0.0015522252,0.0655657233,-0.0060902792,-0.0076344109,-0.0071676954,0.4959204722
-0.0633536213,-0.1381813332,-0.0007967747,-0.1290038257,-0.0475668303,0.1895832412,-0.0192393875,0.0239362962,-0.0127424007,0.0492248286
0.0263839117,-0.0717886992,-0.0010265759,-0.1367696896,0.1475357825,0.2421018124,0.0705024406,0.003143121,-0.0325131276,0.1350877697
-0.0804437641,-0.1695098917,0.0007565965,-0.034548495,-0.0108548062,0.1316183071,0.0042774275,-0.0008692819,0.0496901618,-0.2649255046
-0.0686855141,-0.1628719033,-0.0007311477,-0.1133880016,-0.0280789562,0.1739430259,0.0044882858,0.0021731389,0.0273003698,0.1506899381
-0.1003942464,-0.1793390927,0.0006862815,-0.0361150251,-0.1636119705,-0.056730305,-0.0045252945,-0.0048519036,-0.0020332587,-0.1475768084
0.430707636,0.1603115741,0.0016838452,0.3101160268,0.1354205828,-0.4402740965,-0.0228775973,-0.2456790648,-0.0115291469,-0.3119085815
0.7856866244,0.6865783319,0.0031158788,0.2652564665,0.0540510523,-0.790009146,0.064454807,0.0028824958,-0.0448043825,-0.3523890415
-0.1445316107,-0.0340592641,-0.0009364351,-0.2072986768,0.0038884726,-0.3884456681,0.0033843804,-0.0015827604,0.0339676859,0.1046143037
-0.1908009036,-0.0580180122,-0.0009133935,-0.108730245,-0.0062855593,-0.0525074274,-0.0020468598,-0.0029366683,0.0164644898,0.0722014733
-0.3099777105,-0.1575552043,0,-0.1754174632,-0.0055784346,-0.0350465257,-0.0021982383,1.01258337526794E-18,0.0061525247,0.0992113442
-0.2291641676,-0.1192704631,0.0007818853,-0.0022349216,-0.0003679545,-0.2624258615,0.0018019969,0.0056211298,-7.0296929977556E-05,0.0967590173
0.1387895444,0.0033367373,-0.0010870653,0.0594204729,0.0060610015,-0.1158768306,-0.000944588,-0.0012775158,-0.0082981816,0.3353607249
0.345903525,0.1878430694,-0.0016681897,0.4315098538,-0.0148206163,0.7362580176,-0.0146752196,-0.0124131755,-0.0176485497,0.377441454
-0.0241245692,-0.0391639478,0.0010975452,0.015441474,-0.0022359288,0.1270751771,-0.1305907557,-0.0039383497,-0.0366576274,-0.3150516068
-0.2543892708,-0.1901419982,0.0006092209,-0.1307384257,-0.0088151827,-0.0042043089,-0.0032600476,-0.0042069697,0.056513221,-0.0505938329
-0.1607559488,-0.1315291714,-0.0007535695,-0.1638636137,-0.0047838323,0.0858838617,0.0115916879,0.0282253577,0.0206064971,0.1913834922
-0.0907116993,-0.1077204753,0.000850563,-0.0031246397,0.0135262066,-0.2084007342,-0.0222846633,-0.0135997076,-6.00046185973643E-05,-0.1859262757
-0.063838724,-0.1545285504,-0.0006900613,-0.1998768257,-0.0008254789,-0.0506570726,0.0068801791,-0.0031776637,-0.0172803905,-0.3959026024
0.3432320658,0.0688641869,-0.0013631362,0.3898576165,-0.0240138419,0.5300837795,-0.0713355121,-0.037776218,0.0048232184,0.5344313612
0.6187583387,0.4618420559,-0.0027335202,0.2052743138,-0.0737193731,0.8184456965,0.0256441283,0.0025245659,0.0264458841,0.3155017389
-0.1660057224,-0.0857271975,0.0011117996,-0.0401595585,0.017119399,0.3053648805,0.0012507016,-0.0021871883,0.0017809151,-0.1773801361
-0.1232360635,-0.0434490046,-0.0012039727,-0.008827331,-0.0239837207,0.4023655634,0.0021390327,0.0016014028,0.0138924684,0.2699330641
-0.1814198352,-0.0779542006,0.0011515916,-0.1277483979,-0.0867452464,0.0674468019,-0.001994977,-0.0026378808,0.0130478634,-0.162345104
-0.3105559095,-0.2072498202,-0.0006621065,-0.1098002173,0.0114084403,0.101490019,-0.0014640816,0.0010790236,-0.0006800117,-0.2811586643
-0.0829041146,-0.1555252814,0.0008619013,-0.0107009101,0.0309115522,-0.1301202723,-0.0044919228,-0.0048517948,-0.0088363873,-0.3645762591
0.0700204336,-0.0794420011,-0.0010888509,-0.0917897959,-0.0110289674,0.0828901123,-0.0010959336,0.1304134904,-0.0061215074,0.229061748
0.5904917183,0.3129099598,-0.0025723807,0.4479242139,0.0614076009,0.4225696406,0.0061997879,0.0074657573,-0.0120941357,0.0954456095
0.0736824496,0.0229378413,-0.0017267971,0.0300817129,0.0016558306,0.3070443475,0.0019058566,0.0001922674,-0.0094129951,0.1292885653
-0.1439181059,-0.0996762842,0.0013275842,-0.0918303355,0.0134254117,0.0920764622,-0.0014760827,-0.0020487558,-0.0013232315,-0.0949562682
-0.2068394618,-0.13840552,-0.0010879968,0.0442474005,-0.0031612058,0.1167462613,-0.0009689677,0.0010270248,0.0403556826,0.146542356
-0.2879408535,-0.2063948879,-0.0008446443,-0.2028560458,-0.0031422946,0.1052978031,-0.0010262948,0.0004715195,0.0058641485,-0.0813253448
0.0488003335,-0.0703404559,0.0014806427,-0.0222790131,-0.000678882,-0.2060283894,-0.0062646827,-0.0068559705,-0.0067821179,-0.3587882544
-0.2046590914,-0.235285908,-0.0006920539,-0.2070477852,0.0020552043,-0.1102594426,-0.0059741984,-0.0018345469,-0.0137725491,0.0002985982
0.2735811743,0.0034939256,-0.0017179322,0.0871489848,-0.0156027787,0.2877672086,0.0114484531,-0.0267460072,-0.0025442424,0.2734214052
-0.0558550373,-0.1550436754,0.001126781,-0.1076764532,-0.0220577439,0.1629808335,0.0018549278,-0.0007119027,-0.0192897093,-0.0471801531
0.1613492106,-0.0013566151,0.0017294492,0.0935703384,0.0211422484,-0.2770730118,-0.0096447376,-0.0084225089,-0.1485850856,-0.2348464831
-0.1446646401,-0.1846794976,-0.0008767371,-0.0755221052,-0.0021157302,0.0356956997,-0.0002027669,-0.0062969652,-0.0210540336,0.2918500864
0.8860112467,0.8313044793,0.005356762,0.6409365953,0.1119008497,-0.8341316885,-0.0622216754,-0.0487109982,0.124839952,-0.5065772597
0.2366143516,0.3867488441,0.0028348613,-0.0737497056,0.0362808989,-0.6795925995,0.012292071,0.0003990308,0.0680468962,-0.2691417713
-0.1794671852,0.0101323078,0.0013314147,-0.1324400338,0.0129057021,-0.5460638154,0.0037962579,0.0002981642,0.0180721682,-0.0353144178
-0.332439947,-0.1551923216,-0.0007541608,-0.2161081279,0.0029205729,-0.339586074,0.0004742402,-0.0003784255,0.0040981028,0.2428546384
-0.2190456138,-0.0243136086,0.0011945675,0.1217751531,0.0017096999,-0.4035084098,0.0009293291,0.0007860511,0.0095507774,-0.2275064602
0.3941197147,0.4905271294,0.0027351041,0.3080679538,0.0070590827,-0.743429197,0.0035464277,0.0011994285,0.000667648,0.2288821601
0.4585228567,0.6378181783,0.002885263,0.0951454925,-0.0034475342,-0.774092005,0.0024645182,0.0003460197,-0.0008469408,-0.0938309173
-0.0159806688,0.2032804814,0.0015024943,-0.1483347216,-0.0044367107,-0.5557817354,0.0004216668,3.48486757203059E-05,-0.0014717809,0.0329285148
-0.1105980558,0.1508395313,-0.0012981256,0.0389679164,-0.0113062213,0.1504575779,-0.0035275947,-0.0041192976,-0.0019115539,0.2918539127
-0.2466001134,0.0058296857,0.0009962731,-0.0634899582,-0.0047320196,-0.0541257498,-0.0023275451,0.0036696737,-0.0045544358,0.014559482
-0.2365960051,-0.0414428828,-0.0008351823,-0.1743140413,-0.0021708408,-0.0052720791,-0.0026683481,-0.0007403208,-0.006251073,0.30351804
-0.1483919263,-0.0542089664,-0.0008289209,-0.1002351028,-0.0023570263,0.2125021149,-0.0048919563,-0.0058957572,-0.0142822271,0.2898811513
