"volume","high_close_ratio","close_lastclose_ratio","close_ma5_ratio","ad_ratio","b_upper5_ratio","b_lower5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio"
0.0858698652,0.1508815373,0.0211347274,0.0774976465,0.1580102884,-0.1044169582,0.0408731674,0.0123503002,-5.25294489952952E-13,0.0129903456
0.0878981291,0.1017314676,0.1195876338,0.1889850348,-0.018916291,0.0736296997,-0.0369265854,0.0045288411,5.17409131038538E-14,0.0163111547
0.1938494836,0.0719818284,0.1865543047,0.2708880139,-0.1339568836,0.2520036727,0.0674016037,0.0029841487,1.20235332569917E-14,0.0033864876
0.16162258,0.1969029236,0.0402581773,0.2047439763,0.2476917257,0.1335377498,0.178441238,3.94332448420532E-06,-8.85527788953999E-15,0.0003216999
0.2107712393,0.0432202017,0.2336904345,0.3242348242,-0.2758720623,0.3129846992,0.0337432919,0.0012827484,2.02887998708983E-16,0.0012447474
0.1868735498,0.3230366952,-0.2450702849,-0.0112010692,0.2770989469,-0.0534862251,0.2735155658,-0.0028361105,-6.24654452916007E-14,-0.0034045344
0.1018599371,0.097567966,0.0737051438,0.0083812129,0.0836648339,-0.0516450859,0.2378735888,-0.0026427764,-3.93033112234881E-14,0.0027935706
0.077831851,0.1157075763,-0.0199200201,-0.0277652374,0.0176221582,-0.0038326583,0.0510654078,-0.0060940462,-3.83759674590592E-13,-0.0007979916
0.0508075632,0.0531837277,0.0199799796,-0.0179823962,-0.0068618079,0.0018486781,0.0318578774,0.0059905076,-2.46226506426153E-14,0.0007698508
0.0607604021,0.1343608963,-0.0596878862,-0.0307496716,0.0806696817,-0.2258437452,0.0982434431,0.0054033944,1.74695072382624E-13,-0.0031851688
0.0591412604,0.0355948705,0.040128706,-1.51832058429014E-05,-0.027628872,-0.0097461855,0.043893948,-0.000525911,-4.26681108792866E-14,0.0074113197
0.0773529499,0.0711447413,0.0132475951,0.0152925904,-0.0146423491,-0.0051835873,0.0013095116,-0.0008403602,-1.42863613313162E-13,0.0009607767
0.0707430627,0.0889551255,0,0.0125085061,0.081397417,0.0063320217,0.0015522808,-0.0005070239,1.66626819603574E-13,0
0.0527539637,0.1164070801,-0.0530293287,-0.0307042502,0.0767340439,-0.0094966443,-0.0273835311,0.0019553115,-1.45286124413121E-13,-0.0054760479
0.0535679201,0.0178280421,0.0468289618,0.0083980347,-0.0537738362,0.00055342,0.0286517474,-0.0014791384,-3.18893008377903E-14,-0.0147592798
0.1313083569,0.1227866128,0.0929294913,0.0848038182,-0.0076730904,0.1036084646,-0.0479302744,-0.0053573862,-3.95894405649538E-13,0.0082890213
0.3168231688,0,0.3011138451,0.318670085,-0.5364405029,0.4500065408,-0.2399657485,0.067774291,3.72036380578711E-15,0.0034407853
0.1175266485,0.2132003088,-0.1064996509,0.1429983667,0.1733164267,0.1038151124,0.0595969179,-0.0013024494,-3.87660990435377E-14,-0.0020519798
0.0792853167,0.1366350692,-0.0126888082,0.063430597,0.0865270117,0.0148568267,0.1870637425,-0.0022890703,-4.17279120017839E-14,-0.0004496733
0.066207049,0.0598692383,-0.0127131104,-0.0026413474,0.0472682505,-0.0542183913,0.2251528556,-0.0041408235,-7.48877876434677E-14,-0.0005888279
0.1056465106,0.2090606486,-0.1149855725,-0.1323850844,0.1875705717,-0.0299990912,0.0620894743,-0.1214275967,-1.68297327678686E-12,-0.0053184148
0.0599367001,0.0603923183,0.058506275,-0.0322620759,-0.0128981274,-0.1325161343,0.0242987395,-0.000294916,-3.98928848472012E-14,-0.0091131219
0.0977542912,0.1025693775,0.0708438972,0.0443866196,0.0337188648,-0.0105880436,0.0034138105,-0.0024023721,-1.49226140745846E-13,0.0083069883
0.0976654109,0.2794410091,-0.146582858,-0.0797282641,0.1473470906,-0.0167990232,-0.0750321842,0.0072353017,-1.99338243142769E-13,-0.0067768816
0.051018459,0.0433361894,0.0390716169,-0.0189968882,-0.0196780769,-0.0487919391,-0.0080689977,-0.0006053996,5.31845294945429E-14,-0.0030412879
0.0443740722,0.069560352,-0.0194214898,-0.039308491,-0.0001010678,0,0,-0.0004170992,-9.87072103202567E-15,0.005275894
0.0681573477,0,0.1234581565,0.0757367668,-0.1139462773,0.0490915585,-0.0124817368,-0.0044335493,-1.32699854316563E-13,-0.0147103864
0.0569128209,0.0770082515,-0.0126558256,0.066398507,0.0192628458,-0.0186889735,0.008209419,0.1002195294,1.46325559572029E-13,-0.0008432723
0.1451879117,0,0.1725734276,0.1837962858,-0.2469979471,0.2112433543,-0.0380769031,0.0232084878,2.20195278068121E-14,0.0069648888
0.125382809,0.1162526992,0.0373477045,0.1595031547,0.0083852834,0.1389426626,0.0376352709,0.000822847,-1.43766125550241E-14,0.0003950142
0.3947937977,0.0631297581,0.3347888954,0.37293572,-0.4864450281,0.4238061234,-0.0532136046,0.0053263788,2.01821196960288E-14,0.0017252648
0.1647020093,0.1181564286,0.0294415204,0.2833417375,0.0359078991,0.2323342516,0.0949581482,-0.0001611619,-2.54857705604119E-14,6.27789042106168E-05
0.1188994203,0.0393568946,0,0.1626422205,-0.120627135,0.051296363,0.3132428999,-0.0013872532,-3.52827957683767E-14,-1.48998976103978E-18
0.1027822651,0.1343552834,-0.0293115119,0.0549266244,0.2037100917,-0.0162191301,0.2563775815,-0.0026797184,-2.50399924387893E-15,-0.0007820302
0.1730396047,0.0389604965,0.0826033923,0.056708696,-0.2706963736,-0.1824806543,0.4709177886,-0.0020736221,-1.09590837388731E-13,0.0004942413
0.2770007032,0.4475163422,-0.0350479553,0.0098000796,0.5568022078,0.0046709645,0.0244728952,-0.0080853609,-1.26428761737761E-12,-0.0010747059
0.1408368704,0.171664371,0.0352339916,0.0356578607,0.057048174,0.0291991944,0.0019417288,0.003403119,-6.48319629192128E-14,0.0004136952
0.1493917937,0.3370179472,-0.1806366538,-0.1282314237,0.2123273303,0.0689171388,-0.1548920926,0.0100234778,-2.53847865511607E-13,-0.0048768198
0.1011354458,0.2112140001,-0.0779310001,-0.1723618377,0.1394484611,0.0580314564,-0.1758108806,0.0016420284,2.9959742271505E-14,0.0077323682
0.0800049352,0.0322100335,0.0908768617,-0.0436707611,-0.0981195701,-0.0753781648,-0.0257236354,-0.0011503049,-2.97217857069485E-14,-0.004315097
0.0664643341,0.2098863782,-0.0537506057,-0.0601610143,0.1147955447,-0.0766891416,-0.0363142695,-0.0004601809,-5.34856220297577E-14,-0.110977276
0.0583898711,0.1140005794,-0.048277838,-0.053116834,0.0396009571,-0.2235219104,0.0724880557,-0.0001940209,2.03400864276098E-13,0.0036727352
0.1480981566,0.2686229548,-0.2064359301,-0.207858151,0.1933531002,0.0997321541,-0.2937738881,0.0022557279,5.75461842638273E-14,0.0053301466
0.0719864122,0.1845512519,0.0062143122,-0.1579033172,0.106736439,0.006141073,-0.1437680544,-0.0005547848,-4.34459284383386E-14,-0.0001748994
0.0755342174,0.0666812756,0.0500773502,-0.0530781479,8.1848391110455E-05,-0.1382371506,-0.0091937852,-0.0018607472,-3.29151980731114E-14,-0.0015772391
0.0745417207,0,0.1678640476,0.129527773,-0.1186536653,-0.0391571857,0.0201574378,-0.00563942,-1.80067238343525E-13,-0.005971134
0.0550654362,0.0978689554,-0.024304277,0.1062015877,0.0298616343,-0.0113874155,0.0047741951,0.0049179959,8.58810226113964E-14,-0.0021537022
0.045451356,0.0649777369,0.0304257049,0.0900550922,0.0245593396,0.0587936053,0.0809087815,0.0012195579,-1.76802339758843E-14,0.005115218
0.0966044998,0.1034839357,0.1272180915,0.1502655422,-0.0366487474,0.1111684849,0.1002379594,0.0028988049,4.55258016094354E-14,0.0075963696
