"volume","volume_lastvolume_ratio","volume_ma5_ratio","close_ma15_ratio","close_ma30_ratio","ad_ratio","b_upper5_ratio","b_middle5_ratio","ma5_ratio","slowd5_ratio"
0.1614683064,-0.0453892804,-0.1998427535,0.0485788226,0.0903444856,-0.0042119204,0.0034262975,-0.0514910672,-0.0514910672,0.0545642501
1,1,0.8663244652,-0.12165265,-0.0785126942,0.1346248483,0.0535181017,-0.2836054422,-0.2836054422,0.1177123247
0.1438204569,-0.1648665899,-0.3860754693,-0.0365311335,-0.0117697536,0,-0.0237180414,-0.1299324625,-0.1299324625,0.1793158732
0.1921796675,0.0647479984,-0.2719889595,-0.0417195694,-0.0195924643,0.0129555798,-0.1820794685,-0.2347233691,-0.2347233691,0.1750135176
0.1441463226,-0.048128597,-0.3486200911,-0.1340773149,-0.1167144642,0.0053200471,-0.0553079689,-0.210008658,-0.210008658,0.1215974953
0.4067222391,0.350767325,0.048331848,-0.3771181483,-0.3465208532,0.0153172854,0.0450336426,-0.4752847737,-0.4752847737,0.0115302386
0.1300915127,-0.130969541,-0.2239712543,-0.313051607,-0.29349483,0.0034572646,-0.009777496,-0.2408133009,-0.2408133009,-0.1252888845
0.1748176911,0.0662034521,-0.1031092421,-0.3259284135,-0.310313668,0.002264955,-0.1347384663,-0.350177683,-0.350177683,-0.224277209
0.146621791,-0.0310576357,-0.1669550143,-0.2811225751,-0.2792289872,0.0024910773,-0.2620830013,-0.3264075789,-0.3264075789,-0.3834204424
0.1486106827,0.0026120436,-0.1628322567,-0.2079379862,-0.2252030336,0,-0.239500663,-0.1646931016,-0.1646931016,-0.3924281147
0.2100485873,0.0796075346,0.1841359811,-0.007064336,-0.0535970288,-0.0105121316,0.2923327768,0.3033213285,0.3033213285,-0.4004863707
0.2548491964,0.0410706864,0.2255345316,-0.1863087807,-0.2328858212,0.0098792616,0.0009059219,0.0273448773,0.0273448773,-0.3803944537
0.2253635347,-0.0222789859,0.0891211537,-0.0836639098,-0.1541297826,0,0.0120014575,0.1366208861,0.1366208861,-0.356163363
0.1546928919,-0.0603841842,-0.1376714215,-0.1037330408,-0.1915836713,0.0026076709,-0.0097717147,0.0544422897,0.0544422897,-0.3344000806
0.2333505771,0.0979126062,0.0509760407,-0.1796548957,-0.272175733,0.0115772546,0.0321662512,-0.1087205967,-0.1087205967,-0.2509113252
0.1902907574,-0.0355329394,-0.0628739557,-0.1732918361,-0.280800559,0.0043476998,-0.1900127748,-0.3271471731,-0.3271471731,-0.1260829837
0.1701315201,-0.0203997201,-0.0786044575,-0.1267087425,-0.2431568653,-0.0015063425,-0.013901122,-0.0825348432,-0.0825348432,0.0329302066
0.1349446899,-0.0398256774,-0.1468087632,-0.1526657687,-0.2757266769,0.0060413884,-0.1251221068,-0.2205973298,-0.2205973298,0.1242917618
0.4380142337,0.4324683246,0.5450894808,0.2073465766,0.0359643492,-0.0158821768,0.2935568843,0.1942095824,0.1942095824,0.3439966413
0.4168718448,-0.0092946629,0.3378802836,0.2308744928,0.0639761855,0.0055213742,0.2181608632,0.3311489734,0.3311489734,0.3364478195
0.1667032648,-0.1155574653,-0.2310127991,0.2590436106,0.1095185548,-0.0046666663,0.1616953286,0.4101731602,0.4101731602,0.1902908512
0.1672172439,0.0005937029,-0.2289466972,0.1861147021,0.0591340601,0.0026936791,0.0282988968,0.3244515784,0.3244515784,0.1847290132
0.258482599,0.1050975748,-0.0665041091,-0.0361115368,-0.1287361406,0.0122472645,-0.1406890392,0.1607805706,0.1607805706,0.0877379723
0.1891328232,-0.0516632303,-0.1310674313,0.1369142349,0.0407898665,-0.0058686954,0,0,0,0.1261282644
0.1418971086,-0.0480918399,-0.1439862219,0.0485918576,-0.0248184161,0.0012888545,-0.0289368261,-0.1067117165,-0.1067117165,0.1886091931
0.1458056455,0.0053040606,-0.119473714,-0.046874333,-0.1082948838,0.0009370247,-0.0915607247,-0.2675703343,-0.2675703343,0.1995800578
0.2047229049,0.0778101056,0.055251058,-0.1244597169,-0.1640733539,0.0039197745,-0.0803384966,-0.296525481,-0.296525481,0.1640532551
0.1601452176,-0.041929425,-0.030255654,0.0108225841,-0.033028972,-0.0069527714,0.0089334144,0.0543602983,0.0543602983,0.2294558971
0.1359900522,-0.0290444963,-0.0855965707,0.0072114359,-0.0193750967,0,-0.1280605668,-0.1356963838,-0.1356963838,0.0816722235
0.2187480906,0.1171846847,0.1639670082,0.1725118278,0.1542898605,-0.006007553,0.1752758508,0.1362084456,0.1362084456,0.095833715
0.1834164723,-0.0311019105,0.0096759619,0.0215155564,0.0412493843,0.0087862836,0.0263591304,0.1085571071,0.1085571071,0.1014111325
0.1260122666,-0.0602661133,-0.1464502788,0.0322010269,0.0671481611,-0.001889213,-0.0405876223,0.216463197,0.216463197,0.0568830806
0.1634690478,0.0572381302,-0.0077272387,0.0873539061,0.141612909,-0.0074566536,0.0497763414,0.161379604,0.161379604,0.158056225
0.2088651023,0.0534749497,0.0992505442,-0.0642580849,0.0024300845,0.0100842682,0,0,0,0.0658543197
0.169087639,-0.0366723727,-0.0039532145,0.0464316828,0.0996334652,-0.0075964523,-0.0724237631,-0.0803306486,-0.0803306486,0.0447164563
0.1857275267,0.0189498745,0.0549790225,-0.0715934827,-0.0259046644,0.0058942725,0.0230116965,-0.0805098247,-0.0805098247,0.0189740589
0.1389143266,-0.0485355396,-0.1230589538,-0.05916778,-0.0283225818,0.0031681584,-0.0088170266,-0.1075864027,-0.1075864027,0.0267881561
0.1482133487,0.0128901524,-0.0801599254,-0.0860622255,-0.0550060643,0,-0.1305920049,-0.2158160723,-0.2158160723,-0.0721017081
0.1561415131,0.0103003773,-0.0135313104,-0.0484825805,-0.0331529701,0.004175299,-0.0052244575,-0.0271392768,-0.0271392768,-0.0557125062
0.2686581258,0.1387605695,0.3085246158,0.1076583644,0.1066429738,-0.0116142872,0.0415451844,0.0271596976,0.0271596976,-0.0790274384
0.3259493894,0.0410635251,0.3544050314,0.1450129203,0.1534628749,-0.0038542703,0.1621093971,0.2171142141,0.2171142141,-0.0353360415
0.1578497159,-0.0993080618,-0.1573432992,0.0732191921,0.0984408788,0.0038427528,0.0440738249,0.1618620542,0.1618620542,-0.0256534641
0.1215438332,-0.0442895231,-0.2548412804,-0.0107096808,0.0242007293,-0.0019180223,-0.0328900951,0.1074263039,0.1074263039,-0.1476294265
0.1226832522,0.001805171,-0.2389814189,-0.0892695134,-0.0492020071,0.005891696,0,0,0,-0.071098058
0.2301515387,0.1686797124,0.1249062486,-0.0500780197,-0.0298215049,-0.006354374,-0.0241901271,-0.1338844143,-0.1338844143,-0.1219182074
0.2121611598,-0.0150520008,0.1592818455,-0.1217695779,-0.1055315933,0.0102448896,-0.1056990188,-0.2687657341,-0.2687657341,-0.1133597114
0.418210116,0.1870132363,0.554835829,0.0644501868,0.0555161296,-0.0062568349,-0.0342868491,-0.0270781981,-0.0270781981,-0.0225978566
0.2525162942,-0.0762921036,0.0135079626,0.2681416353,0.2319464511,-0.0118843522,0.3261069231,0.270985271,0.270985271,0.1425125036
0.1685673648,-0.0640167413,-0.2127654094,0.2708410031,0.2493554984,-0.0043495106,0.199634848,0.3765524093,0.3765524093,0.2431946683
0.1910676508,0.0257029132,-0.1436400628,0.2294034302,0.2203271608,0.002037668,0.08371797,0.3194268858,0.3194268858,0.2034966573
0.2237853078,0.0329733323,-0.0670057915,0.2056237582,0.2170147692,-0.005038095,-0.1105588027,0.3957811195,0.3957811195,0.1782841609
0.1595682872,-0.0552568839,-0.1233963021,0.2066826233,0.2352289316,-0.0052242409,-0.1548558261,0.2348930896,0.2348930896,0.1859455322
0.1658386098,0.0075667801,-0.054454939,0.1303059278,0.176537574,0,0.0128696376,-0.0259304871,-0.0259304871,0.2421707096
0.2075249796,0.048403441,0.0589086986,0.108855153,0.1716174018,0.0070677817,-0.0162276985,-0.0518982575,-0.0518982575,0.2540841741
0.1987454911,-0.0081464171,0.0248888385,0.0245621928,0.0949178834,0.0045943617,0.0426577874,-0.10394597,-0.10394597,0.2596880059
0.1914760939,-0.0070431822,0.0230416813,0.0964001879,0.1560848617,-0.0033294093,-0.0140303233,-0.0260615438,-0.0260615438,0.2989117577
0.1720637556,-0.0195223052,-0.0500351326,0.0612708536,0.1200271626,-0.0046012489,-0.0594757038,-0.078241123,-0.078241123,0.1953135058
0.1334657039,-0.043196026,-0.1623357016,0.047174152,0.1119406386,0.0036949859,-0.0139119239,-0.0261370298,-0.0261370298,0.0575035691
