"close_lastclose_ratio","volume_ma15_ratio","trsrange_ratio","b_middle5_ratio","ema5_ratio","adx5_ratio","aroonup5_ratio","willi5_ratio","cmo5_ratio","ppo5_ratio"
0.2235605878,-0.1203866409,-0.0892857143,0.1381096756,0.3527800003,-0.3044295792,0,-0.0476501685,0.0224088339,0.0162678075
0.0827192774,-0.0666271649,-0.0324675325,0.2906708047,0.3058724941,-0.381290237,0,-0.0562913907,0.0036698203,-0.0261970514
-0.2743614002,-0.1100125468,0.0595238095,0.3040012871,-0.0378240214,-0.203829475,-0.04,0.6482038932,-0.0181659188,0.0873051749
-0.1115921116,0.0030402542,-0.0446428571,0.1207827575,-0.1214416265,0.1964450885,-0.05,0.0400294334,-0.1358033112,0.0108283507
0.0280871671,-0.1362299741,0,-0.0301146815,-0.0570716696,0.053018786,-0.0666666667,0.0179878504,-0.0072082944,-0.0023541945
0,0.0435818803,0.1785714286,-0.1506744634,-0.0380984231,-0.186295151,-0.1,0,-2.31555547571301E-17,-0.0057671901
-0.0280396423,-0.1449843134,-0.0992063492,-0.2116544988,-0.0495941269,-0.164799615,-0.2,0.0031272995,0.0148510897,-0.0154599501
0.1685230024,0.0096886009,0.1339285714,0.0303795603,0.1121024597,0.2574942496,0.6,-0.0259806419,-0.0538104928,-0.1470782199
0.1946308725,-0.1260469241,-0.0765306122,0.1973336279,0.2435032018,0.4001295495,0.1333333333,-0.048673007,0.0226852072,-0.0051635383
-0.192371476,-0.045507808,0.0446428571,0.0755654495,-0.0065900118,-0.1476250835,0,0.3940397351,-0.0167620618,-0.0104368697
0,0.1088006724,0,0.0754384914,-0.0043940157,-0.2455058136,-0.04,0,-3.40705900836853E-18,-0.061523169
0,0.0589680251,-0.0535714286,0.0903743511,-0.0029296436,-0.2247331575,-0.05,0,6.81411801673706E-18,0.0298732478
0.1946308725,0.1018605706,0.1530612245,0.1052249517,0.1661112116,-0.0184702677,0.1333333333,-0.0479356374,0.1224939657,0.0026157372
0.0274816394,-0.0673907886,-0.0549450549,0.0149969907,0.1342306803,0.204653332,0,0.0859184385,0.0018422709,-0.0054910091
0.02743614,-0.0133810121,0,0.13492785,0.1130503505,0.376484506,0,0.0367117766,0.0018498342,0.0026878963
-0.027390791,-0.1197292927,-0.0198412698,0.1195765382,0.0513894542,0.1335554971,-0.04,0.0192328918,-0.0047214292,0.0017173454
0.2194891202,0.0192571724,0.1116071429,0.2385178757,0.2242274014,0.3565526435,0.05,-0.0361873226,0.0164331814,0.0052097429
-0.0541549953,-0.1313800856,-0.0549450549,0.1038001753,0.1014529089,0.2973141185,0,0.1096200767,-0.0059103005,-3.80734889887354E-05
0.1358313817,0.010976669,0,0.1627383496,0.1853357935,0.2539234347,0,-0.0223378535,0.0068738679,0.0039585295
0.2155632985,0.061552242,0.0396825397,0.2653374333,0.3107915369,0.2851151284,0,-0.0258940397,0.0047709165,0.0028075952
-0.132997019,-0.0344031046,0,0.2051611819,0.0891953116,0.049814453,0,0.1000735835,-0.0097184872,0.0015744541
-0.0536292187,0.018353608,0,0.0583508643,0.0128328836,-0.2615879296,-0.04,0.0375275938,-0.0070332321,-0.0030250163
-0.0807050093,0.0059832984,0,0.0437063499,-0.0611875243,-0.3023366716,-0.05,0.021192053,-0.0159712197,-0.0012393306
-0.0270333256,-0.0213979006,0.0324675325,-0.0436638477,-0.0641298182,-0.1182442444,-0.0666666667,0.004330107,-0.0329219465,-0.0046063128
0.4332399627,0.1795408747,0.1373626374,0.0728439164,0.3302187212,0.2617117506,0.3,-0.0398864711,-0.4045254542,-0.0059599747
0.0263876251,0.1444270786,-0.0621118012,0.1599970493,0.2416023324,0.2202036764,0,0.0045172104,0.0006775132,-0.0021963318
-0.4215307745,0.2357195084,0.0833333333,-0.0434806231,-0.2079502627,-0.3560708603,-0.04,0.128666036,-0.0240387019,-0.005740352
-0.0540666511,0.1410750122,-0.0974025974,-0.0290151794,-0.1855468435,-0.2005461158,-0.05,-0.0030001022,0.0073215519,-0.0063078163
0.0271218144,0.0387213385,0,0,-0.101015146,-0.1788533494,-0.0666666667,-0.0022516556,-0.0044676041,0.0061594814
0,-0.0140644335,0.0178571429,-0.2322715298,-0.0675022488,-0.2400218859,-0.1,0,0,-0.0313281995
0.3790849673,0.0968880865,0.1136363636,-0.0437773709,0.2812824497,0.2375802904,-0.2,-0.0423087536,-0.0658273918,0.0229035012
-0.5294386125,0.121679422,0.0198412698,-0.102246887,-0.2768855235,-0.2168477018,0,0.2247152318,-0.0312644632,0.0027637224
-0.3828382838,0.6685701592,0.0267857143,-0.2781606821,-0.5121236886,0.2264852202,0.6,-0.0078522411,0.0166710255,0.0100448708
-0.083976834,0.1895576442,-0.0465838509,-0.3388198072,-0.416310542,0.1623131205,-0.0666666667,0.0044440572,0.0015842808,0.0084733606
-0.1406742663,-0.010291101,-0.0105042017,-0.4156124703,-0.399368072,0.2874303382,-0.1,-0.0004224495,0.0024683888,0.0030331582
-0.0567514677,-0.0104443014,0.0223214286,-0.6592070618,-0.3168366258,0.008252298,-0.2,0.0014229371,0.000894916,0.0085963781
-0.2277859597,0.0399924913,0.0099206349,-0.4865667738,-0.4065905594,0.1690843501,0,0.0006014037,0.0030859191,0.0035164707
0,-0.1460534734,-0.0939849624,-0.2766921677,-0.2736518725,0.1395857893,0,-0.0021071644,0,-1.10584621240036E-05
0.0577401692,-0.0991085635,-0.0198412698,-0.2010722946,-0.1343789236,0.1042005994,0,-0.0061652476,-0.0038879274,-0.0010378558
-0.1150793651,-0.135833042,0.0669642857,-0.1864400973,-0.1886281433,-0.1940294594,0.2,0.0102347983,0.0027413431,-0.0018448363
0.4345654346,-0.0127808361,0.0811688312,0.0780072795,0.245680736,-0.3670310095,-0.2,-0.0471981661,-0.022127314,-0.0066868729
0.1129228523,-0.1529486452,-0.1004464286,0.2647647699,0.2614875944,-0.12798789,1,-0.0236587005,0.0218338717,-0.0114645781
-0.2803964225,-0.1560598408,0.2040816327,0.1083817002,-0.0718183711,-0.150403947,-0.04,0.2814569536,-0.0306536334,-0.019525051
