"open_lastclose_ratio","volume_ma5_ratio","volume_ma10_ratio","atr5_ratio","natr5_ratio","ema5_ratio","dmi5_ratio","adx5_ratio","aroonosc5_ratio","slowk5_ratio"
-0.111821975,-0.0813119675,0.016695722,-0.1613888218,-0.1658598041,-0.1047131128,0.0314935236,-0.3199371156,-0.0833333333,-0.0623314626
-0.08457223,-0.0437247771,0.0082415945,-0.1584126701,-0.1684977509,-0.1123746906,-0.0014680461,-0.4180245099,-0.6666666667,-0.1300482837
0.0849295775,-0.1957567498,-0.1267296092,-0.0982343028,-0.1144532379,-0.0327128726,0.0043154416,-0.2466664753,-0.0555555556,0.084680859
0.08457223,-0.0367392971,-0.0621401492,-0.0212526998,-0.0536382121,0.1766293142,0.0028825592,0.1171957214,-0.0833333333,0.2770044943
0.0829436039,0.0074762833,-0.0552943456,0.1747498084,0.1377286548,0.4412319186,0.0034532518,0.9590277155,-1,0.180850278
0,0.0096631287,-0.0526214447,-0.0037510804,0.006532544,0.220483693,5.73778940901751E-19,0.5504463724,-0.0666666667,-0.1065647294
0.1888590604,-0.1294830286,-0.1308524799,0.0685550546,0.0577856937,0.2562671356,0.0005903862,0.5773943851,0.1111111111,-0.0602640682
-0.0533864542,-0.1079683215,-0.1100384545,-0.1799433473,-0.1926284033,0.1283857292,-4.56146684690164E-19,0.3733848201,-0.0666666667,-0.0345836694
-0.134,0.0320637219,-0.0154618868,-0.0551625313,-0.0688909075,0.1397072885,-0.000640884,0.0501507111,0,0.150516946
0.1332891247,0.1055838351,0.0340341614,0.035248008,0.0366642506,0.1062688437,0.0004892282,0.151790473,-0.1111111111,0.1440352494
0.1331125828,0.1783023478,0.0971299113,0.0275275366,0.023896411,0.1111279563,-2.60973160520965E-19,0.114307401,0,0.1561294315
-0.1856200528,0.1225667138,0.1168125885,0.0837855703,0.1473988874,-0.2492348658,-0.0019702186,-0.4069698786,-1,-0.073905598
0.438147139,0.3030251478,0.3208406615,0.4012871953,0.493181662,-0.4118219569,0.0083762524,-0.0391586648,-0.1,-0.1218863099
0.0280726257,-0.0647519396,0.0194180116,-0.1512462349,-0.1585839353,-0.3333526315,-4.01840553902962E-19,-0.0318389091,0.0833333333,-0.3910522929
0.1693820225,-0.1470352339,-0.0525929492,-0.109438441,-0.1328523751,-0.1412352725,-0.0005593376,-0.138496994,0,-0.3735475062
