"close_lastclose_ratio","volume_ma5_ratio","close_ma30_ratio","close_ma60_ratio","volume_ma60_ratio","b_upper5_ratio","ema5_ratio","aroonup5_ratio","aroonosc5_ratio","ppo5_ratio"
1,0.0868302873,-0.2102823342,-0.4544382993,0.4130889046,0.0805854725,0.7646787273,-0.1,0,-0.0024330602
0.1504890104,-0.0383120893,-0.1137126782,-0.3938184974,0.3103549331,0.3282718147,0.6792086538,0.8,-0.4166666667,-0.0048167596
-0.0991683992,-0.3466321078,-0.1592665044,-0.4089323204,-0.1509501635,0.2665874593,0.329036655,-0.04,0,-0.0157992159
0.2248585795,-0.2749565117,-0.0174009428,-0.3249610852,-0.1182540185,0.1611245425,0.4788812706,0.05,0.1111111111,-0.0619961069
-0.0491119691,-0.2571711392,-0.034372962,-0.3266036016,-0.1413945523,-0.5606947335,0.2584267002,0,0,0.0329376247
-0.6408971113,0.3507321086,-0.3922441315,-0.5159164565,0.2957144549,0.2923341419,-0.5707193701,-0.04,-0.0333333333,-0.0033108196
0.0518788406,0.0508412269,-0.3403911605,-0.483397109,0.0053422514,-0.0227744118,-0.3276267041,-0.05,-0.2083333333,-0.0068019203
-0.1033418188,-0.2138374185,-0.3756777665,-0.4982177358,-0.1660637637,-0.0427730609,-0.3365544431,-0.0666666667,0.3333333333,-0.015375843
0.3906633907,0.078500599,-0.1366491719,-0.3600699628,0.0579608081,-0.2946203058,0.2141633978,-0.1,0.0555555556,-0.0444605947
-0.1516693164,-0.2118169889,-0.204791189,-0.387235558,-0.1389995675,-0.4827048411,-0.0331647716,-0.2,0,0.057070878
0.0767374517,-0.131200426,-0.1437267142,-0.342545886,-0.1502367652,0.0711117329,0.0655657233,0,-0.0416666667,-0.0071676954
0.1271389733,-0.0633536213,-0.0567034601,-0.2811533973,-0.1381813332,0.1310055188,0.1895832412,0.8,-0.2777777778,-0.0127424007
0.1007179054,0.0263839117,0.0133319396,-0.2306385613,-0.0717886992,0.0186442356,0.2421018124,0.05,0.1666666667,-0.0325131276
