"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
-0.0234501767,0.1580102884,-0.0606924253,0.0366532106,0.0311425166,-0.2,0,0.004143802,0.0123503002,0.0129903456
0.0033208444,-0.018916291,0.0358223168,0.1432735219,-0.0004429367,1,-0.3333333333,0.0202803131,0.0045288411,0.0163111547
0.1694695695,-0.1339568836,0.2752187474,0.2713849679,-0.0440229277,0,0.0555555556,0.0167945539,0.0029841487,0.0033864876
-0.0233732324,0.2476917257,0.2566642995,0.2186172502,0.0718853546,0,0.0416666667,0.002434304,3.94332448420532E-06,0.0003216999
0.0427537768,-0.2758720623,0.3047364149,0.3175739053,0.0198409114,0,0,0.0098775276,0.0012827484,0.0012447474
-0.0159407741,0.2770989469,0.1598860555,0.0382701732,0.0075962632,-0.04,-0.0333333333,-0.0316176779,-0.0028361105,-0.0034045344
-0.0639595621,0.0836648339,0.1381484369,0.0460028521,0.0028808017,-0.05,-0.0416666667,0.0076601806,-0.0026427764,0.0027935706
-0.0331650474,0.0176221582,0.0367293939,-0.0087851198,-0.0055497875,-0.0666666667,-0.0555555556,-0.0033574639,-0.0060940462,-0.0007979916
-0.0488159496,-0.0068618079,0.0266966586,-0.0048469364,-0.0068508437,-0.1,-0.25,0.0027261658,0.0059905076,0.0007698508
0.0275412376,0.0806696817,-0.1198165181,-0.0566300886,-0.0174269923,-0.2,0,-0.0129533184,0.0054033944,-0.0031851688
-0.0037465287,-0.027628872,0.0268099649,0.0078240346,-0.0150563044,0,-0.1666666667,0.0086463358,-0.000525911,0.0074113197
0.0432936803,-0.0146423491,-0.0033914646,0.0097508233,-0.0359826293,0,0.1666666667,0.0028229976,-0.0008403602,0.0009607767
-0.0120138447,0.081397417,0.006674881,0.0107358349,0.024635398,0,-0.1666666667,0,-0.0005070239,0
-0.0357511813,0.0767340439,-0.0301525883,-0.0303195921,0.024534694,0.8,-0.1666666667,-0.0191643954,0.0019553115,-0.0054760479
