"close_lastclose_ratio","volume_ma5_ratio","trsrange_ratio","ma5_ratio","dmi5_ratio","apo5_ratio","aroonup5_ratio","macdhist5_ratio","dx5_ratio","cmo5_ratio"
0.2235605878,-0.1732498155,-0.0892857143,0.1381096756,-0.007712148,0.0163934426,0,0.0050502126,-0.007712148,0.0224088339
0.0827192774,-0.1067886705,-0.0324675325,0.2906708047,-0.0125277609,-0.0262295082,0,0.0004682709,-0.0125277609,0.0036698203
-0.2743614002,-0.1256364057,0.0595238095,0.3040012871,0.2337563585,0.087431694,-0.04,-0.0035278113,0.2337563585,-0.0181659188
-0.1115921116,0.1222971716,-0.0446428571,0.1207827575,0.0248998287,0.0107851596,-0.05,-0.0061625102,0.0248998287,-0.1358033112
0.0280871671,-0.1517748034,0,-0.0301146815,-0.0022998436,-0.0023419204,-0.0666666667,-0.0555866161,-0.0022998436,-0.0072082944
0,0.1572852597,0.1785714286,-0.1506744634,-0.0072063697,-0.0057680631,-0.1,0.0012738052,-0.0072063697,-2.31555547571301E-17
-0.0280396423,-0.2190573459,-0.0992063492,-0.2116544988,9.03066766622889E-18,-0.0154566745,-0.2,0.0009522782,9.03066766622889E-18,0.0148510897
0.1685230024,0.0911581374,0.1339285714,0.0303795603,0.0223111544,-0.1475409836,0.6,-0.0110051882,0.0223111544,-0.0538104928
0.1946308725,-0.1533083375,-0.0765306122,0.1973336279,0.0052083943,-0.0051229508,0.1333333333,0.0191037704,0.0052083943,0.0226852072
-0.192371476,-0.0020147143,0.0446428571,0.0755654495,-0.0086040887,-0.0104321908,0,-0.0039007465,-0.0086040887,-0.0167620618
0,0.2971791256,0,0.0754384914,-0.006135414,-0.0614754098,-0.04,-0.005293538,-0.006135414,-3.40705900836853E-18
0,0.1152211021,-0.0535714286,0.0903743511,0,0.0298062593,-0.05,-0.0155448026,0,6.81411801673706E-18
0.1946308725,0.1440953992,0.1530612245,0.1052249517,0.0135302327,0.0026441036,0.1333333333,-0.0374264146,0.0135302327,0.1224939657
0.0274816394,-0.1854483502,-0.0549450549,0.0149969907,0.0079957887,-0.0054644809,0,0.0016914982,0.0079957887,0.0018422709
0.02743614,-0.1084371522,0,0.13492785,0.0057929694,0.0027322404,0,-0.0006491197,0.0057929694,0.0018498342
-0.027390791,-0.2384363418,-0.0198412698,0.1195765382,-0.0025255224,0.0017564403,-0.04,-0.0035992766,-0.0025255224,-0.0047214292
0.2194891202,0.0537694358,0.1116071429,0.2385178757,0.0071498252,0.0052882073,0.05,0.0135776839,0.0071498252,0.0164331814
-0.0541549953,-0.1737236068,-0.0549450549,0.1038001753,0.0012159329,0,0,-0.0024199324,0.0012159329,-0.0059103005
0.1358313817,0.109297068,0,0.1627383496,0.001089089,0.0039984006,0,0.0021918451,0.001089089,0.0068738679
0.2155632985,0.2052685578,0.0396825397,0.2653374333,0.0025260241,0.0028929605,0,0.0054624013,0.0025260241,0.0047709165
-0.132997019,-0.0479050135,0,0.2051611819,-0.0034573949,0.0016393443,0,-0.0038413883,-0.0034573949,-0.0097184872
-0.0536292187,0.0778404005,0,0.0583508643,-0.0095674566,-0.0029806259,-0.04,-0.0094808128,-0.0095674566,-0.0070332321
-0.0807050093,-0.0090085178,0,0.0437063499,-0.0055935459,-0.0012143291,-0.05,0.0173528972,-0.0055935459,-0.0159712197
-0.0270333256,-0.0429765888,0.0324675325,-0.0436638477,0.0222143392,-0.0045901639,-0.0666666667,0.0019068395,0.0222143392,-0.0329219465
0.4332399627,0.3041370742,0.1373626374,0.0728439164,0.0171181265,-0.0059198543,0.3,-0.0089086198,0.0171181265,-0.4045254542
0.0263876251,0.152585474,-0.0621118012,0.1599970493,0.0008467673,-0.0021382751,0,0.0053897585,0.0008467673,0.0006775132
-0.4215307745,0.2233012315,0.0833333333,-0.0434806231,-0.0128084157,-0.0057377049,-0.04,-0.0132046048,-0.0128084157,-0.0240387019
-0.0540666511,0.0327620837,-0.0974025974,-0.0290151794,0.0493298046,-0.0063051702,-0.05,0.0048614176,0.0493298046,0.0073215519
0.0271218144,-0.1208640211,0,0,5.36825172261918E-18,0.006147541,-0.0666666667,-0.0005134415,5.36825172261918E-18,-0.0044676041
0,-0.1596786325,0.0178571429,-0.2322715298,-0.0048498085,-0.0312965723,-0.1,-0.0013385014,-0.0048498085,0
0.3790849673,0.0370676519,0.1136363636,-0.0437773709,0.0365273737,0.0229508197,-0.2,-0.0091723777,0.0365273737,-0.0658273918
-0.5294386125,0.1183287329,0.0198412698,-0.102246887,-0.0094270303,0.0027322404,0,-0.0187844766,-0.0094270303,-0.0312644632
-0.3828382838,0.7895055094,0.0267857143,-0.2781606821,0.0296050041,0.0099531616,0.6,0.0103070261,0.0296050041,0.0166710255
-0.083976834,0.069208091,-0.0465838509,-0.3388198072,0,0.0083788707,-0.0666666667,0.0004699098,0,0.0015842808
-0.1406742663,-0.2121961264,-0.0105042017,-0.4156124703,0.0044875449,0.0028929605,-0.1,-0.0004365596,0.0044875449,0.0024683888
-0.0567514677,-0.2021081244,0.0223214286,-0.6592070618,-0.0044428338,0.0084016393,-0.2,-0.0015194962,-0.0044428338,0.000894916
-0.2277859597,-0.126793211,0.0099206349,-0.4865667738,0.0055968012,0.0033870749,0,-0.0003486727,0.0055968012,0.0030859191
0,-0.2777205155,-0.0939849624,-0.2766921677,0.0004013884,-0.0001122839,0,-0.0024375742,0.0004013884,0
0.0577401692,-0.1026609629,-0.0198412698,-0.2010722946,0,-0.0011305822,0,-0.0053867952,0,-0.0038879274
-0.1150793651,-0.1604310603,0.0669642857,-0.1864400973,-0.0079510334,-0.0019429265,0.2,-0.0104085971,-0.0079510334,0.0027413431
0.4345654346,0.1390960476,0.0811688312,0.0780072795,-0.0122282738,-0.0067502411,-0.2,0.1017290839,-0.0122282738,-0.022127314
0.1129228523,-0.141560727,-0.1004464286,0.2647647699,0.1150783663,-0.0114754098,1,0.0026925835,0.1150783663,0.0218338717
-0.2803964225,-0.154223548,0.2040816327,0.1083817002,-0.0019888154,-0.0195160031,-0.04,-0.0025317109,-0.0019888154,-0.0306536334
-0.1426112614,0.036648723,-0.0238095238,0,0.0065324039,0.0532786885,-0.05,-0.0040106433,0.0065324039,0.0189194787
0.1150793651,0.0722374105,-0.0686813187,0.1235665362,1.72529109152167E-18,0.0192864031,-0.0666666667,0.0005108051,1.72529109152167E-18,-0.0120121576
-0.1428571429,0.0587870686,0.1116071429,-0.1848411256,0.0052123583,-0.0075321223,-0.1,-0.0046602589,0.0052123583,0.0300789476
-0.1152795031,-0.0013129358,-0.0686813187,-0.3093419917,0.0050987281,-0.0303278689,-0.2,-0.0166778939,0.0050987281,0.0082447884
0.0290217663,-0.1069807467,-0.0223214286,-0.1401695841,-0.0059232551,0.0154291225,0.2,-0.002992047,-0.0059232551,-0.0031312067
0.0579420579,-0.1295716798,-0.0255102041,-0.0312463397,0,0.000993542,-0.2,-0.0168176435,0,-0.0080774944
0.3175709308,0.0994550222,0.2380952381,0.0781702474,-0.0013734046,0.0014051522,1,0.0321119348,-0.0013734046,-0.0518610492
0.0566544567,0.1134877669,-0.1020408163,0.1872825447,0.0079035475,-0.0103537532,0,0.0015306754,0.0079035475,0.0037298301
0.2823071307,0.2510094722,0.2083333333,0.4040933688,0.0049850265,-0.0538641686,0,0.0024261123,0.0049850265,0.0117033786
-0.2220626944,0.0521439981,0.0412087912,0.2618582613,-0.0047314237,0.0133196721,0,-0.0027487438,-0.0047314237,-0.0132828206
-0.2813485326,0.0758364262,-0.0111607143,0.0765705834,-0.0125268573,0.0019785189,-0.04,-0.007374639,-0.0125268573,-0.0365145319
-0.0286207747,-0.1998479499,-0.0952380952,-0.1070163196,1.35767690475759E-17,-0.0030264817,-0.05,0.0174979811,1.35767690475759E-17,0.0034243007
0.2293623332,-0.1078630467,0.1275510204,-0.01532457,0.0580354258,-0.0040210331,-0.0666666667,-0.0051579045,0.0580354258,-0.0305934093
0.2545099951,0.0082322385,0.0595238095,-0.030659604,0.0241505212,-0.0114754098,-0.1,-0.0423949484,0.0241505212,0.0386723322
-0.1114045618,0.0433945269,-0.0446428571,0.0306805535,0.0045586448,-0.0204918033,0.8,-0.0018365973,0.0045586448,-0.009423436
