"volume","close_ma60_ratio","adosc5_ratio","b_lower5_ratio","ema5_ratio","sma5_ratio","adxr5_ratio","apo5_ratio","cmo5_ratio","ultosc5_ratio"
0.5450533149,-0.4544382993,-0.0320329573,-0.0324839297,0.7646787273,0.0546715626,-0.3293340762,-0.0024793388,-0.0064354143,0.5588022409
0.4819833586,-0.3938184974,-0.1129383882,-0.1128825092,0.6792086538,0.2548220592,0.0640140954,-0.0048209366,0.0018447418,0.1013395687
0.1706511555,-0.4089323204,0.0335425222,0.1964337684,0.329036655,0.6515397083,0.1108860748,-0.0158164719,-0.0016946652,0.2978247178
0.191928036,-0.3249610852,0.0171429904,0.4226834938,0.4788812706,0.8562300319,0.1827505726,-0.0619834711,0.0037288842,0.0194799703
0.1763306416,-0.3266036016,-0.002352669,1,0.2584267002,0.8051201672,-0.414453156,0.0330578512,-0.0009315591,-0.0636430808
0.4786394664,-0.5159164565,-0.0245411924,-0.4044346663,-0.5707193701,-0.2922761098,-0.4021595657,-0.0033732501,-0.0100798889,-0.4899066393
0.2824640849,-0.483397109,-0.0513341703,-0.2108732137,-0.3276267041,-0.3634250291,-0.3586808962,-0.0068328236,-0.0009147179,-0.0739386359
0.1647831712,-0.4982177358,0.1164579248,-0.1979182366,-0.3365544431,-0.36640625,-0.0948692221,-0.0153611211,0.001541397,0.0377944947
0.3230837869,-0.3600699628,-0.0107886412,0.0745930315,0.2141633978,-0.2638834187,-0.3384623725,-0.0446280992,-0.0064950195,0.1313140423
0.1833619613,-0.387235558,-0.012700824,0.1775139505,-0.0331647716,-0.3362387744,-0.5137498978,0.0575560803,-0.0078396804,0.0780463694
0.1754896493,-0.342545886,-0.0015522252,0.0552219734,0.0655657233,0.1783100466,-0.3448077645,-0.0071980805,-0.0076344109,0.1176928439
0.1839419559,-0.2811533973,-0.0475668303,0.0412785454,0.1895832412,0.2308813784,-0.2293263123,-0.0127723516,0.0239362962,0.1770020958
0.2287376193,-0.2306385613,0.1475357825,0.2157518879,0.2421018124,0.3710443038,-0.2476464111,-0.0325413223,0.003143121,0.1004407153
0.1610154368,-0.2220547219,-0.0108548062,-0.0001854382,0.1316183071,0.0876160586,-0.0069576238,0.0495867769,-0.0008692819,-0.2836172235
0.1607466316,-0.1822199315,-0.0280789562,0.118490836,0.1739430259,0.2448446881,0.1545805955,0.0272727273,0.0021731389,-0.0608559371
0.1460593825,-0.2182870434,-0.1636119705,0.1066754454,-0.056730305,0.0869678089,-0.4527986478,-0.0019677292,-0.0048519036,-0.0568789217
0.369120862,-0.3190033069,0.1354205828,-0.3309367213,-0.4402740965,-0.2430366628,0.4779560061,-0.0115417498,-0.2456790648,-0.4375982863
0.7333262693,-0.4448686993,0.0540510523,-0.5476886775,-0.790009146,-0.6109157223,1,-0.0447880565,0.0028824958,-0.2042380526
0.2504149192,-0.3866316402,0.0038884726,-0.1972983087,-0.3884456681,-0.5132065504,0.6368511991,0.0337190083,-0.0015827604,0.1036627375
0.2342531454,-0.3129937947,-0.0062855593,0.063093424,-0.0525074274,-0.4475617902,-0.2755282069,0.01638885,-0.0029366683,0.2760499452
0.1659398144,-0.2997314556,-0.0055784346,0.1623639079,-0.0350465257,-0.3435897436,-0.1147097981,0.0060718502,1.01258337526794E-18,0.1077811012
0.1925180691,-0.3535860848,-0.0003679545,-0.0020356327,-0.2624258615,-0.2369101047,0.4809366833,-0.0002032245,0.0056211298,0.0401510739
0.2768102525,-0.323839819,0.0060610015,0.1035301705,-0.1158768306,0.109926169,0.1350002203,-0.0084010655,-0.0012775158,0.0402707962
0.4045986883,-0.0848597346,-0.0148206163,-0.2258561766,0.7362580176,0.5117294053,-0.1370415816,-0.0176652893,-0.0124131755,0.5208127456
0.2467810297,-0.1799954082,-0.0022359288,0.0298647114,0.1270751771,0.1626213592,-0.1818105805,-0.0366510959,-0.0039383497,-0.2669483504
0.1435553672,-0.1968051584,-0.0088151827,0.0393489989,-0.0042043089,0.1080209593,-0.3395210344,0.0563486101,-0.0042069697,0.102178748
0.1822990095,-0.1608828373,-0.0047838323,0.2093376872,0.0858838617,0.3053210025,-0.3127714709,0.020661157,0.0282253577,0.0986991627
0.198983894,-0.2269563442,0.0135262066,0.132698366,-0.2084007342,0.107028754,-0.3437704493,0,-0.0135997076,-0.0369454529
0.1674388775,-0.1918890585,-0.0008254789,0.0855058777,-0.0506570726,-0.3203187251,-0.1478602883,-0.0172802404,-0.0031776637,-0.3807520963
0.3207771928,-0.0203313445,-0.0240138419,-0.1551882996,0.5300837795,0.233012306,-0.1045408784,0.0049586777,-0.037776218,0.8324282475
0.6049232622,0.1240224054,-0.0737193731,-0.1779182471,0.8184456965,0.570592149,0.5887404341,0.0268595041,0.0025245659,0.0717364001
0.2166346926,0.0573521534,0.017119399,0.0693252539,0.3053648805,0.3697280252,0.1956930098,0.0019834711,-0.0021871883,-0.0572816673
0.2459980369,0.1198069443,-0.0239837207,0.3217870965,0.4023655634,0.6460776648,0.2489187768,0.0142332415,0.0016014028,0.1345226175
0.2229097885,0.062918949,-0.0867452464,0.5361421786,0.0674468019,0.4647398844,0.1804360451,0.0131259115,-0.0026378808,-0.1481378499
0.1346145266,0.0836648337,0.0114084403,0.1763933573,0.101490019,0.1703534198,0.2378500439,-0.0005721551,0.0010790236,-0.0814661799
0.1701626216,0.0260733428,0.0309115522,-0.0899790855,-0.1301202723,-0.2206180344,0.2440081769,-0.0087850589,-0.0048517948,-0.2768883297
0.2230692871,0.0817599771,-0.0110289674,0.0063331936,0.0828901123,0.0170548555,0.2253589143,-0.0060471679,0.1304134904,0.2539944831
0.5019072901,0.1960427967,0.0614076009,-0.0908621195,0.4225696406,0.1193384224,0.2690940039,-0.0119968009,0.0074657573,0.0316258715
0.2990296243,0.2065632475,0.0016558306,-0.0017250976,0.3070443475,0.2550437762,-0.2744885974,-0.0092975207,0.0001922674,0.12732147
0.2125412688,0.1735574156,0.0134254117,0.0450857359,0.0920764622,0.1521574565,-0.1250639104,-0.0012396694,-0.0020487558,-0.2390154308
0.1842944142,0.1918792183,-0.0031612058,0.2411506535,0.1167462613,0.3032817805,-0.5225552257,0.0404523706,0.0010270248,0.2212535446
0.1362675114,0.2008911211,-0.0031422946,0.2594492652,0.1052978031,0.2175596353,0.1403011622,0.0059504132,0.0004715195,-0.0427974274
0.2300526457,0.1154374521,-0.000678882,-0.181223341,-0.2060283894,-0.1665423813,-0.1140469787,-0.0067981872,-0.0068559705,-0.063831693
0.114487597,0.1237020605,0.0020552043,-0.0616186518,-0.1102594426,-0.1671656687,-0.0773737363,-0.0137741047,-0.0018345469,-0.1673836724
0.2756011868,0.2354221573,-0.0156027787,-0.030498075,0.2877672086,0.1174555472,-0.6095019382,-0.0024793388,-0.0267460072,0.4236594552
0.1671879183,0.2273236282,-0.0220577439,-0.0069704008,0.1629808335,0.0669414263,-0.4505316475,-0.0192837466,-0.0007119027,-0.0640902365
0.2692513608,0.1077660944,0.0211422484,-0.0931238667,-0.2770730118,-0.1838134431,-0.1411538463,-0.1487603306,-0.0084225089,-0.2183771138
0.1468167217,0.1791415623,-0.0021157302,0.066322823,0.0356956997,0.1174555472,-0.1831549947,-0.0210743802,-0.0062969652,0.235757629
0.8626483448,-0.0861090251,0.1119008497,-0.5388200328,-0.8341316885,-0.4183839141,0.6717792311,0.1239669421,-0.0487109982,-0.3716582761
0.5634424913,-0.1169100886,0.0362808989,-0.3640904216,-0.6795925995,-0.7095310136,0.5324715499,0.0674931129,0.0003990308,-0.3645227081
0.2974234853,-0.139166768,0.0129057021,-0.1830768189,-0.5460638154,-0.7553164233,0.4320739182,0.0177624275,0.0002981642,-0.2882470654
0.1782780851,-0.1271668708,0.0029205729,-0.1016968772,-0.339586074,-0.5063851968,0.3231858045,0.0038807043,-0.0003784255,0.15222286
0.2730759793,-0.1758841755,0.0017096999,0.3450796394,-0.4035084098,-0.7594569659,0.8690861309,0.0093208227,0.0007860511,-0.2914841869
0.6578946194,-0.307988487,0.0070590827,-0.4198151185,-0.743429197,-0.5030839367,0.6633473042,0.000406449,0.0011994285,-0.143740153
0.7770043277,-0.3804029926,-0.0034475342,-0.3959756462,-0.774092005,-0.5996745321,0.5273325695,-0.0011996801,0.0003460197,0.5681901925
0.4556649862,-0.38303029,-0.0044367107,-0.2225346543,-0.5557817354,-0.5709965636,0.378468956,-0.0018209833,3.48486757203059E-05,0.1247639738
0.419546935,-0.2300578173,-0.0113062213,0.1018045554,0.1504575779,-0.2798663325,-0.0272755569,-0.0021165088,-0.0041192976,0.5281628986
0.3037153119,-0.2736885599,-0.0047320196,0.1118225505,-0.0541257498,-0.2628555415,-0.136056161,-0.0047933884,0.0036696737,-0.0978256086
0.2656966628,-0.2650169773,-0.0021708408,0.0007546957,-0.0052720791,0.0566596195,-0.0583502271,-0.0063520251,-0.0007403208,0.3141509206
0.2540755778,-0.2044719092,-0.0023570263,0.1118226703,0.2125021149,0.3583896396,-0.1456193679,-0.0143250689,-0.0058957572,0.0790395962
0.2656698938,-0.1743828277,-0.006100167,0.2908116889,0.2331276829,0.4303868175,-0.4600510055,-0.0352327099,0.0124458383,0.0642834151
0.2069208977,-0.2045943307,0.0002082227,0.007059899,0.0323991643,0.0370677732,-0.5634274691,0.0263429752,-0.0059989807,-0.4672662612
0.2825075845,-0.1653278455,0.0043831303,0.0946771164,0.1436992741,0.2037037037,-0.3943540803,0.01878287,-0.0284631374,0.2866653992
0.2702250825,-0.2035918066,-0.0021301005,0.1194998893,-0.0566610726,0.0921722383,-0.5936450606,0.0008549444,-0.0084013644,0.2219950099
0.2812427501,-0.2677019742,0.0033873192,-0.2079630089,-0.2815754269,-0.1839648545,-0.3376636202,-0.0119834711,0.0144386215,-0.3128499627
0.1921700723,-0.2210186851,-0.005950221,-0.021568665,-0.0355978012,-0.1477805349,-0.1905501316,-0.0247933884,-0.0034889889,0.1507398058
0.4800582225,-0.3231420326,0.0045567392,-0.2354400125,-0.3920173835,-0.2965421853,0.3355425223,-0.014396161,0.0153417643,-0.158834286
0.2927935665,-0.3281781652,0.0010646658,-0.0925855425,-0.2946432996,-0.3918128655,0.189802465,0.044077135,0.0002474035,0.0923901515
0.2868430445,-0.3397859522,0.0033437492,-0.0631672204,-0.2600863467,-0.3388116308,0.0155615248,0.0114049587,0.0005232607,-0.1396803335
0.3375368074,-0.2905981465,0.0001038015,-0.0077825877,-0.0176416421,-0.0948336872,-0.1720858761,-0.0016981773,-0.0030831606,0.1762586257
0.277041135,-0.250354579,-0.0055852771,0.0939142302,0.1137035076,-0.1140425532,0.0583809686,-0.0007292173,-0.0053878987,0.0410283547
0.3336575355,-0.3592764574,0.004167132,-0.1199169975,-0.3311222717,-0.1333902162,0.4311554631,-0.0033809166,-0.1385066738,-0.1370289854
0.2860500134,-0.3165035585,0.0003908115,-0.0181544767,-0.0963209226,-0.0382256454,0.0885896992,-0.0082644628,-0.0023664738,0.0599893751
0.3163681181,-0.1773175116,-0.0107300588,-0.0382248076,0.4095187071,0.2869379015,-0.3422144801,-0.0215311005,-0.0112144695,0.551518265
0.4674422236,-0.0836621281,-0.0246953476,-0.103624876,0.583528854,0.380141844,0.0015022078,-0.1239669421,0.0034698241,0.2086199319
0.463036495,-0.0892583271,-0.0232391916,-0.0062792646,0.3530628433,0.2827004219,0.4781351718,0.0260330579,-0.0004823411,-0.1583249377
0.4497479254,0.0267589716,-0.0558147559,0.2288863616,0.6319644959,0.7678546471,0.4766631533,0.029026406,0.0024546119,0.3329909917
0.2265224859,0.0147897754,0.0252718131,0.4509967402,0.3851604243,0.6628194559,0.1275136749,0.0105859411,-0.000405205,0.007900441
0.235729901,0.0213516066,-0.0567511895,0.2520665487,0.2845165682,0.3991334958,0.4482171168,0.0013665647,0.0001519002,-0.2054234023
